Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
C. Robertson,Dundee FC,0,0,8.0,4,0,1567,0.0,,0.0,
J. Tavernier,Rangers,8,14,51.0,17,4,2518,0.0,,0.0,
M. Fraser,St. Mirren,3,3,9.0,2,0,3140,0.0,,0.0,
J. Obita,Hibernian,5,8,5.0,1,0,1897,0.0,,0.0,
S. Kingsley,Heart of Midlothian,0,1,4.0,1,1,590,0.0,,0.0,
K. Holt,Dundee United,1,2,24.0,7,2,1908,0.0,,0.0,
S. O'Donnell,Motherwell,1,6,10.0,3,1,1990,0.0,,0.0,
SFS. Findlay,Heart of Midlothian,0,1,6.0,2,0,966,0.0,,0.0,
P. McGinn,Motherwell,0,1,3.0,1,1,625,0.0,,0.0,
D. Gallagher,Ross County,2,0,10.0,3,1,2711,0.0,,0.0,
D. Wright,Dundee FC,1,2,17.0,6,1,2621,0.0,,0.0,
J. Souttar,Rangers,0,0,12.0,5,1,1849,0.0,,0.0,
J. McGhee,Motherwell,0,1,19.0,7,4,1758,0.0,,0.0,
L. Gordon,Motherwell,1,1,17.0,7,1,2317,0.0,,0.0,
F. Kent,Heart of Midlothian,0,0,11.0,2,2,1295,0.0,,0.0,
B. Mikulić,St. Johnstone,0,0,5.0,2,2,1166,0.0,,0.0,
J. McCart,Heart of Midlothian,0,0,10.0,3,1,811,0.0,,0.0,
C. Halkett,Heart of Midlothian,0,0,10.0,5,1,999,0.0,,0.0,
N. Devlin,Aberdeen,0,0,25.0,8,4,2239,0.0,,0.0,
A. Wright,Ross County,1,0,19.0,7,4,3150,0.0,,0.0,
D. Sterling,Rangers,0,1,5.0,1,0,1149,0.0,,0.0,
M. Knoester,Aberdeen,1,1,12.0,1,0,867,0.0,,0.0,
C. Carter-Vickers,Celtic,0,1,10.0,2,1,2438,0.0,,0.0,
A. Trusty,Celtic,1,0,15.0,3,1,1827,0.0,,0.0,
A. Iacovitti,Ross County,0,0,5.0,2,1,793,0.0,,0.0,
A. Ralston,Celtic,2,2,4.0,2,2,625,0.0,,0.0,
J. Koutroumbis,Motherwell,0,0,1.0,0,0,283,0.0,,0.0,
H. Milne,Heart of Midlothian,0,0,2.0,0,0,239,0.0,,0.0,
L. Scales,Celtic,3,1,15.0,5,2,1734,0.0,,0.0,
K. Tobers,Aberdeen,0,0,5.0,5,0,709,0.0,,0.0,
A. Gogić,St. Mirren,1,0,14.0,3,1,2825,0.0,,0.0,
S. Welsh,Celtic,0,0,1.0,0,0,90,0.0,,0.0,
R. Bushiri Kiranga,Hibernian,1,0,12.0,3,3,2114,0.0,,0.0,
J. Iredale,Hibernian,1,2,4.0,1,1,2002,0.0,,0.0,
M. Steinwender,Heart of Midlothian,0,0,5.0,1,1,712,0.0,,0.0,
W. O'Hora,Hibernian,0,2,13.0,3,1,2303,0.0,,0.0,
A. Johnston,Celtic,9,14,18.0,9,4,2540,0.0,,0.0,
R. Astley,Dundee FC,2,1,9.0,1,0,1941,0.0,,0.0,
G. Molloy,Aberdeen,0,0,4.0,0,0,1698,0.0,,0.0,
R. Graham,Dundee United,0,0,13.0,5,4,1174,0.0,,0.0,
B. Koumetio,Dundee FC,0,0,10.0,1,0,1225,0.0,,0.0,
I. Samuels,Dundee FC,0,0,,0,0,90,0.0,,0.0,
T. Sparrow,Motherwell,1,3,18.0,6,4,1636,0.0,,0.0,
A. Jensen,Aberdeen,3,2,7.0,1,0,1098,0.0,,0.0,
A. Montgomery,Celtic,0,0,,0,0,0,0.0,,0.0,
DMD. Murray,Celtic,0,0,,0,0,0,0.0,,0.0,
A. Donnelly,Dundee FC,0,1,8.0,2,1,876,0.0,,0.0,
J. Milne,Aberdeen,0,0,,0,0,174,0.0,,0.0,
R. Fraser,Rangers,0,0,,0,0,16,0.0,,0.0,
KMK. Megwa,Hibernian,0,0,,0,0,0,0.0,,0.0,
Z. Mitchell,Hibernian,0,0,,0,0,543,0.0,,0.0,
LGL. Graham,Dundee FC,0,0,2.0,0,0,270,0.0,,0.0,
CHC. Hamill,St. Johnstone,0,0,2.0,1,0,8,0.0,,0.0,
