Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
C. Robertson,Dundee FC,20,0,1567,0,0,
J. Tavernier,Rangers,31,4,2518,0,0,
M. Fraser,St. Mirren,35,0,3140,0,0,
J. Obita,Hibernian,33,0,1897,0,0,
S. Kingsley,Heart of Midlothian,18,1,590,0,0,
K. Holt,Dundee United,24,2,1908,0,0,
S. O'Donnell,Motherwell,30,1,1990,0,0,
SFS. Findlay,Heart of Midlothian,14,0,966,0,0,
P. McGinn,Motherwell,12,1,625,0,0,
D. Gallagher,Ross County,32,1,2711,0,0,
D. Wright,Dundee FC,32,1,2621,0,0,
J. Souttar,Rangers,22,1,1849,0,0,
J. McGhee,Motherwell,25,4,1758,0,0,
L. Gordon,Motherwell,28,1,2317,0,0,
F. Kent,Heart of Midlothian,17,2,1295,0,0,
B. Mikulić,St. Johnstone,14,2,1166,0,0,
J. McCart,Heart of Midlothian,10,1,811,0,0,
C. Halkett,Heart of Midlothian,29,1,999,0,0,
N. Devlin,Aberdeen,33,4,2239,0,0,
A. Wright,Ross County,35,4,3150,0,0,
D. Sterling,Rangers,20,0,1149,0,0,
M. Knoester,Aberdeen,10,0,867,0,0,
C. Carter-Vickers,Celtic,29,1,2438,0,0,
A. Trusty,Celtic,30,1,1827,0,0,
A. Iacovitti,Ross County,16,1,793,0,0,
A. Ralston,Celtic,35,2,625,0,0,
J. Koutroumbis,Motherwell,20,0,283,0,0,
H. Milne,Heart of Midlothian,9,0,239,0,0,
L. Scales,Celtic,32,2,1734,0,0,
K. Tobers,Aberdeen,9,0,709,0,0,
A. Gogić,St. Mirren,34,1,2825,0,0,
S. Welsh,Celtic,8,0,90,0,0,
R. Bushiri Kiranga,Hibernian,35,3,2114,0,0,
J. Iredale,Hibernian,30,1,2002,0,0,
M. Steinwender,Heart of Midlothian,11,1,712,0,0,
W. O'Hora,Hibernian,35,1,2303,0,0,
A. Johnston,Celtic,33,4,2540,0,0,
R. Astley,Dundee FC,33,0,1941,0,0,
G. Molloy,Aberdeen,20,0,1698,0,0,
R. Graham,Dundee United,25,4,1174,0,0,
B. Koumetio,Dundee FC,23,0,1225,0,0,
I. Samuels,Dundee FC,13,0,90,0,0,
T. Sparrow,Motherwell,31,4,1636,0,0,
A. Jensen,Aberdeen,13,0,1098,0,0,
A. Montgomery,Celtic,1,0,0,0,0,
DMD. Murray,Celtic,3,0,0,0,0,
A. Donnelly,Dundee FC,13,1,876,0,0,
J. Milne,Aberdeen,22,0,174,0,0,
R. Fraser,Rangers,8,0,16,0,0,
KMK. Megwa,Hibernian,3,0,0,0,0,
Z. Mitchell,Hibernian,8,0,543,0,0,
LGL. Graham,Dundee FC,9,0,270,0,0,
CHC. Hamill,St. Johnstone,1,0,8,0,0,
