Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
C. Robertson,Dundee FC,19,136,9,67,2,1567,93,
J. Tavernier,Rangers,55,84,39,54,13,2518,142,
M. Fraser,St. Mirren,58,137,39,52,2,3140,152,
J. Obita,Hibernian,26,73,15,37,2,1897,81,
S. Kingsley,Heart of Midlothian,8,19,5,7,0,590,20,
K. Holt,Dundee United,39,173,20,117,7,1908,163,
S. O'Donnell,Motherwell,43,92,17,53,2,1990,110,
SFS. Findlay,Heart of Midlothian,14,62,8,29,1,966,61,
P. McGinn,Motherwell,9,23,5,9,0,625,28,
D. Gallagher,Ross County,37,247,13,150,2,2711,194,
D. Wright,Dundee FC,44,77,22,33,5,2621,133,
J. Souttar,Rangers,18,119,12,66,3,1849,103,
J. McGhee,Motherwell,27,106,15,70,2,1758,109,
L. Gordon,Motherwell,27,182,28,135,3,2317,174,
F. Kent,Heart of Midlothian,15,74,11,56,5,1295,84,
B. Mikulić,St. Johnstone,13,111,9,36,1,1166,50,
J. McCart,Heart of Midlothian,6,97,7,67,1,811,81,
C. Halkett,Heart of Midlothian,15,79,11,78,1,999,101,
N. Devlin,Aberdeen,35,82,16,46,8,2239,122,
A. Wright,Ross County,88,221,64,111,5,3150,229,
D. Sterling,Rangers,25,50,14,25,0,1149,64,
M. Knoester,Aberdeen,21,82,10,35,2,867,58,
C. Carter-Vickers,Celtic,27,139,33,117,0,2438,160,
A. Trusty,Celtic,35,77,14,95,4,1827,148,
A. Iacovitti,Ross County,10,54,12,37,1,793,52,
A. Ralston,Celtic,19,18,8,10,0,625,44,
J. Koutroumbis,Motherwell,6,14,2,4,1,283,14,
H. Milne,Heart of Midlothian,7,11,1,1,1,239,13,
L. Scales,Celtic,19,101,22,124,4,1734,161,
K. Tobers,Aberdeen,10,63,3,24,0,709,42,
A. Gogić,St. Mirren,39,220,41,71,1,2825,131,
S. Welsh,Celtic,0,10,0,3,0,90,4,
R. Bushiri Kiranga,Hibernian,17,168,18,54,3,2114,84,
J. Iredale,Hibernian,48,153,39,53,1,2002,111,
M. Steinwender,Heart of Midlothian,8,65,10,28,2,712,45,
W. O'Hora,Hibernian,25,180,27,109,6,2303,147,
A. Johnston,Celtic,46,67,14,33,4,2540,112,
R. Astley,Dundee FC,37,122,19,62,3,1941,105,
G. Molloy,Aberdeen,22,141,33,66,2,1698,106,
R. Graham,Dundee United,17,122,7,68,2,1174,96,
B. Koumetio,Dundee FC,20,101,21,86,0,1225,122,
I. Samuels,Dundee FC,1,1,1,1,0,90,5,
T. Sparrow,Motherwell,38,41,15,27,2,1636,82,
A. Jensen,Aberdeen,21,28,7,12,1,1098,49,
A. Montgomery,Celtic,0,0,0,0,0,0,0,
DMD. Murray,Celtic,0,0,0,0,0,0,0,
A. Donnelly,Dundee FC,12,71,8,32,4,876,52,
J. Milne,Aberdeen,11,16,3,6,0,174,18,
R. Fraser,Rangers,0,0,0,0,0,16,2,
KMK. Megwa,Hibernian,0,0,0,0,0,0,0,
Z. Mitchell,Hibernian,11,43,5,17,0,543,37,
LGL. Graham,Dundee FC,4,20,4,14,1,270,22,
CHC. Hamill,St. Johnstone,0,0,0,0,1,8,0,
