Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
C. Robertson,Dundee FC,597,440,125,0,4,0,1567,4,
J. Tavernier,Rangers,1656,1313,218,8,220,14,2518,66,
M. Fraser,St. Mirren,1127,790,239,3,43,3,3140,22,
J. Obita,Hibernian,770,556,160,5,99,8,1897,22,
S. Kingsley,Heart of Midlothian,336,285,46,0,21,1,590,1,
K. Holt,Dundee United,791,574,172,1,9,2,1908,12,
S. O'Donnell,Motherwell,990,761,199,1,47,6,1990,15,
SFS. Findlay,Heart of Midlothian,311,230,77,0,2,1,966,2,
P. McGinn,Motherwell,234,177,48,0,6,1,625,1,
D. Gallagher,Ross County,1131,859,270,2,4,0,2711,7,
D. Wright,Dundee FC,1345,1059,168,1,51,2,2621,30,
J. Souttar,Rangers,1536,1398,162,0,1,0,1849,7,
J. McGhee,Motherwell,635,470,63,0,17,1,1758,10,
L. Gordon,Motherwell,820,601,184,1,2,1,2317,5,
F. Kent,Heart of Midlothian,914,798,124,0,0,0,1295,5,
B. Mikulić,St. Johnstone,746,632,101,0,1,0,1166,2,
J. McCart,Heart of Midlothian,478,358,85,0,0,0,811,1,
C. Halkett,Heart of Midlothian,734,645,66,0,0,0,999,4,
N. Devlin,Aberdeen,865,630,138,0,43,0,2239,7,
A. Wright,Ross County,947,696,127,1,29,0,3150,14,
D. Sterling,Rangers,665,586,57,0,11,1,1149,3,
M. Knoester,Aberdeen,487,391,93,1,7,1,867,2,
C. Carter-Vickers,Celtic,2989,2835,109,0,0,1,2438,5,
A. Trusty,Celtic,2304,2162,89,1,1,0,1827,5,
A. Iacovitti,Ross County,283,172,61,0,4,0,793,3,
A. Ralston,Celtic,616,558,51,2,36,2,625,10,
J. Koutroumbis,Motherwell,127,93,21,0,2,0,283,4,
H. Milne,Heart of Midlothian,106,89,12,0,4,0,239,2,
L. Scales,Celtic,2265,2082,91,3,1,1,1734,9,
K. Tobers,Aberdeen,444,395,59,0,0,0,709,0,
A. Gogić,St. Mirren,963,711,261,1,3,0,2825,5,
S. Welsh,Celtic,151,145,2,0,0,0,90,2,
R. Bushiri Kiranga,Hibernian,793,680,104,1,0,0,2114,6,
J. Iredale,Hibernian,889,651,230,1,11,2,2002,9,
M. Steinwender,Heart of Midlothian,447,376,62,0,0,0,712,1,
W. O'Hora,Hibernian,985,771,147,0,2,2,2303,12,
A. Johnston,Celtic,2132,1851,133,9,98,14,2540,46,
R. Astley,Dundee FC,750,539,133,2,10,1,1941,4,
G. Molloy,Aberdeen,1107,931,134,0,4,0,1698,0,
R. Graham,Dundee United,504,343,143,0,7,0,1174,3,
B. Koumetio,Dundee FC,534,368,98,0,0,0,1225,10,
I. Samuels,Dundee FC,40,31,4,0,6,0,90,2,
T. Sparrow,Motherwell,438,329,36,1,30,3,1636,14,
A. Jensen,Aberdeen,535,447,27,3,50,2,1098,16,
A. Montgomery,Celtic,0,0,0,0,0,0,0,0,
DMD. Murray,Celtic,0,0,0,0,0,0,0,0,
A. Donnelly,Dundee FC,309,179,102,0,9,1,876,7,
J. Milne,Aberdeen,72,59,9,0,3,0,174,1,
R. Fraser,Rangers,9,9,1,0,2,0,16,0,
KMK. Megwa,Hibernian,0,0,0,0,0,0,0,0,
Z. Mitchell,Hibernian,336,285,52,0,2,0,543,0,
LGL. Graham,Dundee FC,114,73,23,0,3,0,270,0,
CHC. Hamill,St. Johnstone,5,2,0,0,0,0,8,0,
