Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
J. White,Ross County,35,1974,2877,0,35.0,15,6,0.0,,0.0,24,52,6,212,6,274,557,300,19,6,0,14,Forward
M. Boyle,Hibernian,33,2348,2878,6,59.0,23,13,0.0,,0.0,13,11,8,12,20,90,327,223,24,119,9,29,Forward
D. Gayle,Hibernian,28,862,2879,4,21.0,10,5,0.0,,0.0,7,5,5,20,3,38,179,127,6,5,6,8,Forward
B. McKay,Livingston,11,249,2880,0,5.0,0,0,0.0,,0.0,8,1,1,1,1,18,110,86,13,22,0,8,Forward
L. Shankland,Heart of Midlothian,30,2411,2881,7,85.0,24,4,0.0,,0.0,21,32,10,56,21,118,698,491,48,21,14,40,Forward
C. McMenamin,St. Mirren,11,498,2882,1,17.0,7,3,0.0,,0.0,8,3,4,9,6,28,126,83,16,16,0,6,Forward
M. Mandron,St. Mirren,34,1538,2883,2,41.0,22,5,0.0,,0.0,16,48,5,123,8,158,443,300,16,7,4,24,Forward
U. Ikpeazu,Ross County,2,31,2884,0,2.0,0,0,0.0,,0.0,0,1,0,3,0,4,7,5,0,0,0,1,Forward
S. Murray,Dundee FC,35,2848,2885,3,67.0,36,15,0.0,,0.0,18,58,6,45,14,121,417,254,26,52,2,23,Forward
D. Vente,Hibernian,2,88,2886,0,3.0,1,0,0.0,,0.0,0,2,0,1,0,1,11,7,1,1,0,0,Forward
D. Maeda,Celtic,31,2288,2887,7,53.0,28,16,0.0,,0.0,40,8,10,17,6,95,670,558,15,55,8,36,Forward
J. Ayunga,St. Mirren,29,1052,2888,4,23.0,11,3,0.0,,0.0,11,13,1,37,10,72,212,138,13,5,1,11,Forward
T. Olusanya,Aberdeen,31,2046,2889,2,57.0,17,8,0.0,,0.0,14,3,2,26,14,91,185,127,3,9,2,15,Forward
E. Kabangu,Heart of Midlothian,13,905,2890,1,25.0,16,6,0.0,,0.0,4,4,1,15,3,35,151,103,0,17,1,8,Forward
J. Scott,Ross County,25,440,2891,2,5.0,2,0,0.0,,0.0,2,0,2,14,1,22,91,70,4,10,0,5,Forward
Jota,Celtic,10,536,2892,2,16.0,9,4,0.0,,0.0,4,4,1,3,2,26,232,189,11,39,3,13,Forward
R. Matondo,Rangers,9,240,2893,2,10.0,4,2,0.0,,0.0,2,2,2,1,2,13,71,62,4,3,2,5,Forward
B. Miovski,Rangers,2,91,2894,0,4.0,1,0,0.0,,0.0,0,0,0,1,2,1,21,17,1,0,1,1,Forward
K. Phillips,Ross County,13,652,2895,1,9.0,3,2,0.0,,0.0,2,8,3,17,4,27,80,45,1,6,1,5,Forward
Z. Robinson,Motherwell,13,581,2896,0,10.0,3,1,0.0,,0.0,7,3,1,8,3,33,73,56,4,1,0,2,Forward
M. Ubochioma,Dundee United,21,25,2897,0,1.0,1,1,0.0,,0.0,2,0,1,0,0,5,2,1,0,1,0,0,Forward
T. Maswanhise,Motherwell,32,1486,2898,3,35.0,13,5,0.0,,0.0,13,3,18,14,9,95,217,159,9,41,1,10,Forward
Y. Hyun-Jun,Celtic,32,951,2899,2,20.0,10,5,0.0,,0.0,16,3,4,9,4,58,513,441,11,24,3,18,Forward
MTM. Thomson,Ross County,23,505,2900,0,8.0,4,1,0.0,,0.0,12,4,0,1,1,22,104,74,9,9,1,6,Forward
Z. Lovelace,Rangers,4,15,2901,1,,0,0,0.0,,0.0,1,0,0,0,0,1,2,2,0,0,1,1,Forward
LRL. Ross,Motherwell,1,0,2902,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
