Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. White,Ross County,0,0,35.0,15,6,1974,0.0,,0.0,
M. Boyle,Hibernian,6,9,59.0,23,13,2348,0.0,,0.0,
D. Gayle,Hibernian,4,6,21.0,10,5,862,0.0,,0.0,
B. McKay,Livingston,0,0,5.0,0,0,249,0.0,,0.0,
L. Shankland,Heart of Midlothian,7,14,85.0,24,4,2411,0.0,,0.0,
C. McMenamin,St. Mirren,1,0,17.0,7,3,498,0.0,,0.0,
M. Mandron,St. Mirren,2,4,41.0,22,5,1538,0.0,,0.0,
U. Ikpeazu,Ross County,0,0,2.0,0,0,31,0.0,,0.0,
S. Murray,Dundee FC,3,2,67.0,36,15,2848,0.0,,0.0,
D. Vente,Hibernian,0,0,3.0,1,0,88,0.0,,0.0,
D. Maeda,Celtic,7,8,53.0,28,16,2288,0.0,,0.0,
J. Ayunga,St. Mirren,4,1,23.0,11,3,1052,0.0,,0.0,
T. Olusanya,Aberdeen,2,2,57.0,17,8,2046,0.0,,0.0,
E. Kabangu,Heart of Midlothian,1,1,25.0,16,6,905,0.0,,0.0,
J. Scott,Ross County,2,0,5.0,2,0,440,0.0,,0.0,
Jota,Celtic,2,3,16.0,9,4,536,0.0,,0.0,
R. Matondo,Rangers,2,2,10.0,4,2,240,0.0,,0.0,
B. Miovski,Rangers,0,1,4.0,1,0,91,0.0,,0.0,
K. Phillips,Ross County,1,1,9.0,3,2,652,0.0,,0.0,
Z. Robinson,Motherwell,0,0,10.0,3,1,581,0.0,,0.0,
M. Ubochioma,Dundee United,0,0,1.0,1,1,25,0.0,,0.0,
T. Maswanhise,Motherwell,3,1,35.0,13,5,1486,0.0,,0.0,
Y. Hyun-Jun,Celtic,2,3,20.0,10,5,951,0.0,,0.0,
MTM. Thomson,Ross County,0,1,8.0,4,1,505,0.0,,0.0,
Z. Lovelace,Rangers,1,1,,0,0,15,0.0,,0.0,
LRL. Ross,Motherwell,0,0,,0,0,0,0.0,,0.0,
