Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. White,Ross County,35,6,1974,0,0,
M. Boyle,Hibernian,33,13,2348,0,0,
D. Gayle,Hibernian,28,5,862,0,0,
B. McKay,Livingston,11,0,249,0,0,
L. Shankland,Heart of Midlothian,30,4,2411,0,0,
C. McMenamin,St. Mirren,11,3,498,0,0,
M. Mandron,St. Mirren,34,5,1538,0,0,
U. Ikpeazu,Ross County,2,0,31,0,0,
S. Murray,Dundee FC,35,15,2848,0,0,
D. Vente,Hibernian,2,0,88,0,0,
D. Maeda,Celtic,31,16,2288,0,0,
J. Ayunga,St. Mirren,29,3,1052,0,0,
T. Olusanya,Aberdeen,31,8,2046,0,0,
E. Kabangu,Heart of Midlothian,13,6,905,0,0,
J. Scott,Ross County,25,0,440,0,0,
Jota,Celtic,10,4,536,0,0,
R. Matondo,Rangers,9,2,240,0,0,
B. Miovski,Rangers,2,0,91,0,0,
K. Phillips,Ross County,13,2,652,0,0,
Z. Robinson,Motherwell,13,1,581,0,0,
M. Ubochioma,Dundee United,21,1,25,0,0,
T. Maswanhise,Motherwell,32,5,1486,0,0,
Y. Hyun-Jun,Celtic,32,5,951,0,0,
MTM. Thomson,Ross County,23,1,505,0,0,
Z. Lovelace,Rangers,4,0,15,0,0,
LRL. Ross,Motherwell,1,0,0,0,0,
