Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. White,Ross County,24,52,6,212,6,1974,274,
M. Boyle,Hibernian,13,11,8,12,20,2348,90,
D. Gayle,Hibernian,7,5,5,20,3,862,38,
B. McKay,Livingston,8,1,1,1,1,249,18,
L. Shankland,Heart of Midlothian,21,32,10,56,21,2411,118,
C. McMenamin,St. Mirren,8,3,4,9,6,498,28,
M. Mandron,St. Mirren,16,48,5,123,8,1538,158,
U. Ikpeazu,Ross County,0,1,0,3,0,31,4,
S. Murray,Dundee FC,18,58,6,45,14,2848,121,
D. Vente,Hibernian,0,2,0,1,0,88,1,
D. Maeda,Celtic,40,8,10,17,6,2288,95,
J. Ayunga,St. Mirren,11,13,1,37,10,1052,72,
T. Olusanya,Aberdeen,14,3,2,26,14,2046,91,
E. Kabangu,Heart of Midlothian,4,4,1,15,3,905,35,
J. Scott,Ross County,2,0,2,14,1,440,22,
Jota,Celtic,4,4,1,3,2,536,26,
R. Matondo,Rangers,2,2,2,1,2,240,13,
B. Miovski,Rangers,0,0,0,1,2,91,1,
K. Phillips,Ross County,2,8,3,17,4,652,27,
Z. Robinson,Motherwell,7,3,1,8,3,581,33,
M. Ubochioma,Dundee United,2,0,1,0,0,25,5,
T. Maswanhise,Motherwell,13,3,18,14,9,1486,95,
Y. Hyun-Jun,Celtic,16,3,4,9,4,951,58,
MTM. Thomson,Ross County,12,4,0,1,1,505,22,
Z. Lovelace,Rangers,1,0,0,0,0,15,1,
LRL. Ross,Motherwell,0,0,0,0,0,0,0,
