Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
J. White,Ross County,557,300,19,0,6,0,1974,14,
M. Boyle,Hibernian,327,223,24,6,119,9,2348,29,
D. Gayle,Hibernian,179,127,6,4,5,6,862,8,
B. McKay,Livingston,110,86,13,0,22,0,249,8,
L. Shankland,Heart of Midlothian,698,491,48,7,21,14,2411,40,
C. McMenamin,St. Mirren,126,83,16,1,16,0,498,6,
M. Mandron,St. Mirren,443,300,16,2,7,4,1538,24,
U. Ikpeazu,Ross County,7,5,0,0,0,0,31,1,
S. Murray,Dundee FC,417,254,26,3,52,2,2848,23,
D. Vente,Hibernian,11,7,1,0,1,0,88,0,
D. Maeda,Celtic,670,558,15,7,55,8,2288,36,
J. Ayunga,St. Mirren,212,138,13,4,5,1,1052,11,
T. Olusanya,Aberdeen,185,127,3,2,9,2,2046,15,
E. Kabangu,Heart of Midlothian,151,103,0,1,17,1,905,8,
J. Scott,Ross County,91,70,4,2,10,0,440,5,
Jota,Celtic,232,189,11,2,39,3,536,13,
R. Matondo,Rangers,71,62,4,2,3,2,240,5,
B. Miovski,Rangers,21,17,1,0,0,1,91,1,
K. Phillips,Ross County,80,45,1,1,6,1,652,5,
Z. Robinson,Motherwell,73,56,4,0,1,0,581,2,
M. Ubochioma,Dundee United,2,1,0,0,1,0,25,0,
T. Maswanhise,Motherwell,217,159,9,3,41,1,1486,10,
Y. Hyun-Jun,Celtic,513,441,11,2,24,3,951,18,
MTM. Thomson,Ross County,104,74,9,0,9,1,505,6,
Z. Lovelace,Rangers,2,2,0,1,0,1,15,1,
LRL. Ross,Motherwell,0,0,0,0,0,0,0,0,
