Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
K. Schmeichel,Celtic,0,0,,0,0,2790,0.0,,0.0,
C. Gordon,Heart of Midlothian,0,0,,0,0,2790,0.0,,0.0,
T. Carson,Ross County,1,1,,0,0,1710,0.0,,0.0,
J. Butland,Rangers,1,0,,0,0,2520,0.0,,0.0,
J. Hamilton,Livingston,0,0,,0,0,315,0.0,,0.0,
R. Laidlaw,Ross County,0,0,,0,0,1305,0.0,,0.0,
L. Kelly,Rangers,0,0,,0,0,630,0.0,,0.0,
D. Richards,Dundee United,0,0,,0,0,180,0.0,,0.0,
KOK. O'Hara,Dundee FC,0,0,,0,0,1335,0.0,,0.0,
R. Fulton,Heart of Midlothian,0,0,,0,0,158,0.0,,0.0,
D. Mitov,Aberdeen,0,0,,0,0,1845,0.0,,0.0,
J. Smith,Hibernian,0,0,,0,0,1980,0.0,,0.0,
R. Doohan,Celtic,0,0,,0,0,1305,0.0,,0.0,
J. McCracken,Dundee FC,1,1,,0,0,1440,0.0,,0.0,
R. Sinclair,St. Johnstone,0,0,,0,0,945,0.0,,0.0,
V. Sinisalo,Celtic,0,0,,0,0,360,0.0,,0.0,
C. Ward,Motherwell,0,0,,0,0,0,0.0,,0.0,
LRL. Ross,Ross County,0,0,,0,0,0,0.0,,0.0,
