Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
K. Schmeichel,Celtic,0,17,0,6,0,2790,9,
C. Gordon,Heart of Midlothian,0,22,1,9,0,2790,12,
T. Carson,Ross County,1,13,0,9,0,1710,11,
J. Butland,Rangers,2,23,0,7,0,2520,14,
J. Hamilton,Livingston,1,5,0,0,0,315,2,
R. Laidlaw,Ross County,0,13,1,5,0,1305,7,
L. Kelly,Rangers,0,5,0,5,0,630,6,
D. Richards,Dundee United,0,2,0,1,0,180,1,
KOK. O'Hara,Dundee FC,0,18,0,4,0,1335,5,
R. Fulton,Heart of Midlothian,0,0,0,0,0,158,0,
D. Mitov,Aberdeen,1,25,0,13,0,1845,18,
J. Smith,Hibernian,1,22,0,5,0,1980,7,
R. Doohan,Celtic,0,24,0,6,0,1305,10,
J. McCracken,Dundee FC,0,20,0,2,0,1440,13,
R. Sinclair,St. Johnstone,0,21,0,7,0,945,8,
V. Sinisalo,Celtic,0,4,0,0,0,360,1,
C. Ward,Motherwell,0,0,0,0,0,0,0,
LRL. Ross,Ross County,0,0,0,0,0,0,0,
