Name,Team,Mins,Saves,Unnamed: 3
K. Schmeichel,Celtic,2790,70,
C. Gordon,Heart of Midlothian,2790,75,
T. Carson,Ross County,1710,61,
J. Butland,Rangers,2520,61,
J. Hamilton,Livingston,315,16,
R. Laidlaw,Ross County,1305,36,
L. Kelly,Rangers,630,12,
D. Richards,Dundee United,180,8,
KOK. O'Hara,Dundee FC,1335,29,
R. Fulton,Heart of Midlothian,158,3,
D. Mitov,Aberdeen,1845,67,
J. Smith,Hibernian,1980,68,
R. Doohan,Celtic,1305,33,
J. McCracken,Dundee FC,1440,58,
R. Sinclair,St. Johnstone,945,28,
V. Sinisalo,Celtic,360,8,
C. Ward,Motherwell,0,0,
LRL. Ross,Ross County,0,0,
