Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
A. Halliday,Motherwell,35,2393,2921,2,22.0,9,3,0.0,,0.0,33,33,16,34,6,125,861,662,95,83,4,19,Midfielder
G. Shinnie,Aberdeen,34,2580,2922,3,17.0,3,1,0.0,,0.0,97,66,17,49,6,229,1469,1230,135,62,6,21,Midfielder
J. Forrest,Celtic,20,804,2923,5,33.0,9,1,0.0,,0.0,10,4,3,1,17,28,469,415,6,41,5,25,Midfielder
C. McGregor,Celtic,32,2661,2924,2,36.0,10,8,0.0,,0.0,32,41,22,12,14,89,2553,2402,65,9,5,29,Midfielder
J. Holt,St. Johnstone,28,1926,2925,0,9.0,1,0,0.0,,0.0,43,41,16,14,2,107,1067,908,55,17,2,10,Midfielder
J. Newell,Hibernian,17,1293,2926,0,14.0,2,2,0.0,,0.0,17,38,9,16,0,60,501,388,90,38,0,15,Midfielder
C. Sibbald,Dundee United,13,890,2927,1,7.0,4,1,0.0,,0.0,31,21,10,6,3,43,256,187,42,6,0,7,Midfielder
D. John,St. Mirren,21,1054,2928,0,9.0,3,2,0.0,,0.0,16,27,4,7,5,34,300,211,54,69,5,14,Midfielder
LDL. Donnelly,St. Mirren,26,1197,2929,1,23.0,5,0,0.0,,0.0,40,29,11,26,11,91,410,313,90,10,2,10,Midfielder
M. O'Hara,St. Mirren,30,2444,2930,2,31.0,12,3,0.0,,0.0,48,23,19,42,13,127,815,612,93,110,4,28,Midfielder
S. Nicholson,Motherwell,12,252,2931,0,2.0,0,0,0.0,,0.0,6,8,4,8,0,20,59,41,5,8,1,2,Midfielder
S. Tanser,St. Mirren,31,1686,2932,1,15.0,2,1,0.0,,0.0,38,69,23,72,7,130,539,285,98,125,7,26,Midfielder
N. Cadden,Hibernian,27,1657,2933,6,38.0,17,5,0.0,,0.0,19,57,8,14,11,67,527,408,80,207,11,45,Midfielder
C. Cadden,Hibernian,32,2086,2934,1,12.0,5,0,0.0,,0.0,29,69,16,24,3,74,642,468,86,95,3,17,Midfielder
S. Wright,Dundee FC,2,133,2935,0,4.0,2,0,0.0,,0.0,0,0,1,1,2,5,35,26,1,3,1,1,Midfielder
