Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
A. Halliday,Motherwell,35,3,2393,0,0,
G. Shinnie,Aberdeen,34,1,2580,0,0,
J. Forrest,Celtic,20,1,804,0,0,
C. McGregor,Celtic,32,8,2661,0,0,
J. Holt,St. Johnstone,28,0,1926,0,0,
J. Newell,Hibernian,17,2,1293,0,0,
C. Sibbald,Dundee United,13,1,890,0,0,
D. John,St. Mirren,21,2,1054,0,0,
LDL. Donnelly,St. Mirren,26,0,1197,0,0,
M. O'Hara,St. Mirren,30,3,2444,0,0,
S. Nicholson,Motherwell,12,0,252,0,0,
S. Tanser,St. Mirren,31,1,1686,0,0,
N. Cadden,Hibernian,27,5,1657,0,0,
C. Cadden,Hibernian,32,0,2086,0,0,
S. Wright,Dundee FC,2,0,133,0,0,
C. Randall,Ross County,34,1,2988,0,0,
J. McGrath,Hibernian,23,4,1662,0,0,
N. Bajrami,Rangers,30,2,1331,0,0,
J. Svedberg,St. Johnstone,8,0,328,0,0,
R. Docherty,Ross County,22,0,1143,0,0,
A. Forrest,Heart of Midlothian,35,2,940,0,0,
R. Strain,Dundee United,27,0,2063,0,0,
A. Manneh,Hibernian,8,0,86,0,0,
W. Ferry,Dundee United,32,0,2876,0,0,
N. Raskin,Rangers,30,3,2368,0,0,
R. Hatate,Celtic,34,9,2161,0,0,
E. Bwomono,Aberdeen,30,0,1531,0,0,
A. Palaversa,Aberdeen,32,2,1640,0,0,
B. Baningime,Heart of Midlothian,25,0,1928,0,0,
C. Slattery,Motherwell,13,5,785,0,0,
Y. Dhanda,Dundee FC,31,0,797,0,0,
T. Elie Youan,Hibernian,17,2,907,0,0,
L. McCowan,Celtic,35,8,1554,0,0,
K. Trapanovski,Dundee United,29,2,1204,0,0,
M. Sylla,Livingston,34,0,2577,0,0,
C. Devlin,Heart of Midlothian,29,0,1865,0,0,
N. Chilvers,Ross County,31,3,1997,0,0,
V. Ševelj,Dundee United,32,2,2631,0,0,
J. Campbell,Hibernian,33,4,1740,0,0,
O. Thiago Holm,Celtic,3,0,24,0,0,
R. Idowu,St. Mirren,31,4,1120,0,0,
P. Bernardo,Celtic,30,2,1201,0,0,
F. Robertson,Dundee FC,33,0,1527,0,0,
L. Cameron,Rangers,30,7,2490,0,0,
J. Mulligan,Hibernian,33,0,2393,0,0,
J. McPake,St. Johnstone,29,1,297,0,0,
C. Reilly,Dundee FC,8,0,56,0,0,
JRJ. Reid,Ross County,20,0,239,0,0,
C. Nieuwenhof,Heart of Midlothian,11,1,314,0,0,
C. Barron,Rangers,30,0,1761,0,0,
A. Engels,Celtic,32,9,1924,0,0,
M. Diomande,Rangers,34,4,2393,0,0,
T. Keskinen,Aberdeen,33,5,2225,0,0,
B. Spittal,Heart of Midlothian,33,4,2245,0,0,
K. Fotheringham,St. Johnstone,31,0,671,0,0,
RDR. Duncan,Ross County,2,0,0,0,0,
FPF. Pollock,Heart of Midlothian,1,0,0,0,0,
A. Denholm,Livingston,16,0,689,0,0,
M. Tait,Heart of Midlothian,7,0,0,0,0,
R. Allan Molotnikov,Hibernian,23,0,477,0,0,
JWJ. Williamson,Ross County,1,0,0,0,0,
K. Andrews,Hibernian,14,0,470,0,0,
F. Franczak,St. Johnstone,28,0,368,0,0,
CDC. Donovan,Celtic,1,0,0,0,0,
B. Rice,Rangers,13,0,107,0,0,
V. Enem,Aberdeen,5,0,0,0,0,
