Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
A. Halliday,Motherwell,861,662,95,2,83,4,2393,19,
G. Shinnie,Aberdeen,1469,1230,135,3,62,6,2580,21,
J. Forrest,Celtic,469,415,6,5,41,5,804,25,
C. McGregor,Celtic,2553,2402,65,2,9,5,2661,29,
J. Holt,St. Johnstone,1067,908,55,0,17,2,1926,10,
J. Newell,Hibernian,501,388,90,0,38,0,1293,15,
C. Sibbald,Dundee United,256,187,42,1,6,0,890,7,
D. John,St. Mirren,300,211,54,0,69,5,1054,14,
LDL. Donnelly,St. Mirren,410,313,90,1,10,2,1197,10,
M. O'Hara,St. Mirren,815,612,93,2,110,4,2444,28,
S. Nicholson,Motherwell,59,41,5,0,8,1,252,2,
S. Tanser,St. Mirren,539,285,98,1,125,7,1686,26,
N. Cadden,Hibernian,527,408,80,6,207,11,1657,45,
C. Cadden,Hibernian,642,468,86,1,95,3,2086,17,
S. Wright,Dundee FC,35,26,1,0,3,1,133,1,
C. Randall,Ross County,910,568,252,0,46,0,2988,15,
J. McGrath,Hibernian,598,457,48,6,88,6,1662,42,
N. Bajrami,Rangers,648,536,42,1,38,4,1331,27,
J. Svedberg,St. Johnstone,139,115,11,1,7,2,328,5,
R. Docherty,Ross County,398,284,81,0,6,0,1143,7,
A. Forrest,Heart of Midlothian,305,244,29,1,44,4,940,14,
R. Strain,Dundee United,809,592,135,4,135,9,2063,31,
A. Manneh,Hibernian,38,30,5,0,1,0,86,0,
W. Ferry,Dundee United,1084,746,272,4,208,6,2876,56,
N. Raskin,Rangers,1641,1425,147,7,23,7,2368,33,
R. Hatate,Celtic,1516,1245,110,4,44,11,2161,37,
E. Bwomono,Aberdeen,385,251,77,2,44,2,1531,14,
A. Palaversa,Aberdeen,1206,982,149,1,85,2,1640,25,
B. Baningime,Heart of Midlothian,751,651,31,2,1,2,1928,9,
C. Slattery,Motherwell,304,248,17,1,19,1,785,9,
Y. Dhanda,Dundee FC,349,279,39,1,88,3,797,12,
T. Elie Youan,Hibernian,259,202,2,1,13,2,907,11,
L. McCowan,Celtic,1015,851,56,8,73,10,1554,46,
K. Trapanovski,Dundee United,198,143,22,2,47,3,1204,8,
M. Sylla,Livingston,731,527,86,0,5,0,2577,9,
C. Devlin,Heart of Midlothian,1118,958,88,1,15,1,1865,15,
N. Chilvers,Ross County,652,458,89,5,132,5,1997,33,
V. Ševelj,Dundee United,939,684,144,3,29,3,2631,16,
J. Campbell,Hibernian,558,379,48,1,17,3,1740,13,
O. Thiago Holm,Celtic,17,12,1,0,0,0,24,1,
R. Idowu,St. Mirren,244,182,26,1,36,2,1120,13,
P. Bernardo,Celtic,782,692,37,3,72,5,1201,30,
F. Robertson,Dundee FC,524,376,95,4,109,3,1527,24,
L. Cameron,Rangers,1168,882,178,5,140,6,2490,44,
J. Mulligan,Hibernian,751,562,47,5,53,7,2393,29,
J. McPake,St. Johnstone,92,80,4,0,8,0,297,6,
C. Reilly,Dundee FC,25,18,1,1,2,1,56,1,
JRJ. Reid,Ross County,87,64,16,0,12,0,239,3,
C. Nieuwenhof,Heart of Midlothian,162,133,13,0,8,0,314,0,
C. Barron,Rangers,1164,1046,80,0,16,0,1761,21,
A. Engels,Celtic,1213,1028,66,5,183,11,1924,50,
M. Diomande,Rangers,1237,1074,94,5,21,9,2393,36,
T. Keskinen,Aberdeen,404,296,26,2,57,8,2225,23,
B. Spittal,Heart of Midlothian,1236,931,156,3,176,10,2245,51,
K. Fotheringham,St. Johnstone,139,89,13,0,12,0,671,2,
RDR. Duncan,Ross County,0,0,0,0,0,0,0,0,
FPF. Pollock,Heart of Midlothian,0,0,0,0,0,0,0,0,
A. Denholm,Livingston,221,165,27,1,15,1,689,9,
M. Tait,Heart of Midlothian,0,0,0,0,0,0,0,0,
R. Allan Molotnikov,Hibernian,96,79,3,0,6,0,477,2,
JWJ. Williamson,Ross County,0,0,0,0,0,0,0,0,
K. Andrews,Hibernian,187,152,14,0,0,0,470,1,
F. Franczak,St. Johnstone,102,84,4,0,10,0,368,3,
CDC. Donovan,Celtic,0,0,0,0,0,0,0,0,
B. Rice,Rangers,80,66,9,0,0,0,107,0,
V. Enem,Aberdeen,0,0,0,0,0,0,0,0,
