Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
L. De Silvestri,Bologna,36,1055,2987,0,8.0,4,1,0.8087,0.82,0.3731,11,29,10,13,0,32,432,346,52,23,0,5,Defender
M. Hummels,Roma,33,918,2988,0,8.0,1,0,0.4684,0.469,0.0798,30,43,26,23,1,61,434,388,35,2,0,2,Defender
C. Kabasele,Udinese,37,1082,2989,0,15.0,4,2,1.491,1.491,0.5206,16,63,13,33,2,65,539,461,81,2,0,6,Defender
S. de Vrij,Inter,35,1719,2990,0,13.0,3,3,1.0965,1.097,0.3047,18,88,23,65,6,91,1400,1307,63,0,0,1,Defender
C. Lykogiannis,Bologna,33,1038,2991,4,6.0,2,0,0.236,0.236,2.049,22,35,11,26,3,59,510,406,64,102,4,18,Defender
J. Jesus,Napoli,33,1075,2992,1,3.0,0,0,0.3383,0.338,0.1309,25,39,9,25,1,54,848,761,97,0,0,1,Defender
C. Biraghi,Fiorentina,29,1600,2993,0,15.0,3,1,0.6165,0.638,2.6728,20,49,12,13,4,50,775,646,93,137,7,31,Defender
F. Acerbi,Inter,30,1714,2994,1,5.0,1,0,0.3951,0.397,1.3452,23,79,26,62,1,105,1277,1184,78,10,2,10,Defender
E. Hysaj,Lazio,16,422,2995,3,2.0,0,0,0.1654,0.166,1.1213,11,18,5,8,0,23,215,180,23,18,3,6,Defender
S. Kolašinac,Atalanta,23,1910,2996,2,10.0,3,0,0.7959,0.796,1.477,41,52,25,35,0,98,1242,1094,59,10,5,17,Defender
L. Spinazzola,Napoli,33,1536,2997,1,12.0,4,1,0.7887,0.74,3.4225,17,29,9,3,8,61,705,589,71,65,6,26,Defender
B. Djimsiti,Atalanta,35,2652,2998,2,20.0,4,1,2.6859,2.687,0.6952,53,138,40,91,4,165,1663,1465,119,11,2,11,Defender
A. Florenzi,Milan,11,4,2999,0,,0,0,0.0,,0.0,0,0,0,0,0,0,3,3,0,1,0,0,Defender
G. Di Lorenzo,Napoli,37,3330,3000,2,21.0,6,3,2.8281,3.083,3.865,66,77,31,47,3,166,1860,1585,113,63,6,38,Defender
S. Sabelli,Genoa,38,2069,3001,2,6.0,1,0,0.1443,0.145,1.7069,58,59,22,18,2,101,909,645,161,60,2,18,Defender
Patric,Lazio,19,604,3002,0,2.0,1,1,1.0652,1.065,0.062,9,21,3,8,0,21,398,355,57,2,0,1,Defender
A. Romagnoli,Lazio,33,2584,3003,0,19.0,8,2,1.8807,2.324,0.2227,44,112,26,85,5,141,1682,1546,111,0,0,8,Defender
R. Haps,Venezia,34,1376,3004,1,15.0,3,1,1.2318,1.231,0.816,30,36,8,18,4,65,481,388,61,26,2,7,Defender
A. Marušić,Lazio,37,2251,3005,0,22.0,10,4,1.9987,1.976,0.4804,32,57,16,30,4,84,945,827,54,44,0,11,Defender
M. Lazzari,Lazio,28,1415,3006,1,6.0,2,0,0.1169,0.118,1.5763,26,10,10,6,2,75,551,480,25,97,3,21,Defender
A. Rrahmani,Napoli,38,3406,3007,3,28.0,4,1,2.8819,2.892,0.7155,39,177,27,128,5,183,2769,2521,281,1,2,11,Defender
G. Maripán,Torino,34,2341,3008,1,12.0,5,1,0.9456,0.934,0.896,40,134,41,74,4,123,1323,1148,147,2,4,5,Defender
S. Luperto,Cagliari,37,3150,3009,3,21.0,6,1,2.4261,2.152,0.7103,48,147,30,57,3,124,1514,1284,170,8,2,8,Defender
M. Hermoso,Roma,13,255,3010,0,1.0,0,0,0.0595,0.059,0.0526,2,13,4,3,1,8,193,175,11,3,0,0,Defender
Y. Mina,Cagliari,32,2576,3011,0,26.0,8,1,2.3362,2.32,0.6641,65,155,37,97,7,220,1384,1190,135,1,1,4,Defender
T. Ebuehi,Empoli,9,74,3012,0,,0,0,0.0,,0.0598,3,0,2,3,0,9,28,18,1,2,0,0,Defender
G. Mancini,Roma,37,3144,3013,0,22.0,7,2,1.6551,1.659,0.7516,42,99,35,61,4,137,1908,1664,205,33,1,14,Defender
F. Tomori,Milan,37,1611,3014,1,2.0,0,0,0.0801,0.08,0.7637,40,56,20,28,0,78,1069,993,65,6,1,8,Defender
A. Martín,Genoa,37,3088,3015,8,16.0,4,0,0.8876,0.926,6.0866,71,65,19,20,5,131,1169,948,168,256,8,65,Defender
M. Olivera,Napoli,33,2371,3016,2,16.0,2,0,1.1357,1.121,0.8067,63,66,28,41,2,131,1384,1189,96,22,2,25,Defender
A. Vogliacco,Genoa,32,1488,3017,0,6.0,3,2,1.4338,1.435,0.2397,20,55,12,30,1,56,788,687,103,13,0,4,Defender
J. Lucumí,Bologna,34,2511,3018,1,11.0,2,0,0.4892,0.557,0.6935,48,80,25,44,2,116,1938,1772,195,4,1,8,Defender
P. Hatzidiakos,Cagliari,3,0,3019,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
M. Šverko,Venezia,27,1119,3020,0,3.0,1,1,0.4094,0.335,0.3108,20,43,16,20,0,56,534,458,59,2,1,2,Defender
Dodô,Fiorentina,35,3119,3021,5,27.0,6,0,1.2979,1.363,4.2678,44,51,35,13,9,169,1344,1102,132,144,8,36,Defender
L. Pellegrini,Juventus,26,984,3022,3,12.0,3,0,0.3986,0.4,1.4616,22,21,19,9,4,51,475,383,56,81,3,18,Defender
A. Bastoni,Inter,36,2420,3023,5,13.0,2,1,0.8352,0.816,2.7614,46,46,22,46,2,136,2034,1841,237,64,7,27,Defender
M. Gabbia,Milan,34,2161,3024,0,14.0,4,2,1.0795,1.077,0.2232,21,100,15,49,3,75,1433,1311,133,2,0,2,Defender
A. Ismajli,Torino,29,2510,3025,0,5.0,0,0,0.311,0.312,0.0564,30,245,56,79,1,136,1003,871,122,0,0,2,Defender
V. Nelsson,Hellas Verona,13,185,3026,0,1.0,0,0,0.0316,0.032,0.0056,5,9,2,8,0,18,116,104,3,0,0,0,Defender
M. Pongračić,Fiorentina,28,1368,3027,0,2.0,1,0,0.0456,0.175,0.2673,18,68,12,26,0,59,768,685,83,1,1,5,Defender
E. Ebosse,Torino,17,90,3028,0,,0,0,0.0,,0.0067,0,1,1,1,0,2,53,46,6,0,0,1,Defender
E. Ndicka,Roma,38,3420,3029,1,18.0,5,0,0.9688,1.046,0.373,32,145,33,62,5,116,2484,2290,189,0,2,8,Defender
J. Miranda,Bologna,35,2201,3030,6,21.0,5,0,0.6693,0.67,5.3902,30,43,22,35,9,102,1388,1139,212,208,10,54,Defender
M. Bakker,Atalanta,1,21,3031,0,,0,0,0.0,,0.0059,1,0,0,1,0,2,8,7,0,1,0,0,Defender
A. Candela,Venezia,19,1011,3032,1,5.0,0,0,0.3508,0.346,0.5195,31,19,8,14,1,55,331,258,24,22,2,9,Defender
N. Casale,Bologna,34,1046,3033,1,5.0,2,0,0.5074,0.507,0.4841,16,44,18,38,2,65,619,546,50,0,1,3,Defender
A. Dossena,Cagliari,26,1829,3034,2,12.0,4,0,0.7881,0.798,0.4011,33,88,22,61,1,111,1010,888,86,1,2,5,Defender
A. Buongiorno,Napoli,26,1926,3035,0,8.0,4,1,0.8101,0.81,0.5541,39,73,35,45,3,104,1272,1158,84,1,1,5,Defender
M. Frese,Hellas Verona,13,551,3036,0,2.0,0,0,0.066,0.066,0.1705,18,16,8,11,2,37,213,158,43,10,0,5,Defender
Bremer,Juventus,6,540,3037,0,3.0,0,0,0.1343,0.134,0.0561,15,14,6,12,1,34,503,467,33,0,0,0,Defender
S. Walukiewicz,Sassuolo,36,1848,3038,0,6.0,1,0,0.3933,0.394,0.5513,39,69,19,28,2,80,872,725,86,26,1,5,Defender
M. Svoboda,Venezia,16,1314,3039,0,4.0,4,1,0.1963,0.168,1.1998,26,63,22,37,0,74,820,698,83,2,2,5,Defender
J. Vásquez,Genoa,36,3041,3040,0,36.0,8,3,2.4448,2.437,0.357,56,145,50,94,10,186,1743,1484,215,7,0,7,Defender
F. Candé,Sassuolo,17,1530,3041,1,5.0,2,1,1.0802,1.132,0.1838,25,88,15,40,2,92,848,699,129,7,2,5,Defender
O. Solet,Udinese,18,1584,3042,2,11.0,6,1,0.8214,0.739,0.7545,31,69,17,19,0,86,1063,953,134,9,1,16,Defender
Z. Çelik,Roma,34,2261,3043,2,13.0,4,0,0.5707,0.57,0.9898,62,71,15,30,4,110,1167,986,91,42,2,19,Defender
L. Ranieri,Fiorentina,36,3077,3044,3,11.0,5,1,1.0875,1.235,1.3403,42,150,28,48,3,122,1768,1526,277,9,2,16,Defender
S. Beukema,Napoli,37,2914,3045,1,14.0,5,0,1.4064,1.407,0.999,53,104,29,94,2,177,2004,1737,236,8,1,10,Defender
Y. Bisseck,Inter,35,1645,3046,2,21.0,5,3,2.4907,2.591,1.2309,17,63,17,48,2,76,1256,1160,44,8,2,8,Defender
A. Cambiaso,Juventus,33,2222,3047,3,17.0,6,2,0.7312,0.733,2.048,46,20,16,7,6,102,1451,1326,62,66,4,34,Defender
G. Zappa,Cagliari,36,2972,3048,0,11.0,5,2,0.8371,0.852,3.2952,39,81,23,21,4,91,1335,1051,191,68,8,28,Defender
C. Augusto,Inter,32,1681,3049,2,24.0,7,3,2.8445,2.771,1.4559,29,47,9,57,6,104,1123,1010,50,20,4,9,Defender
J. Idzes,Sassuolo,35,3128,3050,0,15.0,3,1,1.9081,1.817,0.3852,45,153,32,58,3,115,1583,1379,155,6,4,8,Defender
J. Zemura,Udinese,33,1415,3051,2,14.0,3,1,1.0259,1.024,1.4247,31,34,16,6,4,64,465,366,47,39,4,11,Defender
A. Obert,Cagliari,35,1076,3052,1,9.0,2,1,0.9018,0.985,0.2001,31,46,22,25,3,68,431,332,58,11,0,10,Defender
E. Holm,Juventus,30,1137,3053,1,10.0,3,1,0.5734,0.574,0.9032,34,48,10,31,3,99,563,446,81,40,3,10,Defender
P. Kalulu,Juventus,31,2335,3054,0,7.0,3,1,0.6763,0.698,0.7506,41,64,17,27,2,91,2025,1900,103,22,0,11,Defender
M. Gila Fuentes,Lazio,33,2652,3055,0,15.0,4,1,1.0326,1.062,0.9534,52,105,27,63,4,146,1936,1783,179,5,1,14,Defender
S. Pavlović,Milan,37,1869,3056,1,17.0,8,2,1.7978,1.83,0.3692,52,78,16,45,5,119,1348,1200,110,10,2,6,Defender
F. Parisi,Fiorentina,38,1140,3057,0,9.0,5,2,0.4556,0.456,0.9213,27,11,17,13,1,78,407,326,39,14,3,4,Defender
O. Kossounou,Atalanta,20,1125,3058,0,6.0,4,0,0.5296,0.53,0.1962,16,21,13,23,0,50,666,591,54,3,0,1,Defender
D. Rensch,Roma,15,470,3059,1,3.0,2,0,0.2658,0.265,0.7532,17,11,7,10,1,34,224,192,14,11,1,2,Defender
J. Cabal,Juventus,12,461,3060,0,5.0,0,0,0.1469,0.149,0.2909,10,14,2,8,1,32,316,278,19,7,0,2,Defender
W. Coulibaly,Sassuolo,17,1085,3061,1,3.0,0,0,0.1405,0.141,0.8132,13,19,8,9,1,42,516,456,20,5,2,8,Defender
S. Dahl,Roma,22,41,3062,0,,0,0,0.0,,0.0478,2,0,0,0,0,2,26,23,1,1,0,0,Defender
D. Oyegoke,Hellas Verona,14,110,3063,0,1.0,0,0,0.0318,0.032,0.0064,2,6,1,0,1,4,27,22,3,4,0,0,Defender
A. Fontanarosa,Inter,2,0,3064,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
K. De Winter,Milan,27,2133,3065,0,13.0,7,3,2.0846,2.086,0.1345,33,112,25,76,0,127,1232,1070,90,4,0,3,Defender
