Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
L. De Silvestri,Bologna,0,0,8.0,4,1,1055,0.8087,0.82,0.3731,
M. Hummels,Roma,0,0,8.0,1,0,918,0.4684,0.469,0.0798,
C. Kabasele,Udinese,0,0,15.0,4,2,1082,1.491,1.491,0.5206,
S. de Vrij,Inter,0,0,13.0,3,3,1719,1.0965,1.097,0.3047,
C. Lykogiannis,Bologna,4,4,6.0,2,0,1038,0.236,0.236,2.049,
J. Jesus,Napoli,1,0,3.0,0,0,1075,0.3383,0.338,0.1309,
C. Biraghi,Fiorentina,0,7,15.0,3,1,1600,0.6165,0.638,2.6728,
F. Acerbi,Inter,1,2,5.0,1,0,1714,0.3951,0.397,1.3452,
E. Hysaj,Lazio,3,3,2.0,0,0,422,0.1654,0.166,1.1213,
S. Kolašinac,Atalanta,2,5,10.0,3,0,1910,0.7959,0.796,1.477,
L. Spinazzola,Napoli,1,6,12.0,4,1,1536,0.7887,0.74,3.4225,
B. Djimsiti,Atalanta,2,2,20.0,4,1,2652,2.6859,2.687,0.6952,
A. Florenzi,Milan,0,0,,0,0,4,0.0,,0.0,
G. Di Lorenzo,Napoli,2,6,21.0,6,3,3330,2.8281,3.083,3.865,
S. Sabelli,Genoa,2,2,6.0,1,0,2069,0.1443,0.145,1.7069,
Patric,Lazio,0,0,2.0,1,1,604,1.0652,1.065,0.062,
A. Romagnoli,Lazio,0,0,19.0,8,2,2584,1.8807,2.324,0.2227,
R. Haps,Venezia,1,2,15.0,3,1,1376,1.2318,1.231,0.816,
A. Marušić,Lazio,0,0,22.0,10,4,2251,1.9987,1.976,0.4804,
M. Lazzari,Lazio,1,3,6.0,2,0,1415,0.1169,0.118,1.5763,
A. Rrahmani,Napoli,3,2,28.0,4,1,3406,2.8819,2.892,0.7155,
G. Maripán,Torino,1,4,12.0,5,1,2341,0.9456,0.934,0.896,
S. Luperto,Cagliari,3,2,21.0,6,1,3150,2.4261,2.152,0.7103,
M. Hermoso,Roma,0,0,1.0,0,0,255,0.0595,0.059,0.0526,
Y. Mina,Cagliari,0,1,26.0,8,1,2576,2.3362,2.32,0.6641,
T. Ebuehi,Empoli,0,0,,0,0,74,0.0,,0.0598,
G. Mancini,Roma,0,1,22.0,7,2,3144,1.6551,1.659,0.7516,
F. Tomori,Milan,1,1,2.0,0,0,1611,0.0801,0.08,0.7637,
A. Martín,Genoa,8,8,16.0,4,0,3088,0.8876,0.926,6.0866,
M. Olivera,Napoli,2,2,16.0,2,0,2371,1.1357,1.121,0.8067,
A. Vogliacco,Genoa,0,0,6.0,3,2,1488,1.4338,1.435,0.2397,
J. Lucumí,Bologna,1,1,11.0,2,0,2511,0.4892,0.557,0.6935,
P. Hatzidiakos,Cagliari,0,0,,0,0,0,0.0,,0.0,
M. Šverko,Venezia,0,1,3.0,1,1,1119,0.4094,0.335,0.3108,
Dodô,Fiorentina,5,8,27.0,6,0,3119,1.2979,1.363,4.2678,
L. Pellegrini,Juventus,3,3,12.0,3,0,984,0.3986,0.4,1.4616,
A. Bastoni,Inter,5,7,13.0,2,1,2420,0.8352,0.816,2.7614,
M. Gabbia,Milan,0,0,14.0,4,2,2161,1.0795,1.077,0.2232,
A. Ismajli,Torino,0,0,5.0,0,0,2510,0.311,0.312,0.0564,
V. Nelsson,Hellas Verona,0,0,1.0,0,0,185,0.0316,0.032,0.0056,
M. Pongračić,Fiorentina,0,1,2.0,1,0,1368,0.0456,0.175,0.2673,
E. Ebosse,Torino,0,0,,0,0,90,0.0,,0.0067,
E. Ndicka,Roma,1,2,18.0,5,0,3420,0.9688,1.046,0.373,
J. Miranda,Bologna,6,10,21.0,5,0,2201,0.6693,0.67,5.3902,
M. Bakker,Atalanta,0,0,,0,0,21,0.0,,0.0059,
A. Candela,Venezia,1,2,5.0,0,0,1011,0.3508,0.346,0.5195,
N. Casale,Bologna,1,1,5.0,2,0,1046,0.5074,0.507,0.4841,
A. Dossena,Cagliari,2,2,12.0,4,0,1829,0.7881,0.798,0.4011,
A. Buongiorno,Napoli,0,1,8.0,4,1,1926,0.8101,0.81,0.5541,
M. Frese,Hellas Verona,0,0,2.0,0,0,551,0.066,0.066,0.1705,
Bremer,Juventus,0,0,3.0,0,0,540,0.1343,0.134,0.0561,
S. Walukiewicz,Sassuolo,0,1,6.0,1,0,1848,0.3933,0.394,0.5513,
M. Svoboda,Venezia,0,2,4.0,4,1,1314,0.1963,0.168,1.1998,
J. Vásquez,Genoa,0,0,36.0,8,3,3041,2.4448,2.437,0.357,
F. Candé,Sassuolo,1,2,5.0,2,1,1530,1.0802,1.132,0.1838,
O. Solet,Udinese,2,1,11.0,6,1,1584,0.8214,0.739,0.7545,
Z. Çelik,Roma,2,2,13.0,4,0,2261,0.5707,0.57,0.9898,
L. Ranieri,Fiorentina,3,2,11.0,5,1,3077,1.0875,1.235,1.3403,
S. Beukema,Napoli,1,1,14.0,5,0,2914,1.4064,1.407,0.999,
Y. Bisseck,Inter,2,2,21.0,5,3,1645,2.4907,2.591,1.2309,
A. Cambiaso,Juventus,3,4,17.0,6,2,2222,0.7312,0.733,2.048,
G. Zappa,Cagliari,0,8,11.0,5,2,2972,0.8371,0.852,3.2952,
C. Augusto,Inter,2,4,24.0,7,3,1681,2.8445,2.771,1.4559,
J. Idzes,Sassuolo,0,4,15.0,3,1,3128,1.9081,1.817,0.3852,
J. Zemura,Udinese,2,4,14.0,3,1,1415,1.0259,1.024,1.4247,
A. Obert,Cagliari,1,0,9.0,2,1,1076,0.9018,0.985,0.2001,
E. Holm,Juventus,1,3,10.0,3,1,1137,0.5734,0.574,0.9032,
P. Kalulu,Juventus,0,0,7.0,3,1,2335,0.6763,0.698,0.7506,
M. Gila Fuentes,Lazio,0,1,15.0,4,1,2652,1.0326,1.062,0.9534,
S. Pavlović,Milan,1,2,17.0,8,2,1869,1.7978,1.83,0.3692,
F. Parisi,Fiorentina,0,3,9.0,5,2,1140,0.4556,0.456,0.9213,
O. Kossounou,Atalanta,0,0,6.0,4,0,1125,0.5296,0.53,0.1962,
D. Rensch,Roma,1,1,3.0,2,0,470,0.2658,0.265,0.7532,
J. Cabal,Juventus,0,0,5.0,0,0,461,0.1469,0.149,0.2909,
W. Coulibaly,Sassuolo,1,2,3.0,0,0,1085,0.1405,0.141,0.8132,
S. Dahl,Roma,0,0,,0,0,41,0.0,,0.0478,
D. Oyegoke,Hellas Verona,0,0,1.0,0,0,110,0.0318,0.032,0.0064,
A. Fontanarosa,Inter,0,0,,0,0,0,0.0,,0.0,
K. De Winter,Milan,0,0,13.0,7,3,2133,2.0846,2.086,0.1345,
M. Viti,Sampdoria,0,0,11.0,2,1,2576,0.7686,0.763,0.1874,
G. Scalvini,Atalanta,0,0,4.0,0,0,273,0.1026,0.146,0.0484,
T. Kristensen,Udinese,0,0,3.0,1,1,1680,0.9188,0.919,0.527,
A. Marcandalli,Genoa,0,0,2.0,1,0,403,0.2704,0.27,0.02,
B. Norton-Cuffy,Genoa,0,0,5.0,2,0,721,0.259,0.251,0.1155,
S. Coco,Torino,0,0,20.0,6,2,2847,1.1775,1.16,0.1487,
S. Sazonov,Torino,0,0,,0,0,11,0.0,,0.0,
N. Valentini,Hellas Verona,0,2,8.0,0,0,1062,0.3305,0.328,0.2031,
F. Gatti,Juventus,0,1,25.0,9,1,2213,2.4546,2.456,0.2321,
