Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
L. De Silvestri,Bologna,36,1,1055,0.8087,0.3731,
M. Hummels,Roma,33,0,918,0.4684,0.0798,
C. Kabasele,Udinese,37,2,1082,1.491,0.5206,
S. de Vrij,Inter,35,3,1719,1.0965,0.3047,
C. Lykogiannis,Bologna,33,0,1038,0.236,2.049,
J. Jesus,Napoli,33,0,1075,0.3383,0.1309,
C. Biraghi,Fiorentina,29,1,1600,0.6165,2.6728,
F. Acerbi,Inter,30,0,1714,0.3951,1.3452,
E. Hysaj,Lazio,16,0,422,0.1654,1.1213,
S. Kolašinac,Atalanta,23,0,1910,0.7959,1.477,
L. Spinazzola,Napoli,33,1,1536,0.7887,3.4225,
B. Djimsiti,Atalanta,35,1,2652,2.6859,0.6952,
A. Florenzi,Milan,11,0,4,0,0,
G. Di Lorenzo,Napoli,37,3,3330,2.8281,3.865,
S. Sabelli,Genoa,38,0,2069,0.1443,1.7069,
Patric,Lazio,19,1,604,1.0652,0.062,
A. Romagnoli,Lazio,33,2,2584,1.8807,0.2227,
R. Haps,Venezia,34,1,1376,1.2318,0.816,
A. Marušić,Lazio,37,4,2251,1.9987,0.4804,
M. Lazzari,Lazio,28,0,1415,0.1169,1.5763,
A. Rrahmani,Napoli,38,1,3406,2.8819,0.7155,
G. Maripán,Torino,34,1,2341,0.9456,0.896,
S. Luperto,Cagliari,37,1,3150,2.4261,0.7103,
M. Hermoso,Roma,13,0,255,0.0595,0.0526,
Y. Mina,Cagliari,32,1,2576,2.3362,0.6641,
T. Ebuehi,Empoli,9,0,74,0,0.0598,
G. Mancini,Roma,37,2,3144,1.6551,0.7516,
F. Tomori,Milan,37,0,1611,0.0801,0.7637,
A. Martín,Genoa,37,0,3088,0.8876,6.0866,
M. Olivera,Napoli,33,0,2371,1.1357,0.8067,
A. Vogliacco,Genoa,32,2,1488,1.4338,0.2397,
J. Lucumí,Bologna,34,0,2511,0.4892,0.6935,
P. Hatzidiakos,Cagliari,3,0,0,0,0,
M. Šverko,Venezia,27,1,1119,0.4094,0.3108,
Dodô,Fiorentina,35,0,3119,1.2979,4.2678,
L. Pellegrini,Juventus,26,0,984,0.3986,1.4616,
A. Bastoni,Inter,36,1,2420,0.8352,2.7614,
M. Gabbia,Milan,34,2,2161,1.0795,0.2232,
A. Ismajli,Torino,29,0,2510,0.311,0.0564,
V. Nelsson,Hellas Verona,13,0,185,0.0316,0.0056,
M. Pongračić,Fiorentina,28,0,1368,0.0456,0.2673,
E. Ebosse,Torino,17,0,90,0,0.0067,
E. Ndicka,Roma,38,0,3420,0.9688,0.373,
J. Miranda,Bologna,35,0,2201,0.6693,5.3902,
M. Bakker,Atalanta,1,0,21,0,0.0059,
A. Candela,Venezia,19,0,1011,0.3508,0.5195,
N. Casale,Bologna,34,0,1046,0.5074,0.4841,
A. Dossena,Cagliari,26,0,1829,0.7881,0.4011,
A. Buongiorno,Napoli,26,1,1926,0.8101,0.5541,
M. Frese,Hellas Verona,13,0,551,0.066,0.1705,
Bremer,Juventus,6,0,540,0.1343,0.0561,
S. Walukiewicz,Sassuolo,36,0,1848,0.3933,0.5513,
M. Svoboda,Venezia,16,1,1314,0.1963,1.1998,
J. Vásquez,Genoa,36,3,3041,2.4448,0.357,
F. Candé,Sassuolo,17,1,1530,1.0802,0.1838,
O. Solet,Udinese,18,1,1584,0.8214,0.7545,
Z. Çelik,Roma,34,0,2261,0.5707,0.9898,
L. Ranieri,Fiorentina,36,1,3077,1.0875,1.3403,
S. Beukema,Napoli,37,0,2914,1.4064,0.999,
Y. Bisseck,Inter,35,3,1645,2.4907,1.2309,
A. Cambiaso,Juventus,33,2,2222,0.7312,2.048,
G. Zappa,Cagliari,36,2,2972,0.8371,3.2952,
C. Augusto,Inter,32,3,1681,2.8445,1.4559,
J. Idzes,Sassuolo,35,1,3128,1.9081,0.3852,
J. Zemura,Udinese,33,1,1415,1.0259,1.4247,
A. Obert,Cagliari,35,1,1076,0.9018,0.2001,
E. Holm,Juventus,30,1,1137,0.5734,0.9032,
P. Kalulu,Juventus,31,1,2335,0.6763,0.7506,
M. Gila Fuentes,Lazio,33,1,2652,1.0326,0.9534,
S. Pavlović,Milan,37,2,1869,1.7978,0.3692,
F. Parisi,Fiorentina,38,2,1140,0.4556,0.9213,
O. Kossounou,Atalanta,20,0,1125,0.5296,0.1962,
D. Rensch,Roma,15,0,470,0.2658,0.7532,
J. Cabal,Juventus,12,0,461,0.1469,0.2909,
W. Coulibaly,Sassuolo,17,0,1085,0.1405,0.8132,
S. Dahl,Roma,22,0,41,0,0.0478,
D. Oyegoke,Hellas Verona,14,0,110,0.0318,0.0064,
A. Fontanarosa,Inter,2,0,0,0,0,
K. De Winter,Milan,27,3,2133,2.0846,0.1345,
M. Viti,Sampdoria,30,1,2576,0.7686,0.1874,
G. Scalvini,Atalanta,8,0,273,0.1026,0.0484,
T. Kristensen,Udinese,27,1,1680,0.9188,0.527,
A. Marcandalli,Genoa,36,0,403,0.2704,0.02,
B. Norton-Cuffy,Genoa,26,0,721,0.259,0.1155,
S. Coco,Torino,35,2,2847,1.1775,0.1487,
S. Sazonov,Torino,4,0,11,0,0,
N. Valentini,Hellas Verona,18,0,1062,0.3305,0.2031,
F. Gatti,Juventus,33,1,2213,2.4546,0.2321,
T. Slotsager,Hellas Verona,10,0,0,0,0,
G. Guarino,Empoli,2,0,0,0,0,
M. Kayode,Fiorentina,20,0,129,0.1043,0.0209,
NPN. Pintus,Cagliari,5,0,3,0,0,
I. Hien,Atalanta,32,0,2325,0.9988,0.1813,
O. Provstgaard,Lazio,12,0,33,0,0,
L. Marianucci,Torino,35,0,1068,0.4901,0.205,
P. Comuzzo,Fiorentina,37,1,2202,0.5206,0.1987,
D. Ghilardi,Roma,34,0,1946,0.5698,0.3723,
J. Schingtienne,Venezia,32,0,1121,0,0.1249,
DBD. Bartesaghi,Milan,15,0,118,0.0117,0.2108,
S. Otoa,Genoa,9,0,181,0,0.0056,
M. Palma,Sampdoria,22,0,8,0,0,
DBD. Bembnista,Empoli,2,0,0,0,0,
H. Ahanor,Atalanta,17,0,270,0.6195,0.0545,
F. Jack,Spezia,30,0,170,0,0.0408,
