Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
L. De Silvestri,Bologna,11,29,10,13,0,1055,32,
M. Hummels,Roma,30,43,26,23,1,918,61,
C. Kabasele,Udinese,16,63,13,33,2,1082,65,
S. de Vrij,Inter,18,88,23,65,6,1719,91,
C. Lykogiannis,Bologna,22,35,11,26,3,1038,59,
J. Jesus,Napoli,25,39,9,25,1,1075,54,
C. Biraghi,Fiorentina,20,49,12,13,4,1600,50,
F. Acerbi,Inter,23,79,26,62,1,1714,105,
E. Hysaj,Lazio,11,18,5,8,0,422,23,
S. Kolašinac,Atalanta,41,52,25,35,0,1910,98,
L. Spinazzola,Napoli,17,29,9,3,8,1536,61,
B. Djimsiti,Atalanta,53,138,40,91,4,2652,165,
A. Florenzi,Milan,0,0,0,0,0,4,0,
G. Di Lorenzo,Napoli,66,77,31,47,3,3330,166,
S. Sabelli,Genoa,58,59,22,18,2,2069,101,
Patric,Lazio,9,21,3,8,0,604,21,
A. Romagnoli,Lazio,44,112,26,85,5,2584,141,
R. Haps,Venezia,30,36,8,18,4,1376,65,
A. Marušić,Lazio,32,57,16,30,4,2251,84,
M. Lazzari,Lazio,26,10,10,6,2,1415,75,
A. Rrahmani,Napoli,39,177,27,128,5,3406,183,
G. Maripán,Torino,40,134,41,74,4,2341,123,
S. Luperto,Cagliari,48,147,30,57,3,3150,124,
M. Hermoso,Roma,2,13,4,3,1,255,8,
Y. Mina,Cagliari,65,155,37,97,7,2576,220,
T. Ebuehi,Empoli,3,0,2,3,0,74,9,
G. Mancini,Roma,42,99,35,61,4,3144,137,
F. Tomori,Milan,40,56,20,28,0,1611,78,
A. Martín,Genoa,71,65,19,20,5,3088,131,
M. Olivera,Napoli,63,66,28,41,2,2371,131,
A. Vogliacco,Genoa,20,55,12,30,1,1488,56,
J. Lucumí,Bologna,48,80,25,44,2,2511,116,
P. Hatzidiakos,Cagliari,0,0,0,0,0,0,0,
M. Šverko,Venezia,20,43,16,20,0,1119,56,
Dodô,Fiorentina,44,51,35,13,9,3119,169,
L. Pellegrini,Juventus,22,21,19,9,4,984,51,
A. Bastoni,Inter,46,46,22,46,2,2420,136,
M. Gabbia,Milan,21,100,15,49,3,2161,75,
A. Ismajli,Torino,30,245,56,79,1,2510,136,
V. Nelsson,Hellas Verona,5,9,2,8,0,185,18,
M. Pongračić,Fiorentina,18,68,12,26,0,1368,59,
E. Ebosse,Torino,0,1,1,1,0,90,2,
