Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
L. De Silvestri,Bologna,432,346,52,0,23,0,1055,5,
M. Hummels,Roma,434,388,35,0,2,0,918,2,
C. Kabasele,Udinese,539,461,81,0,2,0,1082,6,
S. de Vrij,Inter,1400,1307,63,0,0,0,1719,1,
C. Lykogiannis,Bologna,510,406,64,4,102,4,1038,18,
J. Jesus,Napoli,848,761,97,1,0,0,1075,1,
C. Biraghi,Fiorentina,775,646,93,0,137,7,1600,31,
F. Acerbi,Inter,1277,1184,78,1,10,2,1714,10,
E. Hysaj,Lazio,215,180,23,3,18,3,422,6,
S. Kolašinac,Atalanta,1242,1094,59,2,10,5,1910,17,
L. Spinazzola,Napoli,705,589,71,1,65,6,1536,26,
B. Djimsiti,Atalanta,1663,1465,119,2,11,2,2652,11,
A. Florenzi,Milan,3,3,0,0,1,0,4,0,
G. Di Lorenzo,Napoli,1860,1585,113,2,63,6,3330,38,
S. Sabelli,Genoa,909,645,161,2,60,2,2069,18,
Patric,Lazio,398,355,57,0,2,0,604,1,
A. Romagnoli,Lazio,1682,1546,111,0,0,0,2584,8,
R. Haps,Venezia,481,388,61,1,26,2,1376,7,
A. Marušić,Lazio,945,827,54,0,44,0,2251,11,
M. Lazzari,Lazio,551,480,25,1,97,3,1415,21,
A. Rrahmani,Napoli,2769,2521,281,3,1,2,3406,11,
G. Maripán,Torino,1323,1148,147,1,2,4,2341,5,
S. Luperto,Cagliari,1514,1284,170,3,8,2,3150,8,
M. Hermoso,Roma,193,175,11,0,3,0,255,0,
Y. Mina,Cagliari,1384,1190,135,0,1,1,2576,4,
T. Ebuehi,Empoli,28,18,1,0,2,0,74,0,
G. Mancini,Roma,1908,1664,205,0,33,1,3144,14,
F. Tomori,Milan,1069,993,65,1,6,1,1611,8,
A. Martín,Genoa,1169,948,168,8,256,8,3088,65,
M. Olivera,Napoli,1384,1189,96,2,22,2,2371,25,
A. Vogliacco,Genoa,788,687,103,0,13,0,1488,4,
J. Lucumí,Bologna,1938,1772,195,1,4,1,2511,8,
