Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
M. Balotelli,Genoa,9,67,3091,0,2.0,0,0,0.046,0.046,0.0,0,1,0,2,2,4,11,4,1,3,0,0,Forward
Pedro,Lazio,35,1060,3092,1,36.0,16,8,5.0539,3.471,1.6311,19,3,3,1,8,59,509,444,27,61,2,21,Forward
D. Zapata,Torino,7,589,3093,0,21.0,10,3,3.3542,3.352,0.4581,7,7,2,20,5,36,121,84,6,3,1,9,Forward
S. El Shaarawy,Roma,36,1110,3094,4,28.0,12,3,2.4526,2.658,1.942,16,12,10,5,8,52,426,351,18,27,0,15,Forward
R. Lukaku,Napoli,36,2870,3095,10,64.0,24,14,13.0311,9.943,2.5867,4,17,1,42,25,88,493,351,10,4,8,35,Forward
Á. Morata,Milan,16,1105,3096,0,27.0,10,5,3.8705,3.928,0.2445,16,5,5,15,5,54,255,200,16,13,3,7,Forward
L. Pavoletti,Cagliari,31,377,3097,0,17.0,6,1,2.165,2.165,0.6645,0,3,0,44,0,48,138,83,5,0,3,9,Forward
G. Lapadula,Spezia,19,306,3098,0,15.0,3,0,1.4017,1.461,0.2306,2,1,0,11,10,16,61,39,1,3,0,3,Forward
M. Politano,Napoli,37,2828,3099,4,56.0,14,3,3.0706,3.11,5.2426,29,41,13,6,21,97,1000,802,74,229,8,56,Forward
P. Dybala,Roma,31,1420,3100,3,50.0,19,6,6.3401,3.996,5.1715,17,2,2,8,13,96,659,570,50,62,8,40,Forward
M. Cornet,Genoa,7,242,3101,1,5.0,3,2,1.0549,1.017,0.6943,2,2,2,1,0,7,62,46,2,8,3,5,Forward
C. Ekuban,Genoa,18,543,3102,3,18.0,6,1,2.5137,2.762,0.1941,3,6,1,12,2,27,103,71,6,3,1,8,Forward
G. Simeone,Torino,38,440,3103,1,13.0,3,1,2.5817,2.583,0.2858,2,6,1,9,3,32,110,79,1,3,1,8,Forward
T. Abraham,Roma,36,1183,3104,4,28.0,13,3,7.1235,5.547,1.2568,17,15,2,37,5,70,220,153,7,3,5,15,Forward
