Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
M. Balotelli,Genoa,0,0,2.0,0,0,67,0.046,0.046,0.0,
Pedro,Lazio,1,2,36.0,16,8,1060,5.0539,3.471,1.6311,
D. Zapata,Torino,0,1,21.0,10,3,589,3.3542,3.352,0.4581,
S. El Shaarawy,Roma,4,0,28.0,12,3,1110,2.4526,2.658,1.942,
R. Lukaku,Napoli,10,8,64.0,24,14,2870,13.0311,9.943,2.5867,
Á. Morata,Milan,0,3,27.0,10,5,1105,3.8705,3.928,0.2445,
L. Pavoletti,Cagliari,0,3,17.0,6,1,377,2.165,2.165,0.6645,
G. Lapadula,Spezia,0,0,15.0,3,0,306,1.4017,1.461,0.2306,
M. Politano,Napoli,4,8,56.0,14,3,2828,3.0706,3.11,5.2426,
P. Dybala,Roma,3,8,50.0,19,6,1420,6.3401,3.996,5.1715,
M. Cornet,Genoa,1,3,5.0,3,2,242,1.0549,1.017,0.6943,
C. Ekuban,Genoa,3,1,18.0,6,1,543,2.5137,2.762,0.1941,
G. Simeone,Torino,1,1,13.0,3,1,440,2.5817,2.583,0.2858,
T. Abraham,Roma,4,5,28.0,13,3,1183,7.1235,5.547,1.2568,
C. Adams,Torino,3,5,64.0,26,9,2657,9.0681,8.253,2.8422,
M. Thuram,Inter,4,6,65.0,27,14,2298,10.0639,9.96,4.0725,
E. Shomurodov,Roma,4,3,29.0,14,4,1108,4.7728,4.766,1.3746,
F. Coman,Cagliari,0,0,4.0,1,1,258,0.2238,0.224,0.0394,
A. Dovbyk,Roma,2,5,63.0,27,12,2430,12.2508,10.653,1.5441,
A. Guðmundsson,Genoa,1,3,27.0,15,6,1285,4.5028,2.919,0.9356,
G. Scamacca,Atalanta,0,0,1.0,1,0,13,0.0863,0.086,0.0,
L. Martínez,Inter,3,9,101.0,34,12,2577,12.921,13.52,4.3308,
A. Pinamonti,Sassuolo,1,2,79.0,30,10,2860,7.8626,7.025,1.248,
N. Pierini,Sampdoria,0,0,1.0,0,0,82,0.033,0.033,0.0944,
K. Davis,Udinese,1,2,25.0,11,2,990,2.6602,2.648,0.68,
D. Vlahović,Juventus,4,3,77.0,30,10,1797,12.4966,9.176,0.8896,
M. Kean,Fiorentina,3,4,105.0,51,19,2710,19.42,18.279,1.1129,
N. Krstović,Atalanta,5,5,137.0,42,11,3068,12.0486,9.733,1.6544,
P. Pellegri,Empoli,0,1,8.0,4,3,413,0.2927,0.297,0.1858,
D. Neres,Napoli,4,6,29.0,7,2,1294,2.7138,2.685,3.1649,
S. Żurkowski,Spezia,0,0,2.0,0,0,105,0.0954,0.082,0.0181,
N. Zaniolo,Udinese,2,2,20.0,8,2,700,1.5907,1.599,0.83,
G. Raspadori,Atalanta,1,2,42.0,14,6,1119,4.098,4.035,2.1703,
C. Ngonge,Napoli,0,0,13.0,6,0,238,0.6921,0.69,0.2224,
J. Yeboah,Venezia,1,3,30.0,10,1,1232,2.8173,2.969,1.4979,
S. Giménez,Milan,2,3,23.0,10,5,676,4.8378,4.01,0.444,
T. Dallinga,Bologna,2,0,28.0,9,3,1068,3.7965,3.82,0.6422,
W. Cheddira,Napoli,0,0,,0,0,11,0.0,,0.0,
E. Tavsan,Hellas Verona,0,0,,0,0,0,0.0,,0.0,
L. Colombo,Genoa,2,5,56.0,20,6,2249,6.1088,5.153,0.8948,
R. Piccoli,Fiorentina,1,2,98.0,31,10,3142,12.2956,12.06,0.4945,
B. Dia,Lazio,3,7,38.0,20,9,2137,7.1226,7.169,1.4325,
