Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
M. Balotelli,Genoa,9,0,67,0.046,0,
Pedro,Lazio,35,8,1060,5.0539,1.6311,
D. Zapata,Torino,7,3,589,3.3542,0.4581,
S. El Shaarawy,Roma,36,3,1110,2.4526,1.942,
R. Lukaku,Napoli,36,14,2870,13.0311,2.5867,
Á. Morata,Milan,16,5,1105,3.8705,0.2445,
L. Pavoletti,Cagliari,31,1,377,2.165,0.6645,
G. Lapadula,Spezia,19,0,306,1.4017,0.2306,
M. Politano,Napoli,37,3,2828,3.0706,5.2426,
P. Dybala,Roma,31,6,1420,6.3401,5.1715,
M. Cornet,Genoa,7,2,242,1.0549,0.6943,
C. Ekuban,Genoa,18,1,543,2.5137,0.1941,
G. Simeone,Torino,38,1,440,2.5817,0.2858,
T. Abraham,Roma,36,3,1183,7.1235,1.2568,
C. Adams,Torino,37,9,2657,9.0681,2.8422,
M. Thuram,Inter,35,14,2298,10.0639,4.0725,
E. Shomurodov,Roma,37,4,1108,4.7728,1.3746,
F. Coman,Cagliari,12,1,258,0.2238,0.0394,
A. Dovbyk,Roma,35,12,2430,12.2508,1.5441,
A. Guðmundsson,Genoa,27,6,1285,4.5028,0.9356,
G. Scamacca,Atalanta,1,0,13,0.0863,0,
L. Martínez,Inter,32,12,2577,12.921,4.3308,
A. Pinamonti,Sassuolo,37,10,2860,7.8626,1.248,
N. Pierini,Sampdoria,2,0,82,0.033,0.0944,
K. Davis,Udinese,24,2,990,2.6602,0.68,
D. Vlahović,Juventus,32,10,1797,12.4966,0.8896,
M. Kean,Fiorentina,32,19,2710,19.42,1.1129,
N. Krstović,Atalanta,37,11,3068,12.0486,1.6544,
P. Pellegri,Empoli,14,3,413,0.2927,0.1858,
D. Neres,Napoli,29,2,1294,2.7138,3.1649,
S. Żurkowski,Spezia,7,0,105,0.0954,0.0181,
N. Zaniolo,Udinese,31,2,700,1.5907,0.83,
G. Raspadori,Atalanta,38,6,1119,4.098,2.1703,
C. Ngonge,Napoli,38,0,238,0.6921,0.2224,
J. Yeboah,Venezia,33,1,1232,2.8173,1.4979,
S. Giménez,Milan,14,5,676,4.8378,0.444,
T. Dallinga,Bologna,37,3,1068,3.7965,0.6422,
W. Cheddira,Napoli,2,0,11,0,0,
E. Tavsan,Hellas Verona,2,0,0,0,0,
L. Colombo,Genoa,37,6,2249,6.1088,0.8948,
R. Piccoli,Fiorentina,37,10,3142,12.2956,0.4945,
B. Dia,Lazio,36,9,2137,7.1226,1.4325,
C. De Ketelaere,Atalanta,36,7,2080,7.2799,4.8259,
L. Lucca,Napoli,33,12,2361,7.6204,0.7426,
S. Esposito,Cagliari,34,8,2341,5.6916,2.1414,
D. Maldini,Lazio,32,6,1559,7.1305,1.4126,
N. Cambiaghi,Bologna,18,1,587,0.7836,2.162,
F. Conceição,Juventus,28,3,1342,2.3178,4.4144,
J. Fazzini,Fiorentina,22,4,1393,3.0897,0.7323,
M. Cancellieri,Lazio,29,3,1440,2.6603,0.6622,
D. Mosquera,Hellas Verona,36,5,1312,6.4655,0.8483,
S. Mitrović,Hellas Verona,2,0,0,0,0,
T. Noslin,Lazio,36,2,874,2.0309,1.0156,
M. Soulé,Roma,37,5,1799,3.0246,3.4309,
A. Bonny,Inter,36,6,2485,9.3678,2.1348,
D. Fila,Empoli,14,2,500,1.418,0.3493,
VVV. Vlahović,Spezia,4,0,34,0.1564,0.0937,
Vitinha,Genoa,26,2,1337,1.6559,2.001,
S. Castro,Bologna,36,8,2294,7.5842,1.4986,
F. Accornero,Genoa,12,0,10,0,0,
A. Raimondo,Bologna,15,0,116,0.3214,0.1514,
D. Pizarro,Udinese,23,0,24,0,0,
J. Ajayi,Hellas Verona,25,0,11,0,0,
A. Njie,Torino,21,1,385,1.3509,0.2979,
FCF. Camarda,Milan,14,0,75,0.3603,0.0269,
J. Ekhator,Genoa,33,1,787,1.3824,0.559,
TCT. Campaniello,Empoli,11,0,28,0.6415,0,
AAA. Asmussen,Empoli,6,0,0,0,0,
