Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
M. Balotelli,Genoa,11,4,1,0,3,0,67,0,
Pedro,Lazio,509,444,27,1,61,2,1060,21,
D. Zapata,Torino,121,84,6,0,3,1,589,9,
S. El Shaarawy,Roma,426,351,18,4,27,0,1110,15,
R. Lukaku,Napoli,493,351,10,10,4,8,2870,35,
Á. Morata,Milan,255,200,16,0,13,3,1105,7,
L. Pavoletti,Cagliari,138,83,5,0,0,3,377,9,
G. Lapadula,Spezia,61,39,1,0,3,0,306,3,
M. Politano,Napoli,1000,802,74,4,229,8,2828,56,
P. Dybala,Roma,659,570,50,3,62,8,1420,40,
M. Cornet,Genoa,62,46,2,1,8,3,242,5,
C. Ekuban,Genoa,103,71,6,3,3,1,543,8,
G. Simeone,Torino,110,79,1,1,3,1,440,8,
T. Abraham,Roma,220,153,7,4,3,5,1183,15,
C. Adams,Torino,545,410,30,3,10,5,2657,27,
M. Thuram,Inter,544,408,10,4,13,6,2298,40,
E. Shomurodov,Roma,280,215,8,4,6,3,1108,17,
F. Coman,Cagliari,80,67,2,0,2,0,258,1,
A. Dovbyk,Roma,427,320,1,2,1,5,2430,25,
A. Guðmundsson,Genoa,470,408,24,1,24,3,1285,15,
G. Scamacca,Atalanta,1,1,0,0,0,0,13,0,
L. Martínez,Inter,611,468,38,3,13,9,2577,37,
A. Pinamonti,Sassuolo,644,414,27,1,17,2,2860,15,
N. Pierini,Sampdoria,17,14,0,0,3,0,82,2,
K. Davis,Udinese,255,199,7,1,3,2,990,19,
D. Vlahović,Juventus,352,252,14,4,9,3,1797,15,
M. Kean,Fiorentina,312,224,12,3,9,4,2710,19,
N. Krstović,Atalanta,636,424,39,5,8,5,3068,30,
P. Pellegri,Empoli,69,50,1,0,3,1,413,7,
D. Neres,Napoli,452,389,8,4,92,6,1294,26,
S. Żurkowski,Spezia,33,27,1,0,0,0,105,0,
N. Zaniolo,Udinese,166,136,8,2,8,2,700,13,
G. Raspadori,Atalanta,341,260,23,1,67,2,1119,28,
C. Ngonge,Napoli,76,66,2,0,11,0,238,3,
J. Yeboah,Venezia,324,251,11,1,26,3,1232,20,
S. Giménez,Milan,94,76,1,2,2,3,676,6,
T. Dallinga,Bologna,280,203,8,2,3,0,1068,11,
W. Cheddira,Napoli,3,2,0,0,0,0,11,1,
E. Tavsan,Hellas Verona,0,0,0,0,0,0,0,0,
L. Colombo,Genoa,494,338,36,2,10,5,2249,21,
R. Piccoli,Fiorentina,502,340,11,1,8,2,3142,13,
B. Dia,Lazio,566,475,25,3,2,7,2137,26,
C. De Ketelaere,Atalanta,906,718,44,7,56,12,2080,40,
L. Lucca,Napoli,370,240,15,1,5,1,2361,14,
S. Esposito,Cagliari,672,429,66,0,55,3,2341,36,
D. Maldini,Lazio,427,311,27,0,43,1,1559,15,
N. Cambiaghi,Bologna,186,157,5,3,43,3,587,13,
F. Conceição,Juventus,473,403,20,3,62,6,1342,28,
J. Fazzini,Fiorentina,389,303,20,1,32,1,1393,12,
M. Cancellieri,Lazio,289,204,21,0,21,1,1440,11,
D. Mosquera,Hellas Verona,312,212,8,1,2,2,1312,13,
S. Mitrović,Hellas Verona,0,0,0,0,0,0,0,0,
T. Noslin,Lazio,226,176,10,2,15,2,874,11,
M. Soulé,Roma,830,725,37,5,88,9,1799,51,
A. Bonny,Inter,546,418,19,4,14,7,2485,30,
D. Fila,Empoli,90,70,4,0,0,0,500,6,
VVV. Vlahović,Spezia,3,3,0,0,0,0,34,2,
Vitinha,Genoa,268,172,19,3,45,6,1337,16,
S. Castro,Bologna,439,342,39,4,8,3,2294,27,
F. Accornero,Genoa,5,4,0,0,1,0,10,0,
A. Raimondo,Bologna,24,16,0,0,1,0,116,1,
D. Pizarro,Udinese,3,2,0,0,0,0,24,0,
J. Ajayi,Hellas Verona,4,4,0,0,0,0,11,0,
A. Njie,Torino,83,58,5,0,6,0,385,4,
FCF. Camarda,Milan,13,11,0,0,0,0,75,4,
J. Ekhator,Genoa,151,108,4,1,10,2,787,11,
TCT. Campaniello,Empoli,14,9,0,0,0,0,28,0,
AAA. Asmussen,Empoli,0,0,0,0,0,0,0,0,
