Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
D. Padelli,Udinese,35,90,3159,0,,0,0,0.0,,0.0,0,0,0,0,0,0,18,13,8,0,0,0,3.0,Goalkeeper
Y. Sommer,Inter,36,2970,3160,0,,0,0,0.0,,0.0,0,22,0,4,0,5,1189,1031,312,0,0,0,46.0,Goalkeeper
Ł. Skorupski,Bologna,34,2275,3161,0,,0,0,0.0,,0.0063,1,20,0,3,0,8,931,711,369,0,0,0,26.0,Goalkeeper
C. Pinsoglio,Juventus,36,0,3162,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
D. De Gea,Fiorentina,38,3150,3163,1,,0,0,0.0,,0.0054,1,30,0,6,0,9,998,703,558,0,1,3,58.0,Goalkeeper
M. Perin,Juventus,36,450,3164,0,,0,0,0.0,,0.0,0,2,0,1,0,1,152,115,52,0,0,0,0.0,Goalkeeper
F. Rossi,Atalanta,36,0,3165,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
N. Leali,Genoa,38,2610,3166,0,,0,0,0.0,,0.0102,0,29,0,10,0,12,824,559,439,0,0,0,48.0,Goalkeeper
A. Donnarumma,Salernitana,37,0,3167,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
P. Terracciano,Milan,38,270,3168,0,,0,0,0.0,,0.0,0,0,0,0,0,0,75,57,27,0,0,0,0.0,Goalkeeper
B. Siegrist,Genoa,15,153,3169,0,,0,0,0.0,,0.0,0,2,1,0,0,0,64,39,37,0,0,0,10.0,Goalkeeper
M. Sportiello,Atalanta,29,125,3170,0,,0,0,0.0,,0.0,0,1,0,0,0,0,52,43,16,0,0,0,4.0,Goalkeeper
M. Maignan,Milan,37,3295,3171,0,,0,0,0.0,,0.1693,0,25,0,4,0,12,1374,1164,407,0,1,5,60.0,Goalkeeper
S. Perilli,Hellas Verona,37,180,3172,0,,0,0,0.0,,0.0,0,2,0,1,0,1,46,11,44,0,0,0,4.0,Goalkeeper
L. Montipò,Hellas Verona,36,3150,3173,0,,0,0,0.0,,0.0436,1,44,0,11,0,15,948,417,762,0,0,0,45.0,Goalkeeper
A. Paleari,Torino,38,90,3174,0,,0,0,0.0,,0.0,0,2,0,1,0,1,27,23,13,0,0,0,0.0,Goalkeeper
J. Musso,Atalanta,2,90,3175,0,,0,0,0.0,,0.0,0,0,0,1,0,1,29,13,21,0,0,0,,Goalkeeper
R. Di Gennaro,Inter,25,0,3176,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
I. Provedel,Lazio,37,2610,3177,0,,0,0,0.0,,0.0522,0,24,1,10,0,12,1019,769,474,0,1,3,23.0,Goalkeeper
P. Gollini,Roma,31,630,3178,0,,0,0,0.0,,0.0085,0,2,0,0,0,0,229,185,89,0,0,0,0.0,Goalkeeper
N. Contini,Napoli,28,0,3179,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
V. Milinković-Savić,Napoli,37,3330,3180,0,,0,0,0.0,,0.2156,1,45,0,13,0,22,1432,919,778,0,0,3,76.0,Goalkeeper
A. Sherri,Cagliari,37,622,3181,0,,0,0,0.0,,0.0,1,10,1,0,0,1,203,141,96,0,0,1,4.0,Goalkeeper
A. Meret,Napoli,35,3006,3182,0,,0,0,0.0,,0.0,0,24,0,8,0,10,1105,934,317,0,0,0,33.0,Goalkeeper
D. Sommariva,Genoa,37,27,3183,0,,0,0,0.0,,0.0,0,4,0,1,0,1,15,5,11,0,0,0,2.0,Goalkeeper
M. Svilar,Roma,38,3420,3184,0,1.0,0,0,0.0451,0.045,0.0,0,21,0,7,0,14,1288,981,481,0,0,0,70.0,Goalkeeper
S. Perisan,Empoli,10,0,3185,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
M. Di Gregorio,Juventus,38,2970,3186,0,,0,0,0.0,,0.006,0,29,1,11,0,14,868,639,393,0,1,1,50.0,Goalkeeper
J. Martínez,Inter,37,450,3187,0,,0,0,0.0,,0.0,0,2,0,1,0,2,226,192,64,0,1,1,12.0,Goalkeeper
F. Brancolini,Salernitana,23,0,3188,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
F. Ravaglia,Bologna,37,1043,3189,0,,0,0,0.0,,0.0,0,15,0,7,0,9,418,321,156,0,0,1,3.0,Goalkeeper
M. Carnesecchi,Atalanta,36,3060,3190,0,,0,0,0.0,,0.0,0,41,0,8,0,12,902,635,427,0,1,1,50.0,Goalkeeper
M. Okoye,Udinese,24,2160,3191,0,,0,0,0.0,,0.0236,0,18,0,7,0,8,774,587,322,0,0,0,30.0,Goalkeeper
S. Turati,Sassuolo,34,2665,3192,0,,0,0,0.0,,0.0051,0,25,0,11,0,15,939,631,513,0,0,0,50.0,Goalkeeper
D. Vásquez,Roma,38,2880,3193,0,,0,0,0.0,,0.0311,0,29,0,9,0,13,999,565,624,0,0,0,40.0,Goalkeeper
E. Caprile,Cagliari,36,1854,3194,0,,0,0,0.0,,0.0053,1,16,0,6,0,11,661,439,390,0,0,0,44.0,Goalkeeper
A. Furlanetto,Lazio,35,0,3195,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
F. Stolz,Genoa,7,0,3196,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
F. Stanković,Venezia,28,1368,3197,0,,0,0,0.0,,0.0,0,21,0,5,0,6,461,321,212,0,0,0,20.0,Goalkeeper
G. Ciocci,Cagliari,25,8,3198,0,,0,0,0.0,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0.0,Goalkeeper
R. Sava,Udinese,30,1080,3199,0,,0,0,0.0,,0.0,0,12,0,0,0,1,366,252,167,0,0,0,26.0,Goalkeeper
VIV. Iliev,Cagliari,3,0,3200,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
T. Martinelli,Sampdoria,36,0,3201,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Goalkeeper
