Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
D. Padelli,Udinese,0,0,0,0,0,90,0,
Y. Sommer,Inter,0,22,0,4,0,2970,5,
Ł. Skorupski,Bologna,1,20,0,3,0,2275,8,
C. Pinsoglio,Juventus,0,0,0,0,0,0,0,
D. De Gea,Fiorentina,1,30,0,6,0,3150,9,
M. Perin,Juventus,0,2,0,1,0,450,1,
F. Rossi,Atalanta,0,0,0,0,0,0,0,
N. Leali,Genoa,0,29,0,10,0,2610,12,
A. Donnarumma,Salernitana,0,0,0,0,0,0,0,
P. Terracciano,Milan,0,0,0,0,0,270,0,
B. Siegrist,Genoa,0,2,1,0,0,153,0,
M. Sportiello,Atalanta,0,1,0,0,0,125,0,
M. Maignan,Milan,0,25,0,4,0,3295,12,
S. Perilli,Hellas Verona,0,2,0,1,0,180,1,
L. Montipò,Hellas Verona,1,44,0,11,0,3150,15,
A. Paleari,Torino,0,2,0,1,0,90,1,
J. Musso,Atalanta,0,0,0,1,0,90,1,
R. Di Gennaro,Inter,0,0,0,0,0,0,0,
I. Provedel,Lazio,0,24,1,10,0,2610,12,
P. Gollini,Roma,0,2,0,0,0,630,0,
N. Contini,Napoli,0,0,0,0,0,0,0,
V. Milinković-Savić,Napoli,1,45,0,13,0,3330,22,
A. Sherri,Cagliari,1,10,1,0,0,622,1,
A. Meret,Napoli,0,24,0,8,0,3006,10,
D. Sommariva,Genoa,0,4,0,1,0,27,1,
M. Svilar,Roma,0,21,0,7,0,3420,14,
S. Perisan,Empoli,0,0,0,0,0,0,0,
M. Di Gregorio,Juventus,0,29,1,11,0,2970,14,
J. Martínez,Inter,0,2,0,1,0,450,2,
F. Brancolini,Salernitana,0,0,0,0,0,0,0,
F. Ravaglia,Bologna,0,15,0,7,0,1043,9,
M. Carnesecchi,Atalanta,0,41,0,8,0,3060,12,
M. Okoye,Udinese,0,18,0,7,0,2160,8,
S. Turati,Sassuolo,0,25,0,11,0,2665,15,
D. Vásquez,Roma,0,29,0,9,0,2880,13,
E. Caprile,Cagliari,1,16,0,6,0,1854,11,
A. Furlanetto,Lazio,0,0,0,0,0,0,0,
F. Stolz,Genoa,0,0,0,0,0,0,0,
F. Stanković,Venezia,0,21,0,5,0,1368,6,
G. Ciocci,Cagliari,0,0,0,0,0,8,1,
R. Sava,Udinese,0,12,0,0,0,1080,1,
VIV. Iliev,Cagliari,0,0,0,0,0,0,0,
T. Martinelli,Sampdoria,0,0,0,0,0,0,0,
L. Torriani,Milan,0,0,0,0,0,0,0,
MPM. Pessina,Bologna,0,0,0,0,0,0,0,
G. De Marzi,Roma,0,0,0,0,0,0,0,
