Name,Team,Mins,Saves,Unnamed: 3
D. Padelli,Udinese,90,3,
Y. Sommer,Inter,2970,46,
Ł. Skorupski,Bologna,2275,26,
C. Pinsoglio,Juventus,0,0,
D. De Gea,Fiorentina,3150,58,
M. Perin,Juventus,450,0,
F. Rossi,Atalanta,0,0,
N. Leali,Genoa,2610,48,
A. Donnarumma,Salernitana,0,0,
P. Terracciano,Milan,270,0,
B. Siegrist,Genoa,153,10,
M. Sportiello,Atalanta,125,4,
M. Maignan,Milan,3295,60,
S. Perilli,Hellas Verona,180,4,
L. Montipò,Hellas Verona,3150,45,
A. Paleari,Torino,90,0,
J. Musso,Atalanta,90,,
R. Di Gennaro,Inter,0,0,
I. Provedel,Lazio,2610,23,
P. Gollini,Roma,630,0,
N. Contini,Napoli,0,0,
V. Milinković-Savić,Napoli,3330,76,
A. Sherri,Cagliari,622,4,
A. Meret,Napoli,3006,33,
D. Sommariva,Genoa,27,2,
M. Svilar,Roma,3420,70,
S. Perisan,Empoli,0,0,
M. Di Gregorio,Juventus,2970,50,
J. Martínez,Inter,450,12,
F. Brancolini,Salernitana,0,0,
F. Ravaglia,Bologna,1043,3,
M. Carnesecchi,Atalanta,3060,50,
M. Okoye,Udinese,2160,30,
S. Turati,Sassuolo,2665,50,
D. Vásquez,Roma,2880,40,
E. Caprile,Cagliari,1854,44,
A. Furlanetto,Lazio,0,0,
F. Stolz,Genoa,0,0,
F. Stanković,Venezia,1368,20,
G. Ciocci,Cagliari,8,0,
R. Sava,Udinese,1080,26,
VIV. Iliev,Cagliari,0,0,
T. Martinelli,Sampdoria,0,0,
L. Torriani,Milan,0,0,
MPM. Pessina,Bologna,0,0,
G. De Marzi,Roma,0,0,
