Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
D. Padelli,Udinese,18,13,8,0,0,0,90,0,
Y. Sommer,Inter,1189,1031,312,0,0,0,2970,0,
Ł. Skorupski,Bologna,931,711,369,0,0,0,2275,0,
C. Pinsoglio,Juventus,0,0,0,0,0,0,0,0,
D. De Gea,Fiorentina,998,703,558,1,0,1,3150,3,
M. Perin,Juventus,152,115,52,0,0,0,450,0,
F. Rossi,Atalanta,0,0,0,0,0,0,0,0,
N. Leali,Genoa,824,559,439,0,0,0,2610,0,
A. Donnarumma,Salernitana,0,0,0,0,0,0,0,0,
P. Terracciano,Milan,75,57,27,0,0,0,270,0,
B. Siegrist,Genoa,64,39,37,0,0,0,153,0,
M. Sportiello,Atalanta,52,43,16,0,0,0,125,0,
M. Maignan,Milan,1374,1164,407,0,0,1,3295,5,
S. Perilli,Hellas Verona,46,11,44,0,0,0,180,0,
L. Montipò,Hellas Verona,948,417,762,0,0,0,3150,0,
A. Paleari,Torino,27,23,13,0,0,0,90,0,
J. Musso,Atalanta,29,13,21,0,0,0,90,0,
R. Di Gennaro,Inter,0,0,0,0,0,0,0,0,
I. Provedel,Lazio,1019,769,474,0,0,1,2610,3,
P. Gollini,Roma,229,185,89,0,0,0,630,0,
N. Contini,Napoli,0,0,0,0,0,0,0,0,
V. Milinković-Savić,Napoli,1432,919,778,0,0,0,3330,3,
A. Sherri,Cagliari,203,141,96,0,0,0,622,1,
A. Meret,Napoli,1105,934,317,0,0,0,3006,0,
D. Sommariva,Genoa,15,5,11,0,0,0,27,0,
M. Svilar,Roma,1288,981,481,0,0,0,3420,0,
S. Perisan,Empoli,0,0,0,0,0,0,0,0,
M. Di Gregorio,Juventus,868,639,393,0,0,1,2970,1,
J. Martínez,Inter,226,192,64,0,0,1,450,1,
F. Brancolini,Salernitana,0,0,0,0,0,0,0,0,
F. Ravaglia,Bologna,418,321,156,0,0,0,1043,1,
M. Carnesecchi,Atalanta,902,635,427,0,0,1,3060,1,
M. Okoye,Udinese,774,587,322,0,0,0,2160,0,
S. Turati,Sassuolo,939,631,513,0,0,0,2665,0,
D. Vásquez,Roma,999,565,624,0,0,0,2880,0,
E. Caprile,Cagliari,661,439,390,0,0,0,1854,0,
A. Furlanetto,Lazio,0,0,0,0,0,0,0,0,
F. Stolz,Genoa,0,0,0,0,0,0,0,0,
F. Stanković,Venezia,461,321,212,0,0,0,1368,0,
G. Ciocci,Cagliari,1,1,0,0,0,0,8,0,
R. Sava,Udinese,366,252,167,0,0,0,1080,0,
VIV. Iliev,Cagliari,0,0,0,0,0,0,0,0,
T. Martinelli,Sampdoria,0,0,0,0,0,0,0,0,
L. Torriani,Milan,0,0,0,0,0,0,0,0,
MPM. Pessina,Bologna,0,0,0,0,0,0,0,0,
G. De Marzi,Roma,0,0,0,0,0,0,0,0,
