Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
M. Darmian,Inter,33,1793,3205,2,11.0,4,3,1.9464,1.946,1.3103,28,32,10,14,0,64,854,729,72,32,1,16,Midfielder
N. Viola,Cagliari,36,1280,3206,1,31.0,9,3,2.3703,2.226,2.8293,14,5,3,20,8,79,366,253,37,79,4,29,Midfielder
H. Mkhitaryan,Inter,34,2410,3207,4,23.0,2,1,1.4893,1.498,4.1264,43,33,17,24,9,97,1485,1315,71,24,6,30,Midfielder
M. Badelj,Genoa,34,1486,3208,0,14.0,3,1,0.9283,1.003,0.8864,29,43,20,10,4,67,823,678,94,5,2,12,Midfielder
M. de Roon,Atalanta,37,3058,3209,4,14.0,4,4,0.8744,0.874,2.8521,74,63,47,47,3,148,2204,1920,225,28,4,26,Midfielder
I. Sulemana,Bologna,35,282,3210,0,5.0,2,2,0.4307,0.572,0.1069,9,1,0,9,2,21,180,159,7,0,0,1,Midfielder
R. Freuler,Bologna,36,3119,3211,2,16.0,4,1,1.1901,1.192,1.5861,76,50,37,28,4,126,1862,1651,139,18,2,36,Midfielder
D. Zappacosta,Atalanta,34,2075,3212,2,39.0,12,4,2.2777,2.221,2.9934,26,24,11,11,11,61,893,767,53,95,4,23,Midfielder
H. Çalhanoğlu,Inter,30,1961,3213,6,46.0,15,5,4.4036,1.279,5.59,43,22,18,16,14,75,1561,1408,145,122,11,50,Midfielder
M. De Sciglio,Juventus,32,781,3214,0,5.0,3,1,0.6144,0.614,0.2312,18,32,8,6,2,30,264,205,43,7,0,3,Midfielder
P. Zieliński,Inter,30,984,3215,2,17.0,6,2,2.6318,1.068,1.032,14,11,6,10,8,45,680,629,29,28,0,14,Midfielder
A. Tameze,Torino,34,659,3216,0,7.0,3,0,0.3867,0.386,0.6943,5,4,10,10,1,23,290,255,14,9,2,6,Midfielder
M. Valoti,Spezia,21,48,3217,0,,0,0,0.0,,0.0,3,2,0,0,0,5,19,12,3,0,0,0,Midfielder
S. Lobotka,Napoli,33,2647,3218,1,7.0,0,0,0.3272,0.327,1.8561,47,55,21,6,2,92,1755,1598,111,2,1,17,Midfielder
J. Akpa Akpro,Hellas Verona,14,968,3219,0,4.0,2,0,0.3392,0.339,0.1921,30,14,13,11,0,72,325,262,18,6,0,3,Midfielder
B. Cristante,Roma,30,2047,3220,2,30.0,7,4,2.109,2.13,1.2992,48,34,19,63,11,124,1274,1064,110,15,3,19,Midfielder
M. Pašalić,Atalanta,38,1969,3221,4,46.0,12,3,6.6299,5.805,2.2129,26,28,12,31,13,71,1349,1190,91,11,4,32,Midfielder
R. Malinovskyi,Genoa,12,383,3222,2,9.0,3,0,0.2372,0.24,0.695,12,4,1,7,2,27,196,160,16,3,4,8,Midfielder
P. Stojanović,Empoli,2,9,3223,0,,0,0,0.0,,0.0,0,0,0,0,0,0,3,1,2,0,0,0,Midfielder
J. Karlström,Udinese,36,3099,3224,3,13.0,2,0,0.7345,0.736,1.3852,60,73,34,31,4,120,1555,1306,184,15,0,21,Midfielder
A. Duncan,Venezia,20,959,3225,0,15.0,4,0,0.777,0.793,1.0063,17,7,8,10,4,51,476,395,47,17,5,11,Midfielder
V. Lazaro,Torino,34,2322,3226,6,16.0,2,0,1.0621,1.025,3.4322,26,29,11,17,6,69,915,747,65,145,7,33,Midfielder
M. Thorsby,Genoa,32,1902,3227,1,15.0,7,0,2.7821,2.803,1.2383,49,28,5,107,2,180,519,351,14,9,3,27,Midfielder
F. Dimarco,Inter,35,2165,3228,7,56.0,22,4,3.3481,3.335,5.0853,25,24,14,7,18,47,997,838,71,190,17,49,Midfielder
R. Loftus-Cheek,Milan,19,1031,3229,0,9.0,2,0,0.7044,0.705,0.8591,19,19,3,19,3,75,478,433,15,7,5,16,Midfielder
R. Gagliardini,Hellas Verona,9,176,3230,0,,0,0,0.0,,0.0135,3,4,2,5,0,15,123,107,13,1,0,1,Midfielder
L. Henderson,Sampdoria,36,2345,3231,4,22.0,3,0,0.6517,0.662,2.9524,42,42,15,16,9,84,894,701,104,98,7,33,Midfielder
M. Zaccagni,Lazio,33,2634,3232,6,47.0,17,8,6.2055,4.785,3.9275,38,16,29,20,12,198,953,808,51,155,6,54,Midfielder
D. Cataldi,Lazio,28,1724,3233,0,13.0,5,3,0.98,1.132,0.7651,25,34,22,6,6,56,968,834,101,21,0,16,Midfielder
A. Deiola,Cagliari,36,1434,3234,1,17.0,5,1,0.8917,0.89,0.667,30,35,13,37,4,80,491,371,50,14,1,6,Midfielder
A. Barák,Sampdoria,2,55,3235,0,2.0,2,0,0.0808,0.081,0.1487,2,0,0,0,0,2,19,17,0,1,0,3,Midfielder
H. Kamara,Udinese,33,1916,3236,4,17.0,3,1,0.8987,0.912,2.228,33,42,26,19,6,90,731,604,84,101,4,23,Midfielder
N. Vlašić,Torino,31,2128,3237,4,32.0,12,5,3.4435,1.831,1.9888,37,12,9,29,9,114,734,604,23,26,3,32,Midfielder
N. Barella,Inter,35,2462,3238,6,43.0,9,3,2.1758,2.173,5.1431,50,16,12,27,14,132,1715,1460,143,68,5,56,Midfielder
M. Locatelli,Juventus,37,2840,3239,2,25.0,9,2,1.8455,1.056,2.725,72,72,23,37,6,137,2390,2121,262,24,4,29,Midfielder
P. Mazzocchi,Napoli,32,735,3240,0,3.0,1,0,0.2693,0.27,0.5461,15,23,5,5,2,35,236,198,14,13,0,5,Midfielder
R. Mandragora,Fiorentina,34,1941,3241,3,38.0,15,4,2.6616,1.876,2.7223,24,52,17,14,10,84,876,701,122,40,10,33,Midfielder
L. Pellegrini,Roma,35,1632,3242,1,42.0,14,2,4.8609,3.916,2.6875,24,21,6,11,11,72,591,496,31,49,3,27,Midfielder
J. Jankto,Cagliari,25,0,3243,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
S. Lovrić,Hellas Verona,35,2323,3244,3,48.0,11,2,2.6277,2.619,2.4078,46,22,23,1,16,101,850,724,91,90,5,32,Midfielder
N. Haas,Empoli,12,291,3245,0,1.0,0,0,0.0096,0.01,0.0353,11,5,4,3,0,17,119,98,10,0,0,2,Midfielder
K. Ehizibue,Udinese,33,2420,3246,1,14.0,4,0,1.2448,1.246,1.8095,53,58,21,29,1,127,687,541,57,61,3,21,Midfielder
D. Dumfries,Inter,33,1951,3247,2,36.0,19,7,5.3588,5.369,2.7587,25,22,6,56,9,111,626,480,35,57,6,21,Midfielder
F. Anguissa,Napoli,35,2857,3248,4,44.0,13,6,4.4472,4.45,2.6407,42,40,35,68,14,170,1475,1261,69,23,3,26,Midfielder
G. Kastanos,Hellas Verona,37,846,3249,1,22.0,5,1,0.9708,0.998,0.9634,23,5,7,14,9,56,277,202,28,23,2,11,Midfielder
R. Orsolini,Bologna,32,1783,3250,4,73.0,28,15,9.4611,7.265,2.5587,16,10,8,21,25,111,552,395,48,64,8,28,Midfielder
T. Bašić,Lazio,14,0,3251,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
O. Abildgaard,Sampdoria,1,7,3252,0,,0,0,0.0,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,Midfielder
S. Serdar,Hellas Verona,21,1308,3253,1,30.0,8,2,2.0408,1.948,0.5149,35,17,7,16,15,84,430,330,33,9,2,10,Midfielder
