Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
M. Darmian,Inter,2,1,11.0,4,3,1793,1.9464,1.946,1.3103,
N. Viola,Cagliari,1,4,31.0,9,3,1280,2.3703,2.226,2.8293,
H. Mkhitaryan,Inter,4,6,23.0,2,1,2410,1.4893,1.498,4.1264,
M. Badelj,Genoa,0,2,14.0,3,1,1486,0.9283,1.003,0.8864,
M. de Roon,Atalanta,4,4,14.0,4,4,3058,0.8744,0.874,2.8521,
I. Sulemana,Bologna,0,0,5.0,2,2,282,0.4307,0.572,0.1069,
R. Freuler,Bologna,2,2,16.0,4,1,3119,1.1901,1.192,1.5861,
D. Zappacosta,Atalanta,2,4,39.0,12,4,2075,2.2777,2.221,2.9934,
H. Çalhanoğlu,Inter,6,11,46.0,15,5,1961,4.4036,1.279,5.59,
M. De Sciglio,Juventus,0,0,5.0,3,1,781,0.6144,0.614,0.2312,
P. Zieliński,Inter,2,0,17.0,6,2,984,2.6318,1.068,1.032,
A. Tameze,Torino,0,2,7.0,3,0,659,0.3867,0.386,0.6943,
M. Valoti,Spezia,0,0,,0,0,48,0.0,,0.0,
S. Lobotka,Napoli,1,1,7.0,0,0,2647,0.3272,0.327,1.8561,
J. Akpa Akpro,Hellas Verona,0,0,4.0,2,0,968,0.3392,0.339,0.1921,
B. Cristante,Roma,2,3,30.0,7,4,2047,2.109,2.13,1.2992,
M. Pašalić,Atalanta,4,4,46.0,12,3,1969,6.6299,5.805,2.2129,
R. Malinovskyi,Genoa,2,4,9.0,3,0,383,0.2372,0.24,0.695,
P. Stojanović,Empoli,0,0,,0,0,9,0.0,,0.0,
J. Karlström,Udinese,3,0,13.0,2,0,3099,0.7345,0.736,1.3852,
A. Duncan,Venezia,0,5,15.0,4,0,959,0.777,0.793,1.0063,
V. Lazaro,Torino,6,7,16.0,2,0,2322,1.0621,1.025,3.4322,
M. Thorsby,Genoa,1,3,15.0,7,0,1902,2.7821,2.803,1.2383,
F. Dimarco,Inter,7,17,56.0,22,4,2165,3.3481,3.335,5.0853,
R. Loftus-Cheek,Milan,0,5,9.0,2,0,1031,0.7044,0.705,0.8591,
R. Gagliardini,Hellas Verona,0,0,,0,0,176,0.0,,0.0135,
L. Henderson,Sampdoria,4,7,22.0,3,0,2345,0.6517,0.662,2.9524,
M. Zaccagni,Lazio,6,6,47.0,17,8,2634,6.2055,4.785,3.9275,
D. Cataldi,Lazio,0,0,13.0,5,3,1724,0.98,1.132,0.7651,
A. Deiola,Cagliari,1,1,17.0,5,1,1434,0.8917,0.89,0.667,
A. Barák,Sampdoria,0,0,2.0,2,0,55,0.0808,0.081,0.1487,
H. Kamara,Udinese,4,4,17.0,3,1,1916,0.8987,0.912,2.228,
N. Vlašić,Torino,4,3,32.0,12,5,2128,3.4435,1.831,1.9888,
N. Barella,Inter,6,5,43.0,9,3,2462,2.1758,2.173,5.1431,
M. Locatelli,Juventus,2,4,25.0,9,2,2840,1.8455,1.056,2.725,
P. Mazzocchi,Napoli,0,0,3.0,1,0,735,0.2693,0.27,0.5461,
R. Mandragora,Fiorentina,3,10,38.0,15,4,1941,2.6616,1.876,2.7223,
L. Pellegrini,Roma,1,3,42.0,14,2,1632,4.8609,3.916,2.6875,
J. Jankto,Cagliari,0,0,,0,0,0,0.0,,0.0,
S. Lovrić,Hellas Verona,3,5,48.0,11,2,2323,2.6277,2.619,2.4078,
N. Haas,Empoli,0,0,1.0,0,0,291,0.0096,0.01,0.0353,
K. Ehizibue,Udinese,1,3,14.0,4,0,2420,1.2448,1.246,1.8095,
D. Dumfries,Inter,2,6,36.0,19,7,1951,5.3588,5.369,2.7587,
F. Anguissa,Napoli,4,3,44.0,13,6,2857,4.4472,4.45,2.6407,
G. Kastanos,Hellas Verona,1,2,22.0,5,1,846,0.9708,0.998,0.9634,
R. Orsolini,Bologna,4,8,73.0,28,15,1783,9.4611,7.265,2.5587,
T. Bašić,Lazio,0,0,,0,0,0,0.0,,0.0,
O. Abildgaard,Sampdoria,0,0,,0,0,7,0.0,,0.0,
S. Serdar,Hellas Verona,1,2,30.0,8,2,1308,2.0408,1.948,0.5149,
T. Koopmeiners,Juventus,3,1,42.0,11,3,1997,3.8748,3.78,3.7798,
N. Moro,Bologna,2,1,14.0,2,0,1218,0.4855,0.486,1.015,
C. Pulišić,Milan,9,8,57.0,24,11,2489,11.9588,8.851,6.2573,
E. Bohinen,Genoa,0,0,2.0,0,0,165,0.1021,0.102,0.0431,
J. Odgaard,Bologna,1,6,48.0,22,6,1911,3.5798,3.594,1.4325,
R. Bellanova,Atalanta,9,12,19.0,5,0,2495,1.0929,1.093,5.1,
D. Frattesi,Inter,1,2,28.0,8,5,1222,4.0985,4.046,0.8067,
Angeliño,Roma,1,7,24.0,6,2,3179,1.0732,1.428,3.9496,
R. Leão,Milan,8,10,66.0,29,8,2330,7.2522,7.567,6.1876,
K. Pérez,Venezia,0,2,13.0,7,1,1121,0.8369,0.853,1.4807,
Y. Adli,Milan,6,6,14.0,5,4,1248,1.0033,1.033,2.2424,
M. Folorunsho,Napoli,0,2,10.0,3,0,685,1.243,1.219,0.5276,
H. Nicolussi Caviglia,Venezia,2,4,53.0,20,4,2870,2.4289,2.377,2.3046,
I. Ilić,Torino,0,2,11.0,4,1,921,0.9485,0.948,0.9104,
S. McTominay,Napoli,4,5,76.0,33,12,2941,7.4422,7.413,1.6873,
N. Lella,Venezia,0,0,,0,0,8,0.0,,0.0,
W. McKennie,Juventus,4,6,22.0,8,2,2320,2.7777,2.891,3.481,
J. Messias,Genoa,1,1,18.0,6,1,851,2.3662,2.158,0.6258,
G. Busio,Venezia,0,1,36.0,7,2,2531,2.4565,2.383,1.802,
D. Bradarić,Hellas Verona,0,3,9.0,4,1,1890,0.8252,0.753,2.0872,
N. Fagioli,Juventus,2,5,22.0,5,1,1541,1.1236,1.074,2.4669,
A. Saelemaekers,Milan,3,5,25.0,12,7,1494,2.4932,2.558,2.2714,
G. Gaetano,Cagliari,3,3,30.0,6,2,991,4.7674,4.884,1.7428,
K. Thuram,Juventus,5,8,36.0,11,4,2337,3.4811,3.477,1.7518,
J. Ekkelenkamp,Udinese,2,2,26.0,9,3,1866,2.7699,2.761,1.2262,
L. Ferguson,Bologna,1,2,6.0,2,1,973,0.9578,0.169,0.7371,
F. Anjorin,Torino,3,5,23.0,7,2,1117,0.8577,0.878,1.1313,
B. Gilmour,Napoli,1,1,9.0,1,0,1178,0.5056,0.505,1.901,
S. Sohm,Bologna,0,2,33.0,12,4,2909,3.1328,3.076,2.0411,
A. Harroui,Hellas Verona,2,2,15.0,4,1,462,2.1587,2.19,0.5755,
M. Frendrup,Genoa,0,0,30.0,9,2,3107,1.6701,1.597,0.7729,
A. Zanoli,Udinese,0,0,11.0,3,1,1714,0.4332,0.433,1.095,
N. Zortea,Bologna,2,6,33.0,10,6,2637,3.0682,3.082,2.2091,
M. Adopo,Cagliari,1,3,19.0,4,1,2327,1.0341,1.087,1.2593,
T. Pobega,Bologna,2,1,23.0,8,2,1133,1.8014,1.802,0.8102,
M. Brescianini,Fiorentina,2,3,20.0,8,4,1010,3.128,3.128,0.6944,
A. Di Pardo,Sampdoria,0,0,,0,0,0,0.0,,0.0,
S. Ricci,Milan,1,0,22.0,7,1,2836,1.2565,1.258,1.1588,
M. Ellertsson,Genoa,2,4,21.0,5,2,2480,1.1421,1.145,1.7752,
B. Steinn Bjarkason,Venezia,0,0,,0,0,171,0.0,,0.1539,
N. Rovella,Juventus,3,6,27.0,8,0,2657,1.4995,1.5,2.0799,
L. Belardinelli,Empoli,0,0,,0,0,0,0.0,,0.0,
Y. Fofana,Milan,6,5,36.0,5,1,2509,1.3211,1.313,2.6274,
Éderson,Atalanta,1,6,39.0,12,4,2888,4.0729,4.055,4.829,
T. Suslov,Hellas Verona,1,4,31.0,7,0,2069,1.5867,1.585,1.7201,
P. Masini,Genoa,0,0,8.0,1,1,1544,0.407,0.44,0.4187,
M. Koné,Roma,1,2,34.0,9,2,2582,3.3416,3.359,1.5454,
M. Felici,Cagliari,3,2,10.0,6,0,923,0.6067,0.606,0.7176,
G. Isaksen,Lazio,2,4,53.0,24,4,2155,4.7614,4.793,2.7064,
J. Onana,Genoa,0,0,1.0,0,0,298,0.0164,0.016,0.0449,
L. Samardžić,Atalanta,1,4,33.0,13,2,1149,2.0516,1.969,4.0298,
Y. Musah,Atalanta,2,3,22.0,5,0,1581,1.8533,1.938,1.4421,
E. Le Fée,Roma,0,0,4.0,2,0,319,0.2275,0.228,0.2327,
N. Zalewski,Roma,1,5,10.0,3,1,982,0.5176,0.517,2.3968,
K. Asllani,Torino,2,2,16.0,5,2,1007,2.4772,0.901,1.8467,
O. Zarraga,Udinese,0,1,6.0,1,1,893,0.3992,0.399,0.5856,
F. Miretti,Juventus,3,4,24.0,6,3,1694,3.1703,3.113,2.1293,
T. Baldanzi,Roma,1,2,20.0,4,1,848,1.4373,1.441,0.814,
LBL. Bernasconi,Atalanta,0,0,,0,0,0,0.0,,0.0,
C. Casadei,Torino,1,1,14.0,7,1,1023,1.1685,1.17,0.3909,
G. Gineitis,Torino,1,3,29.0,8,3,1423,1.4485,1.286,2.1871,
A. Fadera,Sassuolo,3,6,28.0,9,1,1667,1.7069,1.706,1.8625,
G. Fabbian,Fiorentina,1,2,21.0,5,3,985,2.3445,2.344,0.541,
F. Carboni,Empoli,0,0,1.0,0,0,228,0.0156,0.012,0.1436,
M. Prati,Torino,0,2,4.0,0,0,579,0.1051,0.105,0.4116,
C. Ndour,Fiorentina,0,0,4.0,0,0,407,0.1326,0.143,0.1152,
S. Pafundi,Sampdoria,0,1,2.0,1,0,113,0.0652,0.065,0.3395,
T. Corazza,Bologna,0,0,,0,0,0,0.0,,0.0,
I. Doumbia,Venezia,0,0,16.0,5,0,943,1.0498,1.037,0.165,
E. İlkhan,Torino,0,0,,0,0,0,0.0,,0.0,
K. Yıldız,Juventus,4,8,61.0,23,7,2408,4.2282,4.303,4.8307,
V. Adžić,Juventus,0,0,1.0,1,0,50,0.0251,0.025,0.027,
B. Domínguez,Bologna,2,1,30.0,17,3,1247,2.2707,2.237,0.9302,
N. Pisilli,Roma,1,1,27.0,8,2,1225,2.6075,2.703,0.9699,
R. Sagrado,Venezia,0,0,1.0,0,0,143,0.0505,0.05,0.0077,
R. Belahyane,Lazio,2,1,6.0,2,0,1848,0.2273,0.227,0.6543,
A. Hainaut,Venezia,0,2,6.0,3,2,1136,0.8323,0.833,1.1844,
H. Cuenca,Genoa,0,0,,0,0,0,0.0,,0.0,
M. Palestra,Cagliari,0,0,,0,0,218,0.0,,0.5018,
C. Papadopoulos,Genoa,0,0,,0,0,0,0.0,,0.0,
N. Fortini,Fiorentina,0,0,,0,0,0,0.0,,0.0,
SPS. Perciun,Torino,0,0,2.0,1,0,148,0.0461,0.046,0.516,
L. Kasa,Genoa,0,0,5.0,2,0,235,1.1769,1.148,0.0786,
LVL. Venturino,Genoa,0,0,4.0,3,2,163,0.9595,0.718,0.0937,
RSR. Scaglione,Genoa,0,0,,0,0,0,0.0,,0.0,
