Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
M. Darmian,Inter,33,3,1793,1.9464,1.3103,
N. Viola,Cagliari,36,3,1280,2.3703,2.8293,
H. Mkhitaryan,Inter,34,1,2410,1.4893,4.1264,
M. Badelj,Genoa,34,1,1486,0.9283,0.8864,
M. de Roon,Atalanta,37,4,3058,0.8744,2.8521,
I. Sulemana,Bologna,35,2,282,0.4307,0.1069,
R. Freuler,Bologna,36,1,3119,1.1901,1.5861,
D. Zappacosta,Atalanta,34,4,2075,2.2777,2.9934,
H. Çalhanoğlu,Inter,30,5,1961,4.4036,5.59,
M. De Sciglio,Juventus,32,1,781,0.6144,0.2312,
P. Zieliński,Inter,30,2,984,2.6318,1.032,
A. Tameze,Torino,34,0,659,0.3867,0.6943,
M. Valoti,Spezia,21,0,48,0,0,
S. Lobotka,Napoli,33,0,2647,0.3272,1.8561,
J. Akpa Akpro,Hellas Verona,14,0,968,0.3392,0.1921,
B. Cristante,Roma,30,4,2047,2.109,1.2992,
M. Pašalić,Atalanta,38,3,1969,6.6299,2.2129,
R. Malinovskyi,Genoa,12,0,383,0.2372,0.695,
P. Stojanović,Empoli,2,0,9,0,0,
J. Karlström,Udinese,36,0,3099,0.7345,1.3852,
A. Duncan,Venezia,20,0,959,0.777,1.0063,
V. Lazaro,Torino,34,0,2322,1.0621,3.4322,
M. Thorsby,Genoa,32,0,1902,2.7821,1.2383,
F. Dimarco,Inter,35,4,2165,3.3481,5.0853,
R. Loftus-Cheek,Milan,19,0,1031,0.7044,0.8591,
R. Gagliardini,Hellas Verona,9,0,176,0,0.0135,
L. Henderson,Sampdoria,36,0,2345,0.6517,2.9524,
M. Zaccagni,Lazio,33,8,2634,6.2055,3.9275,
D. Cataldi,Lazio,28,3,1724,0.98,0.7651,
A. Deiola,Cagliari,36,1,1434,0.8917,0.667,
A. Barák,Sampdoria,2,0,55,0.0808,0.1487,
H. Kamara,Udinese,33,1,1916,0.8987,2.228,
N. Vlašić,Torino,31,5,2128,3.4435,1.9888,
N. Barella,Inter,35,3,2462,2.1758,5.1431,
M. Locatelli,Juventus,37,2,2840,1.8455,2.725,
P. Mazzocchi,Napoli,32,0,735,0.2693,0.5461,
R. Mandragora,Fiorentina,34,4,1941,2.6616,2.7223,
L. Pellegrini,Roma,35,2,1632,4.8609,2.6875,
J. Jankto,Cagliari,25,0,0,0,0,
S. Lovrić,Hellas Verona,35,2,2323,2.6277,2.4078,
N. Haas,Empoli,12,0,291,0.0096,0.0353,
K. Ehizibue,Udinese,33,0,2420,1.2448,1.8095,
D. Dumfries,Inter,33,7,1951,5.3588,2.7587,
F. Anguissa,Napoli,35,6,2857,4.4472,2.6407,
G. Kastanos,Hellas Verona,37,1,846,0.9708,0.9634,
R. Orsolini,Bologna,32,15,1783,9.4611,2.5587,
T. Bašić,Lazio,14,0,0,0,0,
O. Abildgaard,Sampdoria,1,0,7,0,0,
S. Serdar,Hellas Verona,21,2,1308,2.0408,0.5149,
T. Koopmeiners,Juventus,29,3,1997,3.8748,3.7798,
N. Moro,Bologna,37,0,1218,0.4855,1.015,
C. Pulišić,Milan,34,11,2489,11.9588,6.2573,
E. Bohinen,Genoa,22,0,165,0.1021,0.0431,
J. Odgaard,Bologna,31,6,1911,3.5798,1.4325,
R. Bellanova,Atalanta,37,0,2495,1.0929,5.1,
D. Frattesi,Inter,36,5,1222,4.0985,0.8067,
Angeliño,Roma,38,2,3179,1.0732,3.9496,
R. Leão,Milan,36,8,2330,7.2522,6.1876,
K. Pérez,Venezia,16,1,1121,0.8369,1.4807,
Y. Adli,Milan,31,4,1248,1.0033,2.2424,
M. Folorunsho,Napoli,26,0,685,1.243,0.5276,
H. Nicolussi Caviglia,Venezia,35,4,2870,2.4289,2.3046,
I. Ilić,Torino,23,1,921,0.9485,0.9104,
S. McTominay,Napoli,34,12,2941,7.4422,1.6873,
N. Lella,Venezia,2,0,8,0,0,
W. McKennie,Juventus,35,2,2320,2.7777,3.481,
J. Messias,Genoa,21,1,851,2.3662,0.6258,
G. Busio,Venezia,34,2,2531,2.4565,1.802,
D. Bradarić,Hellas Verona,34,1,1890,0.8252,2.0872,
N. Fagioli,Juventus,38,1,1541,1.1236,2.4669,
A. Saelemaekers,Milan,28,7,1494,2.4932,2.2714,
G. Gaetano,Cagliari,34,2,991,4.7674,1.7428,
K. Thuram,Juventus,35,4,2337,3.4811,1.7518,
J. Ekkelenkamp,Udinese,35,3,1866,2.7699,1.2262,
L. Ferguson,Bologna,24,1,973,0.9578,0.7371,
F. Anjorin,Torino,22,2,1117,0.8577,1.1313,
B. Gilmour,Napoli,35,0,1178,0.5056,1.901,
S. Sohm,Bologna,36,4,2909,3.1328,2.0411,
A. Harroui,Hellas Verona,11,1,462,2.1587,0.5755,
M. Frendrup,Genoa,36,2,3107,1.6701,0.7729,
A. Zanoli,Udinese,35,1,1714,0.4332,1.095,
N. Zortea,Bologna,35,6,2637,3.0682,2.2091,
M. Adopo,Cagliari,36,1,2327,1.0341,1.2593,
T. Pobega,Bologna,30,2,1133,1.8014,0.8102,
M. Brescianini,Fiorentina,34,4,1010,3.128,0.6944,
A. Di Pardo,Sampdoria,1,0,0,0,0,
S. Ricci,Milan,35,1,2836,1.2565,1.1588,
M. Ellertsson,Genoa,37,2,2480,1.1421,1.7752,
B. Steinn Bjarkason,Venezia,25,0,171,0,0.1539,
N. Rovella,Juventus,34,0,2657,1.4995,2.0799,
L. Belardinelli,Empoli,6,0,0,0,0,
Y. Fofana,Milan,35,1,2509,1.3211,2.6274,
Éderson,Atalanta,37,4,2888,4.0729,4.829,
T. Suslov,Hellas Verona,30,0,2069,1.5867,1.7201,
P. Masini,Genoa,37,1,1544,0.407,0.4187,
M. Koné,Roma,35,2,2582,3.3416,1.5454,
M. Felici,Cagliari,36,0,923,0.6067,0.7176,
G. Isaksen,Lazio,36,4,2155,4.7614,2.7064,
J. Onana,Genoa,12,0,298,0.0164,0.0449,
L. Samardžić,Atalanta,37,2,1149,2.0516,4.0298,
Y. Musah,Atalanta,34,0,1581,1.8533,1.4421,
E. Le Fée,Roma,15,0,319,0.2275,0.2327,
N. Zalewski,Roma,31,1,982,0.5176,2.3968,
K. Asllani,Torino,36,2,1007,2.4772,1.8467,
O. Zarraga,Udinese,30,1,893,0.3992,0.5856,
F. Miretti,Juventus,27,3,1694,3.1703,2.1293,
T. Baldanzi,Roma,38,1,848,1.4373,0.814,
LBL. Bernasconi,Atalanta,1,0,0,0,0,
C. Casadei,Torino,15,1,1023,1.1685,0.3909,
G. Gineitis,Torino,32,3,1423,1.4485,2.1871,
A. Fadera,Sassuolo,34,1,1667,1.7069,1.8625,
G. Fabbian,Fiorentina,37,3,985,2.3445,0.541,
F. Carboni,Empoli,35,0,228,0.0156,0.1436,
M. Prati,Torino,35,0,579,0.1051,0.4116,
C. Ndour,Fiorentina,15,0,407,0.1326,0.1152,
S. Pafundi,Sampdoria,18,0,113,0.0652,0.3395,
T. Corazza,Bologna,17,0,0,0,0,
I. Doumbia,Venezia,36,0,943,1.0498,0.165,
E. İlkhan,Torino,1,0,0,0,0,
K. Yıldız,Juventus,36,7,2408,4.2282,4.8307,
V. Adžić,Juventus,22,0,50,0.0251,0.027,
B. Domínguez,Bologna,34,3,1247,2.2707,0.9302,
N. Pisilli,Roma,37,2,1225,2.6075,0.9699,
R. Sagrado,Venezia,20,0,143,0.0505,0.0077,
R. Belahyane,Lazio,36,0,1848,0.2273,0.6543,
A. Hainaut,Venezia,36,2,1136,0.8323,1.1844,
H. Cuenca,Genoa,4,0,0,0,0,
M. Palestra,Cagliari,31,0,218,0,0.5018,
C. Papadopoulos,Genoa,2,0,0,0,0,
N. Fortini,Fiorentina,2,0,0,0,0,
SPS. Perciun,Torino,6,0,148,0.0461,0.516,
L. Kasa,Genoa,25,0,235,1.1769,0.0786,
LVL. Venturino,Genoa,18,2,163,0.9595,0.0937,
RSR. Scaglione,Genoa,2,0,0,0,0,
