Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
M. Darmian,Inter,28,32,10,14,0,1793,64,
N. Viola,Cagliari,14,5,3,20,8,1280,79,
H. Mkhitaryan,Inter,43,33,17,24,9,2410,97,
M. Badelj,Genoa,29,43,20,10,4,1486,67,
M. de Roon,Atalanta,74,63,47,47,3,3058,148,
I. Sulemana,Bologna,9,1,0,9,2,282,21,
R. Freuler,Bologna,76,50,37,28,4,3119,126,
D. Zappacosta,Atalanta,26,24,11,11,11,2075,61,
H. Çalhanoğlu,Inter,43,22,18,16,14,1961,75,
M. De Sciglio,Juventus,18,32,8,6,2,781,30,
P. Zieliński,Inter,14,11,6,10,8,984,45,
A. Tameze,Torino,5,4,10,10,1,659,23,
M. Valoti,Spezia,3,2,0,0,0,48,5,
S. Lobotka,Napoli,47,55,21,6,2,2647,92,
J. Akpa Akpro,Hellas Verona,30,14,13,11,0,968,72,
B. Cristante,Roma,48,34,19,63,11,2047,124,
M. Pašalić,Atalanta,26,28,12,31,13,1969,71,
R. Malinovskyi,Genoa,12,4,1,7,2,383,27,
P. Stojanović,Empoli,0,0,0,0,0,9,0,
J. Karlström,Udinese,60,73,34,31,4,3099,120,
A. Duncan,Venezia,17,7,8,10,4,959,51,
V. Lazaro,Torino,26,29,11,17,6,2322,69,
M. Thorsby,Genoa,49,28,5,107,2,1902,180,
F. Dimarco,Inter,25,24,14,7,18,2165,47,
R. Loftus-Cheek,Milan,19,19,3,19,3,1031,75,
R. Gagliardini,Hellas Verona,3,4,2,5,0,176,15,
L. Henderson,Sampdoria,42,42,15,16,9,2345,84,
M. Zaccagni,Lazio,38,16,29,20,12,2634,198,
D. Cataldi,Lazio,25,34,22,6,6,1724,56,
A. Deiola,Cagliari,30,35,13,37,4,1434,80,
A. Barák,Sampdoria,2,0,0,0,0,55,2,
H. Kamara,Udinese,33,42,26,19,6,1916,90,
N. Vlašić,Torino,37,12,9,29,9,2128,114,
N. Barella,Inter,50,16,12,27,14,2462,132,
M. Locatelli,Juventus,72,72,23,37,6,2840,137,
P. Mazzocchi,Napoli,15,23,5,5,2,735,35,
R. Mandragora,Fiorentina,24,52,17,14,10,1941,84,
