Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
M. Darmian,Inter,854,729,72,2,32,1,1793,16,
N. Viola,Cagliari,366,253,37,1,79,4,1280,29,
H. Mkhitaryan,Inter,1485,1315,71,4,24,6,2410,30,
M. Badelj,Genoa,823,678,94,0,5,2,1486,12,
M. de Roon,Atalanta,2204,1920,225,4,28,4,3058,26,
I. Sulemana,Bologna,180,159,7,0,0,0,282,1,
R. Freuler,Bologna,1862,1651,139,2,18,2,3119,36,
D. Zappacosta,Atalanta,893,767,53,2,95,4,2075,23,
H. Çalhanoğlu,Inter,1561,1408,145,6,122,11,1961,50,
M. De Sciglio,Juventus,264,205,43,0,7,0,781,3,
P. Zieliński,Inter,680,629,29,2,28,0,984,14,
A. Tameze,Torino,290,255,14,0,9,2,659,6,
M. Valoti,Spezia,19,12,3,0,0,0,48,0,
S. Lobotka,Napoli,1755,1598,111,1,2,1,2647,17,
J. Akpa Akpro,Hellas Verona,325,262,18,0,6,0,968,3,
B. Cristante,Roma,1274,1064,110,2,15,3,2047,19,
M. Pašalić,Atalanta,1349,1190,91,4,11,4,1969,32,
R. Malinovskyi,Genoa,196,160,16,2,3,4,383,8,
P. Stojanović,Empoli,3,1,2,0,0,0,9,0,
J. Karlström,Udinese,1555,1306,184,3,15,0,3099,21,
A. Duncan,Venezia,476,395,47,0,17,5,959,11,
V. Lazaro,Torino,915,747,65,6,145,7,2322,33,
M. Thorsby,Genoa,519,351,14,1,9,3,1902,27,
F. Dimarco,Inter,997,838,71,7,190,17,2165,49,
R. Loftus-Cheek,Milan,478,433,15,0,7,5,1031,16,
R. Gagliardini,Hellas Verona,123,107,13,0,1,0,176,1,
L. Henderson,Sampdoria,894,701,104,4,98,7,2345,33,
M. Zaccagni,Lazio,953,808,51,6,155,6,2634,54,
D. Cataldi,Lazio,968,834,101,0,21,0,1724,16,
A. Deiola,Cagliari,491,371,50,1,14,1,1434,6,
A. Barák,Sampdoria,19,17,0,0,1,0,55,3,
H. Kamara,Udinese,731,604,84,4,101,4,1916,23,
N. Vlašić,Torino,734,604,23,4,26,3,2128,32,
N. Barella,Inter,1715,1460,143,6,68,5,2462,56,
M. Locatelli,Juventus,2390,2121,262,2,24,4,2840,29,
P. Mazzocchi,Napoli,236,198,14,0,13,0,735,5,
R. Mandragora,Fiorentina,876,701,122,3,40,10,1941,33,
L. Pellegrini,Roma,591,496,31,1,49,3,1632,27,
J. Jankto,Cagliari,0,0,0,0,0,0,0,0,
S. Lovrić,Hellas Verona,850,724,91,3,90,5,2323,32,
N. Haas,Empoli,119,98,10,0,0,0,291,2,
K. Ehizibue,Udinese,687,541,57,1,61,3,2420,21,
D. Dumfries,Inter,626,480,35,2,57,6,1951,21,
F. Anguissa,Napoli,1475,1261,69,4,23,3,2857,26,
G. Kastanos,Hellas Verona,277,202,28,1,23,2,846,11,
R. Orsolini,Bologna,552,395,48,4,64,8,1783,28,
T. Bašić,Lazio,0,0,0,0,0,0,0,0,
O. Abildgaard,Sampdoria,1,1,0,0,0,0,7,0,
S. Serdar,Hellas Verona,430,330,33,1,9,2,1308,10,
T. Koopmeiners,Juventus,817,717,32,3,113,1,1997,39,
N. Moro,Bologna,762,629,99,2,33,1,1218,20,
C. Pulišić,Milan,936,782,33,9,119,8,2489,69,
E. Bohinen,Genoa,86,69,3,0,0,0,165,3,
J. Odgaard,Bologna,461,360,27,1,24,6,1911,16,
R. Bellanova,Atalanta,954,803,65,9,161,12,2495,35,
D. Frattesi,Inter,346,292,14,1,8,2,1222,7,
Angeliño,Roma,1614,1324,201,1,116,7,3179,51,
R. Leão,Milan,771,594,42,8,55,10,2330,58,
K. Pérez,Venezia,569,448,75,0,49,2,1121,17,
Y. Adli,Milan,816,699,118,6,63,6,1248,23,
M. Folorunsho,Napoli,229,173,17,0,21,2,685,3,
H. Nicolussi Caviglia,Venezia,1336,1102,149,2,71,4,2870,29,
I. Ilić,Torino,504,437,30,0,27,2,921,10,
S. McTominay,Napoli,907,772,61,4,11,5,2941,26,
N. Lella,Venezia,1,1,0,0,0,0,8,0,
W. McKennie,Juventus,1004,854,37,4,19,6,2320,32,
J. Messias,Genoa,205,140,19,1,22,1,851,8,
G. Busio,Venezia,880,688,66,0,29,1,2531,28,
D. Bradarić,Hellas Verona,524,395,58,0,76,3,1890,25,
N. Fagioli,Juventus,987,878,94,2,40,5,1541,27,
A. Saelemaekers,Milan,726,627,31,3,63,5,1494,26,
G. Gaetano,Cagliari,326,245,24,3,24,3,991,21,
K. Thuram,Juventus,1368,1223,66,5,13,8,2337,25,
J. Ekkelenkamp,Udinese,633,517,30,2,12,2,1866,15,
L. Ferguson,Bologna,626,557,44,1,18,2,973,14,
F. Anjorin,Torino,422,351,38,3,17,5,1117,17,
B. Gilmour,Napoli,888,793,58,1,18,1,1178,21,
S. Sohm,Bologna,1177,1012,64,0,15,2,2909,18,
A. Harroui,Hellas Verona,189,155,8,2,9,2,462,5,
M. Frendrup,Genoa,1231,1057,64,0,3,0,3107,14,
A. Zanoli,Udinese,399,287,31,0,65,0,1714,19,
N. Zortea,Bologna,642,473,49,2,118,6,2637,28,
M. Adopo,Cagliari,932,782,39,1,8,3,2327,19,
T. Pobega,Bologna,439,367,40,2,8,1,1133,12,
