Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
A. Caracciolo,Pisa,36,3032,3339,0,25.0,4,2,0.0,,0.0,71,210,49,91,5,173,1356,1162,166,3,2,6,Defender
A. Salvi,Cittadella,36,2359,3340,2,20.0,6,0,0.0,,0.0,33,132,34,63,3,130,1017,745,247,47,3,11,Defender
P. Rozzio,Reggiana,19,1217,3341,0,7.0,3,0,0.0,,0.0,11,106,16,53,3,78,617,557,66,0,0,4,Defender
F. Lucioni,Frosinone,13,388,3342,1,5.0,2,0,0.0,,0.0,4,40,0,9,0,14,151,125,37,0,1,3,Defender
F. Ceccherini,Cremonese,30,1548,3343,1,10.0,4,1,0.0,,0.0,22,83,24,60,1,113,1001,905,84,5,2,4,Defender
M. Sampirisi,Reggiana,24,1558,3344,0,6.0,0,0,0.0,,0.0,27,60,24,23,4,79,649,530,90,34,1,8,Defender
M. Bianchetti,Cremonese,37,3112,3345,2,13.0,2,1,0.0,,0.0,50,137,36,121,2,203,1888,1602,221,15,1,17,Defender
S. Scognamillo,Benevento,38,2888,3346,2,16.0,3,1,0.0,,0.0,36,150,42,50,1,148,1837,1698,116,13,4,8,Defender
CAC. Andreoni,Crotone,19,663,3347,0,1.0,0,0,0.0,,0.0,9,25,5,9,1,23,177,126,36,24,3,5,Defender
A. Calabresi,Pisa,38,1107,3348,1,2.0,0,0,0.0,,0.0,30,65,14,21,1,73,440,358,75,20,0,5,Defender
F. Vicari,Reggiana,31,1961,3349,0,14.0,1,0,0.0,,0.0,18,153,14,85,4,111,867,755,122,1,0,5,Defender
A. Redolfi,Cittadella,31,1349,3350,0,5.0,4,2,0.0,,0.0,19,69,15,42,0,75,1079,992,61,2,0,1,Defender
N. Pavan,Cittadella,29,2241,3351,0,6.0,0,0,0.0,,0.0,42,152,31,98,3,186,1106,874,186,8,0,7,Defender
L. Libutti,Reggiana,37,2430,3352,1,3.0,1,0,0.0,,0.0,37,124,11,30,0,76,914,750,95,27,2,8,Defender
G. Ricci,Benevento,37,1403,3353,0,16.0,3,1,0.0,,0.0,48,25,16,27,7,134,439,304,67,106,3,31,Defender
R. Marchizza,Frosinone,27,2073,3354,3,32.0,11,2,0.0,,0.0,9,36,7,23,14,53,729,565,120,127,2,37,Defender
L. Ravanelli,Monza,33,2363,3355,1,10.0,4,1,0.0,,0.0,50,163,16,108,2,174,1562,1399,103,2,3,11,Defender
A. Tripaldelli,Reggiana,29,158,3356,0,2.0,1,0,0.0,,0.0,1,8,0,3,0,11,40,28,4,4,1,2,Defender
V. Antov,Monza,37,2506,3357,0,15.0,3,1,0.0,,0.0,53,100,43,93,3,189,1741,1511,155,20,2,8,Defender
D. Quaranta,Reggiana,19,447,3358,0,2.0,0,0,0.0,,0.0,5,31,3,13,1,20,135,88,27,2,0,2,Defender
G. Altare,Pescara,14,1061,3359,0,9.0,1,0,0.0,,0.0,13,77,9,42,3,62,432,349,73,4,0,1,Defender
A. Cagnano,Pescara,10,234,3360,0,2.0,2,0,0.0,,0.0,4,3,3,7,0,17,138,106,17,12,0,2,Defender
S. Canestrelli,Pisa,37,3090,3361,2,30.0,10,3,0.0,,0.0,39,193,29,119,4,180,1376,1099,224,19,1,7,Defender
A. Caporale,Cosenza,34,2173,3362,1,9.0,2,0,0.0,,0.0,28,109,36,84,3,140,1129,876,204,49,0,17,Defender
S. Kalaj,Frosinone,8,272,3363,0,2.0,0,0,0.0,,0.0,1,25,7,19,0,26,149,114,21,0,0,0,Defender
L. Lucchesi,Monza,29,2259,3364,0,10.0,6,2,0.0,,0.0,33,107,19,40,0,99,1020,850,140,8,1,6,Defender
L. Moretti,Virtus Entella,34,350,3365,0,1.0,1,0,0.0,,0.0,1,16,14,11,0,17,184,171,7,1,0,1,Defender
A. Ceresoli,Benevento,24,434,3366,0,6.0,1,0,0.0,,0.0,10,5,0,2,2,23,139,99,6,9,0,1,Defender
I. Monterisi,Frosinone,36,3076,3367,0,15.0,4,1,0.0,,0.0,38,167,28,111,3,185,1695,1461,233,1,1,11,Defender
RTR. Turicchia,Virtus Entella,18,35,3368,0,1.0,0,0,0.0,,0.0,0,0,1,1,0,1,14,11,2,5,0,0,Defender
A. Papetti,Reggiana,38,1157,3369,1,6.0,0,0,0.0,,0.0,21,66,9,16,4,47,444,355,73,5,1,3,Defender
A. Rizza,Cittadella,30,192,3370,0,2.0,0,0,0.0,,0.0,2,5,0,2,0,11,40,28,8,24,0,4,Defender
M. Angeli,Cittadella,20,1344,3371,0,2.0,0,0,0.0,,0.0,37,71,18,63,1,114,674,540,107,1,1,2,Defender
A. Oyono,Frosinone,37,2437,3372,1,20.0,7,1,0.0,,0.0,55,64,16,35,4,133,772,614,61,34,0,23,Defender
F. D'Alessio,Cittadella,37,1589,3373,2,6.0,2,0,0.0,,0.0,53,64,14,15,2,110,414,306,47,32,1,13,Defender
B. Cimino,Cosenza,35,647,3374,2,4.0,2,0,0.0,,0.0,19,21,4,9,0,37,120,78,17,26,2,7,Defender
G. Bracaglia,Frosinone,37,1606,3375,0,13.0,3,1,0.0,,0.0,28,78,20,33,0,77,670,558,97,16,0,7,Defender
F. Folino,Cremonese,37,2088,3376,0,14.0,8,3,0.0,,0.0,29,117,23,68,1,136,1050,862,179,19,0,5,Defender
A. Cecchetto,Cittadella,19,161,3377,0,,0,0,0.0,,0.0,3,6,4,4,0,7,52,39,9,0,0,0,Defender
M. Lusuardi,Reggiana,28,916,3378,0,6.0,4,2,0.0,,0.0,12,67,5,31,0,47,479,415,53,3,0,1,Defender
