Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
A. Caracciolo,Pisa,0,2,25.0,4,2,3032,0.0,,0.0,
A. Salvi,Cittadella,2,3,20.0,6,0,2359,0.0,,0.0,
P. Rozzio,Reggiana,0,0,7.0,3,0,1217,0.0,,0.0,
F. Lucioni,Frosinone,1,1,5.0,2,0,388,0.0,,0.0,
F. Ceccherini,Cremonese,1,2,10.0,4,1,1548,0.0,,0.0,
M. Sampirisi,Reggiana,0,1,6.0,0,0,1558,0.0,,0.0,
M. Bianchetti,Cremonese,2,1,13.0,2,1,3112,0.0,,0.0,
S. Scognamillo,Benevento,2,4,16.0,3,1,2888,0.0,,0.0,
CAC. Andreoni,Crotone,0,3,1.0,0,0,663,0.0,,0.0,
A. Calabresi,Pisa,1,0,2.0,0,0,1107,0.0,,0.0,
F. Vicari,Reggiana,0,0,14.0,1,0,1961,0.0,,0.0,
A. Redolfi,Cittadella,0,0,5.0,4,2,1349,0.0,,0.0,
N. Pavan,Cittadella,0,0,6.0,0,0,2241,0.0,,0.0,
L. Libutti,Reggiana,1,2,3.0,1,0,2430,0.0,,0.0,
G. Ricci,Benevento,0,3,16.0,3,1,1403,0.0,,0.0,
R. Marchizza,Frosinone,3,2,32.0,11,2,2073,0.0,,0.0,
L. Ravanelli,Monza,1,3,10.0,4,1,2363,0.0,,0.0,
A. Tripaldelli,Reggiana,0,1,2.0,1,0,158,0.0,,0.0,
V. Antov,Monza,0,2,15.0,3,1,2506,0.0,,0.0,
D. Quaranta,Reggiana,0,0,2.0,0,0,447,0.0,,0.0,
G. Altare,Pescara,0,0,9.0,1,0,1061,0.0,,0.0,
A. Cagnano,Pescara,0,0,2.0,2,0,234,0.0,,0.0,
S. Canestrelli,Pisa,2,1,30.0,10,3,3090,0.0,,0.0,
A. Caporale,Cosenza,1,0,9.0,2,0,2173,0.0,,0.0,
S. Kalaj,Frosinone,0,0,2.0,0,0,272,0.0,,0.0,
L. Lucchesi,Monza,0,1,10.0,6,2,2259,0.0,,0.0,
L. Moretti,Virtus Entella,0,0,1.0,1,0,350,0.0,,0.0,
A. Ceresoli,Benevento,0,0,6.0,1,0,434,0.0,,0.0,
I. Monterisi,Frosinone,0,1,15.0,4,1,3076,0.0,,0.0,
RTR. Turicchia,Virtus Entella,0,0,1.0,0,0,35,0.0,,0.0,
A. Papetti,Reggiana,1,1,6.0,0,0,1157,0.0,,0.0,
A. Rizza,Cittadella,0,0,2.0,0,0,192,0.0,,0.0,
M. Angeli,Cittadella,0,1,2.0,0,0,1344,0.0,,0.0,
A. Oyono,Frosinone,1,0,20.0,7,1,2437,0.0,,0.0,
F. D'Alessio,Cittadella,2,1,6.0,2,0,1589,0.0,,0.0,
B. Cimino,Cosenza,2,2,4.0,2,0,647,0.0,,0.0,
G. Bracaglia,Frosinone,0,0,13.0,3,1,1606,0.0,,0.0,
F. Folino,Cremonese,0,0,14.0,8,3,2088,0.0,,0.0,
A. Cecchetto,Cittadella,0,0,,0,0,161,0.0,,0.0,
M. Lusuardi,Reggiana,0,0,6.0,4,2,916,0.0,,0.0,
