Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
A. Caracciolo,Pisa,36,2,3032,0,0,
A. Salvi,Cittadella,36,0,2359,0,0,
P. Rozzio,Reggiana,19,0,1217,0,0,
F. Lucioni,Frosinone,13,0,388,0,0,
F. Ceccherini,Cremonese,30,1,1548,0,0,
M. Sampirisi,Reggiana,24,0,1558,0,0,
M. Bianchetti,Cremonese,37,1,3112,0,0,
S. Scognamillo,Benevento,38,1,2888,0,0,
CAC. Andreoni,Crotone,19,0,663,0,0,
A. Calabresi,Pisa,38,0,1107,0,0,
F. Vicari,Reggiana,31,0,1961,0,0,
A. Redolfi,Cittadella,31,2,1349,0,0,
N. Pavan,Cittadella,29,0,2241,0,0,
L. Libutti,Reggiana,37,0,2430,0,0,
G. Ricci,Benevento,37,1,1403,0,0,
R. Marchizza,Frosinone,27,2,2073,0,0,
L. Ravanelli,Monza,33,1,2363,0,0,
A. Tripaldelli,Reggiana,29,0,158,0,0,
V. Antov,Monza,37,1,2506,0,0,
D. Quaranta,Reggiana,19,0,447,0,0,
G. Altare,Pescara,14,0,1061,0,0,
A. Cagnano,Pescara,10,0,234,0,0,
S. Canestrelli,Pisa,37,3,3090,0,0,
A. Caporale,Cosenza,34,0,2173,0,0,
S. Kalaj,Frosinone,8,0,272,0,0,
L. Lucchesi,Monza,29,2,2259,0,0,
L. Moretti,Virtus Entella,34,0,350,0,0,
A. Ceresoli,Benevento,24,0,434,0,0,
I. Monterisi,Frosinone,36,1,3076,0,0,
RTR. Turicchia,Virtus Entella,18,0,35,0,0,
A. Papetti,Reggiana,38,0,1157,0,0,
A. Rizza,Cittadella,30,0,192,0,0,
M. Angeli,Cittadella,20,0,1344,0,0,
A. Oyono,Frosinone,37,1,2437,0,0,
F. D'Alessio,Cittadella,37,0,1589,0,0,
B. Cimino,Cosenza,35,0,647,0,0,
G. Bracaglia,Frosinone,37,1,1606,0,0,
F. Folino,Cremonese,37,3,2088,0,0,
A. Cecchetto,Cittadella,19,0,161,0,0,
M. Lusuardi,Reggiana,28,2,916,0,0,
