Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
A. Caracciolo,Pisa,71,210,49,91,5,3032,173,
A. Salvi,Cittadella,33,132,34,63,3,2359,130,
P. Rozzio,Reggiana,11,106,16,53,3,1217,78,
F. Lucioni,Frosinone,4,40,0,9,0,388,14,
F. Ceccherini,Cremonese,22,83,24,60,1,1548,113,
M. Sampirisi,Reggiana,27,60,24,23,4,1558,79,
M. Bianchetti,Cremonese,50,137,36,121,2,3112,203,
S. Scognamillo,Benevento,36,150,42,50,1,2888,148,
CAC. Andreoni,Crotone,9,25,5,9,1,663,23,
A. Calabresi,Pisa,30,65,14,21,1,1107,73,
F. Vicari,Reggiana,18,153,14,85,4,1961,111,
A. Redolfi,Cittadella,19,69,15,42,0,1349,75,
N. Pavan,Cittadella,42,152,31,98,3,2241,186,
L. Libutti,Reggiana,37,124,11,30,0,2430,76,
G. Ricci,Benevento,48,25,16,27,7,1403,134,
R. Marchizza,Frosinone,9,36,7,23,14,2073,53,
L. Ravanelli,Monza,50,163,16,108,2,2363,174,
A. Tripaldelli,Reggiana,1,8,0,3,0,158,11,
V. Antov,Monza,53,100,43,93,3,2506,189,
D. Quaranta,Reggiana,5,31,3,13,1,447,20,
G. Altare,Pescara,13,77,9,42,3,1061,62,
A. Cagnano,Pescara,4,3,3,7,0,234,17,
S. Canestrelli,Pisa,39,193,29,119,4,3090,180,
A. Caporale,Cosenza,28,109,36,84,3,2173,140,
S. Kalaj,Frosinone,1,25,7,19,0,272,26,
L. Lucchesi,Monza,33,107,19,40,0,2259,99,
L. Moretti,Virtus Entella,1,16,14,11,0,350,17,
A. Ceresoli,Benevento,10,5,0,2,2,434,23,
I. Monterisi,Frosinone,38,167,28,111,3,3076,185,
RTR. Turicchia,Virtus Entella,0,0,1,1,0,35,1,
A. Papetti,Reggiana,21,66,9,16,4,1157,47,
A. Rizza,Cittadella,2,5,0,2,0,192,11,
M. Angeli,Cittadella,37,71,18,63,1,1344,114,
A. Oyono,Frosinone,55,64,16,35,4,2437,133,
F. D'Alessio,Cittadella,53,64,14,15,2,1589,110,
B. Cimino,Cosenza,19,21,4,9,0,647,37,
G. Bracaglia,Frosinone,28,78,20,33,0,1606,77,
F. Folino,Cremonese,29,117,23,68,1,2088,136,
A. Cecchetto,Cittadella,3,6,4,4,0,161,7,
M. Lusuardi,Reggiana,12,67,5,31,0,916,47,
