Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
A. Caracciolo,Pisa,1356,1162,166,0,3,2,3032,6,
A. Salvi,Cittadella,1017,745,247,2,47,3,2359,11,
P. Rozzio,Reggiana,617,557,66,0,0,0,1217,4,
F. Lucioni,Frosinone,151,125,37,1,0,1,388,3,
F. Ceccherini,Cremonese,1001,905,84,1,5,2,1548,4,
M. Sampirisi,Reggiana,649,530,90,0,34,1,1558,8,
M. Bianchetti,Cremonese,1888,1602,221,2,15,1,3112,17,
S. Scognamillo,Benevento,1837,1698,116,2,13,4,2888,8,
CAC. Andreoni,Crotone,177,126,36,0,24,3,663,5,
A. Calabresi,Pisa,440,358,75,1,20,0,1107,5,
F. Vicari,Reggiana,867,755,122,0,1,0,1961,5,
A. Redolfi,Cittadella,1079,992,61,0,2,0,1349,1,
N. Pavan,Cittadella,1106,874,186,0,8,0,2241,7,
L. Libutti,Reggiana,914,750,95,1,27,2,2430,8,
G. Ricci,Benevento,439,304,67,0,106,3,1403,31,
R. Marchizza,Frosinone,729,565,120,3,127,2,2073,37,
L. Ravanelli,Monza,1562,1399,103,1,2,3,2363,11,
A. Tripaldelli,Reggiana,40,28,4,0,4,1,158,2,
V. Antov,Monza,1741,1511,155,0,20,2,2506,8,
D. Quaranta,Reggiana,135,88,27,0,2,0,447,2,
G. Altare,Pescara,432,349,73,0,4,0,1061,1,
A. Cagnano,Pescara,138,106,17,0,12,0,234,2,
S. Canestrelli,Pisa,1376,1099,224,2,19,1,3090,7,
A. Caporale,Cosenza,1129,876,204,1,49,0,2173,17,
S. Kalaj,Frosinone,149,114,21,0,0,0,272,0,
L. Lucchesi,Monza,1020,850,140,0,8,1,2259,6,
L. Moretti,Virtus Entella,184,171,7,0,1,0,350,1,
A. Ceresoli,Benevento,139,99,6,0,9,0,434,1,
I. Monterisi,Frosinone,1695,1461,233,0,1,1,3076,11,
RTR. Turicchia,Virtus Entella,14,11,2,0,5,0,35,0,
A. Papetti,Reggiana,444,355,73,1,5,1,1157,3,
A. Rizza,Cittadella,40,28,8,0,24,0,192,4,
M. Angeli,Cittadella,674,540,107,0,1,1,1344,2,
A. Oyono,Frosinone,772,614,61,1,34,0,2437,23,
F. D'Alessio,Cittadella,414,306,47,2,32,1,1589,13,
B. Cimino,Cosenza,120,78,17,2,26,2,647,7,
G. Bracaglia,Frosinone,670,558,97,0,16,0,1606,7,
F. Folino,Cremonese,1050,862,179,0,19,0,2088,5,
A. Cecchetto,Cittadella,52,39,9,0,0,0,161,0,
M. Lusuardi,Reggiana,479,415,53,0,3,0,916,1,
