Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
L. Strizzolo,Cosenza,17,608,3379,2,15.0,4,1,0.0,,0.0,2,7,0,35,1,41,124,76,5,0,1,10,Forward
F. Galuppini,Ascoli,36,1599,3380,2,60.0,17,2,0.0,,0.0,23,21,4,19,20,91,754,595,44,25,3,25,Forward
F. Bonazzoli,Cremonese,40,1355,3381,1,49.0,21,6,0.0,,0.0,15,4,2,4,9,54,451,380,34,7,3,14,Forward
S. Moreo,Pisa,35,2691,3382,6,67.0,19,7,0.0,,0.0,28,60,13,135,25,232,697,405,41,42,9,38,Forward
A. Novakovich,Reggiana,32,1149,3383,2,24.0,10,3,0.0,,0.0,5,10,3,63,7,93,238,169,4,1,2,20,Forward
C. Gondo,Reggiana,34,1977,3384,1,51.0,19,7,0.0,,0.0,17,14,5,58,11,134,359,236,11,13,2,22,Forward
M. Ravasio,Cittadella,23,704,3385,3,21.0,9,1,0.0,,0.0,3,7,0,30,6,55,136,90,4,2,1,10,Forward
D. Diaw,Monza,6,79,3386,0,1.0,0,0,0.0,,0.0,0,0,0,5,0,9,14,10,0,1,0,0,Forward
M. Tramoni,Pisa,29,1953,3387,3,65.0,23,13,0.0,,0.0,24,11,10,19,21,91,518,383,32,70,8,28,Forward
L. Sgarbi,Pescara,35,473,3388,2,9.0,0,0,0.0,,0.0,3,1,0,4,7,26,143,107,8,33,3,12,Forward
EVE. Vergani,Frosinone,9,45,3389,0,,0,0,0.0,,0.0,1,1,0,0,0,1,6,5,0,0,0,0,Forward
EPE. Piovanello,Crotone,19,55,3390,0,1.0,1,0,0.0,,0.0,1,1,0,0,0,7,13,13,0,1,0,2,Forward
C. Kouan,Benevento,36,2457,3391,1,43.0,10,0,0.0,,0.0,22,32,29,42,14,125,827,639,89,21,2,30,Forward
F. Tsadjout,Pescara,19,817,3392,1,25.0,9,0,0.0,,0.0,7,9,1,31,7,61,197,162,3,6,0,7,Forward
G. Caso,Monza,29,1767,3393,3,42.0,8,4,0.0,,0.0,7,5,1,1,20,91,460,371,16,11,3,26,Forward
T. Fumagalli,Reggiana,37,1280,3394,1,55.0,17,4,0.0,,0.0,13,9,8,8,17,58,315,232,29,74,5,29,Forward
M. Zilli,Frosinone,30,724,3395,1,21.0,5,3,0.0,,0.0,6,10,1,51,6,79,118,62,2,1,1,7,Forward
S. Rabbi,Cittadella,37,1734,3396,2,47.0,12,4,0.0,,0.0,8,10,2,43,10,113,329,243,17,16,3,17,Forward
A. Raimondo,Frosinone,18,484,3397,0,14.0,3,1,0.0,,0.0,7,0,0,6,5,17,64,51,0,2,0,1,Forward
F. Russo,Virtus Entella,33,665,3398,1,19.0,8,2,0.0,,0.0,3,3,0,19,2,37,161,122,7,3,1,4,Forward
G. Kvernadze,Frosinone,38,1663,3399,5,41.0,11,3,0.0,,0.0,28,9,12,12,12,100,443,360,28,35,6,28,Forward
H. Wendel Meister,Pisa,16,548,3400,0,8.0,2,2,0.0,,0.0,2,1,1,22,3,40,65,43,2,0,0,1,Forward
M. Maggio,Crotone,38,600,3401,1,20.0,5,2,0.0,,0.0,10,2,5,3,9,57,198,144,10,36,1,8,Forward
F. Ghedjemis,Frosinone,32,1067,3402,1,29.0,5,2,0.0,,0.0,7,9,3,7,12,42,285,247,5,47,1,11,Forward
A. Cichero,Frosinone,7,124,3403,0,4.0,0,0,0.0,,0.0,0,1,0,11,3,11,28,18,1,0,0,2,Forward
N. Girma,Reggiana,27,1023,3404,2,31.0,13,5,0.0,,0.0,31,14,5,3,5,88,382,291,27,26,2,12,Forward
A. Debenedetti,Virtus Entella,37,802,3405,0,27.0,8,4,0.0,,0.0,14,9,1,26,10,71,190,148,6,4,0,5,Forward
FGF. Grosso,Frosinone,6,1,3406,0,,0,0,0.0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,Forward
ECE. Cavaliere,Reggiana,1,0,3407,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
