Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
L. Strizzolo,Cosenza,2,1,15.0,4,1,608,0.0,,0.0,
F. Galuppini,Ascoli,2,3,60.0,17,2,1599,0.0,,0.0,
F. Bonazzoli,Cremonese,1,3,49.0,21,6,1355,0.0,,0.0,
S. Moreo,Pisa,6,9,67.0,19,7,2691,0.0,,0.0,
A. Novakovich,Reggiana,2,2,24.0,10,3,1149,0.0,,0.0,
C. Gondo,Reggiana,1,2,51.0,19,7,1977,0.0,,0.0,
M. Ravasio,Cittadella,3,1,21.0,9,1,704,0.0,,0.0,
D. Diaw,Monza,0,0,1.0,0,0,79,0.0,,0.0,
M. Tramoni,Pisa,3,8,65.0,23,13,1953,0.0,,0.0,
L. Sgarbi,Pescara,2,3,9.0,0,0,473,0.0,,0.0,
EVE. Vergani,Frosinone,0,0,,0,0,45,0.0,,0.0,
EPE. Piovanello,Crotone,0,0,1.0,1,0,55,0.0,,0.0,
C. Kouan,Benevento,1,2,43.0,10,0,2457,0.0,,0.0,
F. Tsadjout,Pescara,1,0,25.0,9,0,817,0.0,,0.0,
G. Caso,Monza,3,3,42.0,8,4,1767,0.0,,0.0,
T. Fumagalli,Reggiana,1,5,55.0,17,4,1280,0.0,,0.0,
M. Zilli,Frosinone,1,1,21.0,5,3,724,0.0,,0.0,
S. Rabbi,Cittadella,2,3,47.0,12,4,1734,0.0,,0.0,
A. Raimondo,Frosinone,0,0,14.0,3,1,484,0.0,,0.0,
F. Russo,Virtus Entella,1,1,19.0,8,2,665,0.0,,0.0,
G. Kvernadze,Frosinone,5,6,41.0,11,3,1663,0.0,,0.0,
H. Wendel Meister,Pisa,0,0,8.0,2,2,548,0.0,,0.0,
M. Maggio,Crotone,1,1,20.0,5,2,600,0.0,,0.0,
F. Ghedjemis,Frosinone,1,1,29.0,5,2,1067,0.0,,0.0,
A. Cichero,Frosinone,0,0,4.0,0,0,124,0.0,,0.0,
N. Girma,Reggiana,2,2,31.0,13,5,1023,0.0,,0.0,
A. Debenedetti,Virtus Entella,0,0,27.0,8,4,802,0.0,,0.0,
FGF. Grosso,Frosinone,0,0,,0,0,1,0.0,,0.0,
ECE. Cavaliere,Reggiana,0,0,,0,0,0,0.0,,0.0,
