Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
L. Strizzolo,Cosenza,17,1,608,0,0,
F. Galuppini,Ascoli,36,2,1599,0,0,
F. Bonazzoli,Cremonese,40,6,1355,0,0,
S. Moreo,Pisa,35,7,2691,0,0,
A. Novakovich,Reggiana,32,3,1149,0,0,
C. Gondo,Reggiana,34,7,1977,0,0,
M. Ravasio,Cittadella,23,1,704,0,0,
D. Diaw,Monza,6,0,79,0,0,
M. Tramoni,Pisa,29,13,1953,0,0,
L. Sgarbi,Pescara,35,0,473,0,0,
EVE. Vergani,Frosinone,9,0,45,0,0,
EPE. Piovanello,Crotone,19,0,55,0,0,
C. Kouan,Benevento,36,0,2457,0,0,
F. Tsadjout,Pescara,19,0,817,0,0,
G. Caso,Monza,29,4,1767,0,0,
T. Fumagalli,Reggiana,37,4,1280,0,0,
M. Zilli,Frosinone,30,3,724,0,0,
S. Rabbi,Cittadella,37,4,1734,0,0,
A. Raimondo,Frosinone,18,1,484,0,0,
F. Russo,Virtus Entella,33,2,665,0,0,
G. Kvernadze,Frosinone,38,3,1663,0,0,
H. Wendel Meister,Pisa,16,2,548,0,0,
M. Maggio,Crotone,38,2,600,0,0,
F. Ghedjemis,Frosinone,32,2,1067,0,0,
A. Cichero,Frosinone,7,0,124,0,0,
N. Girma,Reggiana,27,5,1023,0,0,
A. Debenedetti,Virtus Entella,37,4,802,0,0,
FGF. Grosso,Frosinone,6,0,1,0,0,
ECE. Cavaliere,Reggiana,1,0,0,0,0,
