Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
L. Strizzolo,Cosenza,2,7,0,35,1,608,41,
F. Galuppini,Ascoli,23,21,4,19,20,1599,91,
F. Bonazzoli,Cremonese,15,4,2,4,9,1355,54,
S. Moreo,Pisa,28,60,13,135,25,2691,232,
A. Novakovich,Reggiana,5,10,3,63,7,1149,93,
C. Gondo,Reggiana,17,14,5,58,11,1977,134,
M. Ravasio,Cittadella,3,7,0,30,6,704,55,
D. Diaw,Monza,0,0,0,5,0,79,9,
M. Tramoni,Pisa,24,11,10,19,21,1953,91,
L. Sgarbi,Pescara,3,1,0,4,7,473,26,
EVE. Vergani,Frosinone,1,1,0,0,0,45,1,
EPE. Piovanello,Crotone,1,1,0,0,0,55,7,
C. Kouan,Benevento,22,32,29,42,14,2457,125,
F. Tsadjout,Pescara,7,9,1,31,7,817,61,
G. Caso,Monza,7,5,1,1,20,1767,91,
T. Fumagalli,Reggiana,13,9,8,8,17,1280,58,
M. Zilli,Frosinone,6,10,1,51,6,724,79,
S. Rabbi,Cittadella,8,10,2,43,10,1734,113,
A. Raimondo,Frosinone,7,0,0,6,5,484,17,
F. Russo,Virtus Entella,3,3,0,19,2,665,37,
G. Kvernadze,Frosinone,28,9,12,12,12,1663,100,
H. Wendel Meister,Pisa,2,1,1,22,3,548,40,
M. Maggio,Crotone,10,2,5,3,9,600,57,
F. Ghedjemis,Frosinone,7,9,3,7,12,1067,42,
A. Cichero,Frosinone,0,1,0,11,3,124,11,
N. Girma,Reggiana,31,14,5,3,5,1023,88,
A. Debenedetti,Virtus Entella,14,9,1,26,10,802,71,
FGF. Grosso,Frosinone,0,0,0,0,0,1,0,
ECE. Cavaliere,Reggiana,0,0,0,0,0,0,0,
