Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
L. Strizzolo,Cosenza,124,76,5,2,0,1,608,10,
F. Galuppini,Ascoli,754,595,44,2,25,3,1599,25,
F. Bonazzoli,Cremonese,451,380,34,1,7,3,1355,14,
S. Moreo,Pisa,697,405,41,6,42,9,2691,38,
A. Novakovich,Reggiana,238,169,4,2,1,2,1149,20,
C. Gondo,Reggiana,359,236,11,1,13,2,1977,22,
M. Ravasio,Cittadella,136,90,4,3,2,1,704,10,
D. Diaw,Monza,14,10,0,0,1,0,79,0,
M. Tramoni,Pisa,518,383,32,3,70,8,1953,28,
L. Sgarbi,Pescara,143,107,8,2,33,3,473,12,
EVE. Vergani,Frosinone,6,5,0,0,0,0,45,0,
EPE. Piovanello,Crotone,13,13,0,0,1,0,55,2,
C. Kouan,Benevento,827,639,89,1,21,2,2457,30,
F. Tsadjout,Pescara,197,162,3,1,6,0,817,7,
G. Caso,Monza,460,371,16,3,11,3,1767,26,
T. Fumagalli,Reggiana,315,232,29,1,74,5,1280,29,
M. Zilli,Frosinone,118,62,2,1,1,1,724,7,
S. Rabbi,Cittadella,329,243,17,2,16,3,1734,17,
A. Raimondo,Frosinone,64,51,0,0,2,0,484,1,
F. Russo,Virtus Entella,161,122,7,1,3,1,665,4,
G. Kvernadze,Frosinone,443,360,28,5,35,6,1663,28,
H. Wendel Meister,Pisa,65,43,2,0,0,0,548,1,
M. Maggio,Crotone,198,144,10,1,36,1,600,8,
F. Ghedjemis,Frosinone,285,247,5,1,47,1,1067,11,
A. Cichero,Frosinone,28,18,1,0,0,0,124,2,
N. Girma,Reggiana,382,291,27,2,26,2,1023,12,
A. Debenedetti,Virtus Entella,190,148,6,0,4,0,802,5,
FGF. Grosso,Frosinone,1,1,0,0,0,0,1,0,
ECE. Cavaliere,Reggiana,0,0,0,0,0,0,0,0,
