Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
P. Frattali,Frosinone,8,0,3408,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Silvestri,Cremonese,14,630,3409,0,,0,0,0.0,,0.0,0,1,0,0,0,1,191,134,82,0,0,0,21,Goalkeeper
ASA. Seculin,Reggiana,10,0,3410,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
Nícolas,Pisa,36,90,3411,0,,0,0,0.0,,0.0,0,1,0,0,0,0,26,13,21,0,0,0,3,Goalkeeper
M. Pisseri,Frosinone,39,990,3412,0,,0,0,0.0,,0.0,0,11,0,4,0,4,251,171,119,0,0,0,30,Goalkeeper
L. Maniero,Cittadella,32,855,3413,0,,0,0,0.0,,0.0,0,10,0,2,0,3,221,125,149,0,0,0,39,Goalkeeper
A. Micai,Reggiana,37,3291,3414,0,,0,0,0.0,,0.0,0,46,0,11,0,22,1251,790,783,0,0,2,108,Goalkeeper
E. Audero,Cremonese,15,1350,3415,0,,0,0,0.0,,0.0,0,10,0,6,0,10,499,319,284,0,0,0,48,Goalkeeper
A. Šemper,Pisa,36,3240,3416,0,,0,0,0.0,,0.0,0,21,0,14,0,20,1107,712,713,0,0,1,91,Goalkeeper
D. Thiam,Monza,40,3598,3417,1,1.0,0,0,0.0,,0.0,0,38,2,9,0,16,1371,789,839,0,0,3,111,Goalkeeper
T. Vettorel,Cosenza,35,123,3418,0,,0,0,0.0,,0.0,0,2,0,0,0,1,39,29,19,0,0,0,3,Goalkeeper
M. Cardinali,Reggiana,9,0,3419,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Sarr,Cremonese,8,359,3420,0,,0,0,0.0,,0.0,0,5,0,2,0,2,95,51,70,0,0,0,11,Goalkeeper
G. Saro,Reggiana,24,0,3421,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
A. Sorrentino,Monza,36,180,3422,0,,0,0,0.0,,0.0,0,2,0,0,0,1,48,33,25,0,0,0,8,Goalkeeper
S. Desplanches,Pescara,38,1853,3423,0,,0,0,0.0,,0.0,0,27,0,9,0,11,602,453,247,0,0,0,57,Goalkeeper
FMF. Minicangeli,Frosinone,1,0,3424,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
E. Scquizzato,Cittadella,13,0,3425,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
