Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
P. Frattali,Frosinone,0,0,,0,0,0,0.0,,0.0,
M. Silvestri,Cremonese,0,0,,0,0,630,0.0,,0.0,
ASA. Seculin,Reggiana,0,0,,0,0,0,0.0,,0.0,
Nícolas,Pisa,0,0,,0,0,90,0.0,,0.0,
M. Pisseri,Frosinone,0,0,,0,0,990,0.0,,0.0,
L. Maniero,Cittadella,0,0,,0,0,855,0.0,,0.0,
A. Micai,Reggiana,0,0,,0,0,3291,0.0,,0.0,
E. Audero,Cremonese,0,0,,0,0,1350,0.0,,0.0,
A. Šemper,Pisa,0,0,,0,0,3240,0.0,,0.0,
D. Thiam,Monza,1,0,1.0,0,0,3598,0.0,,0.0,
T. Vettorel,Cosenza,0,0,,0,0,123,0.0,,0.0,
M. Cardinali,Reggiana,0,0,,0,0,0,0.0,,0.0,
M. Sarr,Cremonese,0,0,,0,0,359,0.0,,0.0,
G. Saro,Reggiana,0,0,,0,0,0,0.0,,0.0,
A. Sorrentino,Monza,0,0,,0,0,180,0.0,,0.0,
S. Desplanches,Pescara,0,0,,0,0,1853,0.0,,0.0,
FMF. Minicangeli,Frosinone,0,0,,0,0,0,0.0,,0.0,
E. Scquizzato,Cittadella,0,0,,0,0,0,0.0,,0.0,
