Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
P. Frattali,Frosinone,8,0,0,0,0,
M. Silvestri,Cremonese,14,0,630,0,0,
ASA. Seculin,Reggiana,10,0,0,0,0,
Nícolas,Pisa,36,0,90,0,0,
M. Pisseri,Frosinone,39,0,990,0,0,
L. Maniero,Cittadella,32,0,855,0,0,
A. Micai,Reggiana,37,0,3291,0,0,
E. Audero,Cremonese,15,0,1350,0,0,
A. Šemper,Pisa,36,0,3240,0,0,
D. Thiam,Monza,40,0,3598,0,0,
T. Vettorel,Cosenza,35,0,123,0,0,
M. Cardinali,Reggiana,9,0,0,0,0,
M. Sarr,Cremonese,8,0,359,0,0,
G. Saro,Reggiana,24,0,0,0,0,
A. Sorrentino,Monza,36,0,180,0,0,
S. Desplanches,Pescara,38,0,1853,0,0,
FMF. Minicangeli,Frosinone,1,0,0,0,0,
E. Scquizzato,Cittadella,13,0,0,0,0,
