Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
P. Frattali,Frosinone,0,0,0,0,0,0,0,
M. Silvestri,Cremonese,0,1,0,0,0,630,1,
ASA. Seculin,Reggiana,0,0,0,0,0,0,0,
Nícolas,Pisa,0,1,0,0,0,90,0,
M. Pisseri,Frosinone,0,11,0,4,0,990,4,
L. Maniero,Cittadella,0,10,0,2,0,855,3,
A. Micai,Reggiana,0,46,0,11,0,3291,22,
E. Audero,Cremonese,0,10,0,6,0,1350,10,
A. Šemper,Pisa,0,21,0,14,0,3240,20,
D. Thiam,Monza,0,38,2,9,0,3598,16,
T. Vettorel,Cosenza,0,2,0,0,0,123,1,
M. Cardinali,Reggiana,0,0,0,0,0,0,0,
M. Sarr,Cremonese,0,5,0,2,0,359,2,
G. Saro,Reggiana,0,0,0,0,0,0,0,
A. Sorrentino,Monza,0,2,0,0,0,180,1,
S. Desplanches,Pescara,0,27,0,9,0,1853,11,
FMF. Minicangeli,Frosinone,0,0,0,0,0,0,0,
E. Scquizzato,Cittadella,0,0,0,0,0,0,0,
