Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
P. Frattali,Frosinone,0,0,0,0,0,0,0,0,
M. Silvestri,Cremonese,191,134,82,0,0,0,630,0,
ASA. Seculin,Reggiana,0,0,0,0,0,0,0,0,
Nícolas,Pisa,26,13,21,0,0,0,90,0,
M. Pisseri,Frosinone,251,171,119,0,0,0,990,0,
L. Maniero,Cittadella,221,125,149,0,0,0,855,0,
A. Micai,Reggiana,1251,790,783,0,0,0,3291,2,
E. Audero,Cremonese,499,319,284,0,0,0,1350,0,
A. Šemper,Pisa,1107,712,713,0,0,0,3240,1,
D. Thiam,Monza,1371,789,839,1,0,0,3598,3,
T. Vettorel,Cosenza,39,29,19,0,0,0,123,0,
M. Cardinali,Reggiana,0,0,0,0,0,0,0,0,
M. Sarr,Cremonese,95,51,70,0,0,0,359,0,
G. Saro,Reggiana,0,0,0,0,0,0,0,0,
A. Sorrentino,Monza,48,33,25,0,0,0,180,0,
S. Desplanches,Pescara,602,453,247,0,0,0,1853,0,
FMF. Minicangeli,Frosinone,0,0,0,0,0,0,0,0,
E. Scquizzato,Cittadella,0,0,0,0,0,0,0,0,
