Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
L. Cigarini,Reggiana,26,126,3426,0,3.0,0,0,0.0,,0.0,4,1,4,2,3,7,129,108,31,12,0,11,Midfielder
P. Obiang,Monza,37,1492,3427,0,10.0,2,1,0.0,,0.0,44,41,18,34,2,106,967,842,94,10,1,12,Midfielder
M. Maita,Benevento,36,2702,3428,2,21.0,4,1,0.0,,0.0,68,38,18,11,8,144,1307,1092,136,17,2,21,Midfielder
S. Branca,Cittadella,22,1486,3429,1,6.0,1,0,0.0,,0.0,57,25,11,17,0,110,813,680,96,22,1,17,Midfielder
A. Vita,Cittadella,33,2591,3430,1,39.0,11,4,0.0,,0.0,29,47,13,42,14,135,794,539,117,127,3,52,Midfielder
L. Garritano,Cosenza,26,759,3431,0,15.0,6,0,0.0,,0.0,12,8,2,1,4,27,327,258,23,59,2,18,Midfielder
J. Mauri,Cosenza,18,306,3432,0,3.0,0,0,0.0,,0.0,11,5,3,1,2,17,187,166,20,4,0,3,Midfielder
P. Azzi,Monza,20,1533,3433,3,46.0,11,3,0.0,,0.0,23,37,10,23,15,68,438,332,33,58,7,20,Midfielder
F. Gelli,Frosinone,33,1719,3434,1,16.0,4,0,0.0,,0.0,26,19,8,12,1,87,832,719,68,76,1,21,Midfielder
M. Marin,Pisa,34,2646,3435,2,25.0,4,1,0.0,,0.0,84,51,29,36,12,173,1272,1050,163,40,4,24,Midfielder
E. Masciangelo,Frosinone,36,2671,3436,4,17.0,3,1,0.0,,0.0,38,60,19,28,6,136,1015,733,168,226,4,44,Midfielder
I. Touré,Pisa,36,2435,3437,4,36.0,13,6,0.0,,0.0,68,65,18,169,3,275,789,496,77,64,5,21,Midfielder
F. Caligara,Pescara,27,541,3438,0,10.0,1,0,0.0,,0.0,18,11,5,11,2,37,220,162,39,26,1,9,Midfielder
G. Calò,Frosinone,35,2622,3439,4,35.0,9,2,0.0,,0.0,34,42,19,20,10,113,1600,1337,279,149,3,49,Midfielder
M. Collocolo,Cremonese,35,2644,3440,2,48.0,16,8,0.0,,0.0,46,58,23,45,15,146,1170,1000,103,51,6,35,Midfielder
M. Léris,Pisa,4,169,3441,0,2.0,0,0,0.0,,0.0,3,3,1,2,2,8,48,33,4,8,0,3,Midfielder
A. Rizzo Pinna,Ascoli,37,1435,3442,1,44.0,15,2,0.0,,0.0,16,6,4,4,9,78,448,390,14,75,2,27,Midfielder
M. Meli,Crotone,40,541,3443,0,6.0,3,0,0.0,,0.0,12,24,6,10,3,46,176,145,12,4,0,2,Midfielder
L. Benedetti,Virtus Entella,30,1142,3444,1,15.0,2,0,0.0,,0.0,21,27,10,15,7,52,362,280,24,29,0,13,Midfielder
M. Rover,Reggiana,36,1408,3445,1,42.0,20,4,0.0,,0.0,14,38,13,17,11,51,362,265,31,35,2,11,Midfielder
M. Bertagnoli,Reggiana,34,1492,3446,1,28.0,10,1,0.0,,0.0,42,38,28,32,8,108,626,503,67,37,2,18,Midfielder
N. Corrado,Frosinone,38,1979,3447,2,24.0,5,1,0.0,,0.0,44,59,19,16,9,93,698,508,121,133,6,36,Midfielder
L. Belardinelli,Reggiana,15,483,3448,0,9.0,2,0,0.0,,0.0,9,8,3,29,2,41,172,95,28,9,1,6,Midfielder
T. Reinhart,Reggiana,36,2233,3449,2,15.0,4,1,0.0,,0.0,43,55,28,15,5,88,1109,916,143,71,1,30,Midfielder
R. Celia,Benevento,38,1531,3450,0,6.0,1,0,0.0,,0.0,20,39,12,6,0,61,536,449,44,38,0,9,Midfielder
N. Galazzi,Monza,24,1469,3451,5,34.0,12,1,0.0,,0.0,36,6,7,15,7,110,600,461,70,81,10,41,Midfielder
G. Piccinini,Pisa,38,2341,3452,4,44.0,9,4,0.0,,0.0,52,35,26,48,12,138,1013,801,75,26,5,23,Midfielder
K. Bozhanaj,Reggiana,35,914,3453,2,32.0,10,2,0.0,,0.0,18,2,5,2,7,88,239,199,18,16,4,14,Midfielder
F. Amatucci,Cittadella,37,2812,3454,0,28.0,11,1,0.0,,0.0,60,47,35,37,5,129,843,636,70,15,3,17,Midfielder
T. Barbieri,Cremonese,39,2109,3455,5,25.0,7,3,0.0,,0.0,50,34,27,37,5,143,684,548,75,128,5,27,Midfielder
GCG. Corradini,Ascoli,1,0,3456,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
T. Milanese,Cremonese,37,436,3457,0,9.0,1,0,0.0,,0.0,7,4,4,1,3,20,143,126,4,0,0,2,Midfielder
M. Højholt,Pisa,38,1269,3458,1,8.0,1,0,0.0,,0.0,39,27,12,14,5,67,476,381,48,13,2,6,Midfielder
Y. Paz,Reggiana,34,440,3459,0,7.0,2,0,0.0,,0.0,12,17,4,6,3,24,157,131,19,12,0,3,Midfielder
R. Kouda,Parma,27,838,3460,4,31.0,11,3,0.0,,0.0,10,7,3,15,9,50,256,209,9,55,3,17,Midfielder
F. Casolari,Cittadella,29,1260,3461,0,7.0,2,1,0.0,,0.0,34,39,11,19,3,77,665,536,96,23,0,16,Midfielder
C. Kourfalidis,Cosenza,35,1093,3462,0,13.0,1,0,0.0,,0.0,22,25,7,17,5,62,390,317,29,22,1,12,Midfielder
G. Olzer,Pescara,32,1205,3463,1,29.0,7,1,0.0,,0.0,19,20,12,48,11,120,331,229,32,36,1,25,Midfielder
A. Oliveri,Pescara,31,1754,3464,2,25.0,3,0,0.0,,0.0,38,34,15,28,9,127,594,491,34,87,3,23,Midfielder
A. Fiori,Frosinone,36,1831,3465,5,58.0,19,2,0.0,,0.0,17,10,6,8,21,110,578,488,22,46,5,30,Midfielder
A. Florenzi,Cosenza,30,2182,3466,2,41.0,10,2,0.0,,0.0,37,39,23,19,11,142,965,768,56,58,4,34,Midfielder
R. Floriani Mussolini,Cremonese,37,2890,3467,2,16.0,8,1,0.0,,0.0,44,92,21,43,1,119,529,351,68,92,5,18,Midfielder
J. Oyono,Frosinone,38,1585,3468,0,6.0,3,1,0.0,,0.0,36,49,6,21,0,105,596,484,54,43,1,18,Midfielder
S. Angori,Pisa,38,2354,3469,3,28.0,5,2,0.0,,0.0,27,72,9,40,11,133,759,580,107,192,9,55,Midfielder
I. Vural,Pisa,36,1196,3470,1,14.0,2,0,0.0,,0.0,25,20,8,15,2,91,414,361,25,2,2,10,Midfielder
L. Mendicino,Reggiana,36,521,3471,0,1.0,0,0,0.0,,0.0,28,10,4,4,1,39,264,231,25,1,0,2,Midfielder
M. Cichella,Frosinone,34,1021,3472,0,7.0,1,1,0.0,,0.0,24,7,8,2,2,38,478,429,40,3,0,5,Midfielder
ECE. Contiero,Cosenza,4,8,3473,0,,0,0,0.0,,0.0,0,0,0,0,0,0,8,7,0,0,0,0,Midfielder
