Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
L. Cigarini,Reggiana,0,0,3.0,0,0,126,0.0,,0.0,
P. Obiang,Monza,0,1,10.0,2,1,1492,0.0,,0.0,
M. Maita,Benevento,2,2,21.0,4,1,2702,0.0,,0.0,
S. Branca,Cittadella,1,1,6.0,1,0,1486,0.0,,0.0,
A. Vita,Cittadella,1,3,39.0,11,4,2591,0.0,,0.0,
L. Garritano,Cosenza,0,2,15.0,6,0,759,0.0,,0.0,
J. Mauri,Cosenza,0,0,3.0,0,0,306,0.0,,0.0,
P. Azzi,Monza,3,7,46.0,11,3,1533,0.0,,0.0,
F. Gelli,Frosinone,1,1,16.0,4,0,1719,0.0,,0.0,
M. Marin,Pisa,2,4,25.0,4,1,2646,0.0,,0.0,
E. Masciangelo,Frosinone,4,4,17.0,3,1,2671,0.0,,0.0,
I. Touré,Pisa,4,5,36.0,13,6,2435,0.0,,0.0,
F. Caligara,Pescara,0,1,10.0,1,0,541,0.0,,0.0,
G. Calò,Frosinone,4,3,35.0,9,2,2622,0.0,,0.0,
M. Collocolo,Cremonese,2,6,48.0,16,8,2644,0.0,,0.0,
M. Léris,Pisa,0,0,2.0,0,0,169,0.0,,0.0,
A. Rizzo Pinna,Ascoli,1,2,44.0,15,2,1435,0.0,,0.0,
M. Meli,Crotone,0,0,6.0,3,0,541,0.0,,0.0,
L. Benedetti,Virtus Entella,1,0,15.0,2,0,1142,0.0,,0.0,
M. Rover,Reggiana,1,2,42.0,20,4,1408,0.0,,0.0,
M. Bertagnoli,Reggiana,1,2,28.0,10,1,1492,0.0,,0.0,
N. Corrado,Frosinone,2,6,24.0,5,1,1979,0.0,,0.0,
L. Belardinelli,Reggiana,0,1,9.0,2,0,483,0.0,,0.0,
T. Reinhart,Reggiana,2,1,15.0,4,1,2233,0.0,,0.0,
R. Celia,Benevento,0,0,6.0,1,0,1531,0.0,,0.0,
N. Galazzi,Monza,5,10,34.0,12,1,1469,0.0,,0.0,
G. Piccinini,Pisa,4,5,44.0,9,4,2341,0.0,,0.0,
K. Bozhanaj,Reggiana,2,4,32.0,10,2,914,0.0,,0.0,
F. Amatucci,Cittadella,0,3,28.0,11,1,2812,0.0,,0.0,
T. Barbieri,Cremonese,5,5,25.0,7,3,2109,0.0,,0.0,
GCG. Corradini,Ascoli,0,0,,0,0,0,0.0,,0.0,
T. Milanese,Cremonese,0,0,9.0,1,0,436,0.0,,0.0,
M. Højholt,Pisa,1,2,8.0,1,0,1269,0.0,,0.0,
Y. Paz,Reggiana,0,0,7.0,2,0,440,0.0,,0.0,
R. Kouda,Parma,4,3,31.0,11,3,838,0.0,,0.0,
F. Casolari,Cittadella,0,0,7.0,2,1,1260,0.0,,0.0,
C. Kourfalidis,Cosenza,0,1,13.0,1,0,1093,0.0,,0.0,
G. Olzer,Pescara,1,1,29.0,7,1,1205,0.0,,0.0,
A. Oliveri,Pescara,2,3,25.0,3,0,1754,0.0,,0.0,
A. Fiori,Frosinone,5,5,58.0,19,2,1831,0.0,,0.0,
A. Florenzi,Cosenza,2,4,41.0,10,2,2182,0.0,,0.0,
R. Floriani Mussolini,Cremonese,2,5,16.0,8,1,2890,0.0,,0.0,
J. Oyono,Frosinone,0,1,6.0,3,1,1585,0.0,,0.0,
S. Angori,Pisa,3,9,28.0,5,2,2354,0.0,,0.0,
I. Vural,Pisa,1,2,14.0,2,0,1196,0.0,,0.0,
L. Mendicino,Reggiana,0,0,1.0,0,0,521,0.0,,0.0,
M. Cichella,Frosinone,0,0,7.0,1,1,1021,0.0,,0.0,
ECE. Contiero,Cosenza,0,0,,0,0,8,0.0,,0.0,
