Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
L. Cigarini,Reggiana,26,0,126,0,0,
P. Obiang,Monza,37,1,1492,0,0,
M. Maita,Benevento,36,1,2702,0,0,
S. Branca,Cittadella,22,0,1486,0,0,
A. Vita,Cittadella,33,4,2591,0,0,
L. Garritano,Cosenza,26,0,759,0,0,
J. Mauri,Cosenza,18,0,306,0,0,
P. Azzi,Monza,20,3,1533,0,0,
F. Gelli,Frosinone,33,0,1719,0,0,
M. Marin,Pisa,34,1,2646,0,0,
E. Masciangelo,Frosinone,36,1,2671,0,0,
I. Touré,Pisa,36,6,2435,0,0,
F. Caligara,Pescara,27,0,541,0,0,
G. Calò,Frosinone,35,2,2622,0,0,
M. Collocolo,Cremonese,35,8,2644,0,0,
M. Léris,Pisa,4,0,169,0,0,
A. Rizzo Pinna,Ascoli,37,2,1435,0,0,
M. Meli,Crotone,40,0,541,0,0,
L. Benedetti,Virtus Entella,30,0,1142,0,0,
M. Rover,Reggiana,36,4,1408,0,0,
M. Bertagnoli,Reggiana,34,1,1492,0,0,
N. Corrado,Frosinone,38,1,1979,0,0,
L. Belardinelli,Reggiana,15,0,483,0,0,
T. Reinhart,Reggiana,36,1,2233,0,0,
R. Celia,Benevento,38,0,1531,0,0,
N. Galazzi,Monza,24,1,1469,0,0,
G. Piccinini,Pisa,38,4,2341,0,0,
K. Bozhanaj,Reggiana,35,2,914,0,0,
F. Amatucci,Cittadella,37,1,2812,0,0,
T. Barbieri,Cremonese,39,3,2109,0,0,
GCG. Corradini,Ascoli,1,0,0,0,0,
T. Milanese,Cremonese,37,0,436,0,0,
M. Højholt,Pisa,38,0,1269,0,0,
Y. Paz,Reggiana,34,0,440,0,0,
R. Kouda,Parma,27,3,838,0,0,
F. Casolari,Cittadella,29,1,1260,0,0,
C. Kourfalidis,Cosenza,35,0,1093,0,0,
G. Olzer,Pescara,32,1,1205,0,0,
A. Oliveri,Pescara,31,0,1754,0,0,
A. Fiori,Frosinone,36,2,1831,0,0,
A. Florenzi,Cosenza,30,2,2182,0,0,
R. Floriani Mussolini,Cremonese,37,1,2890,0,0,
J. Oyono,Frosinone,38,1,1585,0,0,
S. Angori,Pisa,38,2,2354,0,0,
I. Vural,Pisa,36,0,1196,0,0,
L. Mendicino,Reggiana,36,0,521,0,0,
M. Cichella,Frosinone,34,1,1021,0,0,
ECE. Contiero,Cosenza,4,0,8,0,0,
