Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
L. Cigarini,Reggiana,4,1,4,2,3,126,7,
P. Obiang,Monza,44,41,18,34,2,1492,106,
M. Maita,Benevento,68,38,18,11,8,2702,144,
S. Branca,Cittadella,57,25,11,17,0,1486,110,
A. Vita,Cittadella,29,47,13,42,14,2591,135,
L. Garritano,Cosenza,12,8,2,1,4,759,27,
J. Mauri,Cosenza,11,5,3,1,2,306,17,
P. Azzi,Monza,23,37,10,23,15,1533,68,
F. Gelli,Frosinone,26,19,8,12,1,1719,87,
M. Marin,Pisa,84,51,29,36,12,2646,173,
E. Masciangelo,Frosinone,38,60,19,28,6,2671,136,
I. Touré,Pisa,68,65,18,169,3,2435,275,
F. Caligara,Pescara,18,11,5,11,2,541,37,
G. Calò,Frosinone,34,42,19,20,10,2622,113,
M. Collocolo,Cremonese,46,58,23,45,15,2644,146,
M. Léris,Pisa,3,3,1,2,2,169,8,
A. Rizzo Pinna,Ascoli,16,6,4,4,9,1435,78,
M. Meli,Crotone,12,24,6,10,3,541,46,
L. Benedetti,Virtus Entella,21,27,10,15,7,1142,52,
M. Rover,Reggiana,14,38,13,17,11,1408,51,
M. Bertagnoli,Reggiana,42,38,28,32,8,1492,108,
N. Corrado,Frosinone,44,59,19,16,9,1979,93,
L. Belardinelli,Reggiana,9,8,3,29,2,483,41,
T. Reinhart,Reggiana,43,55,28,15,5,2233,88,
R. Celia,Benevento,20,39,12,6,0,1531,61,
N. Galazzi,Monza,36,6,7,15,7,1469,110,
G. Piccinini,Pisa,52,35,26,48,12,2341,138,
K. Bozhanaj,Reggiana,18,2,5,2,7,914,88,
F. Amatucci,Cittadella,60,47,35,37,5,2812,129,
T. Barbieri,Cremonese,50,34,27,37,5,2109,143,
GCG. Corradini,Ascoli,0,0,0,0,0,0,0,
T. Milanese,Cremonese,7,4,4,1,3,436,20,
M. Højholt,Pisa,39,27,12,14,5,1269,67,
Y. Paz,Reggiana,12,17,4,6,3,440,24,
R. Kouda,Parma,10,7,3,15,9,838,50,
F. Casolari,Cittadella,34,39,11,19,3,1260,77,
C. Kourfalidis,Cosenza,22,25,7,17,5,1093,62,
G. Olzer,Pescara,19,20,12,48,11,1205,120,
A. Oliveri,Pescara,38,34,15,28,9,1754,127,
A. Fiori,Frosinone,17,10,6,8,21,1831,110,
A. Florenzi,Cosenza,37,39,23,19,11,2182,142,
R. Floriani Mussolini,Cremonese,44,92,21,43,1,2890,119,
J. Oyono,Frosinone,36,49,6,21,0,1585,105,
S. Angori,Pisa,27,72,9,40,11,2354,133,
I. Vural,Pisa,25,20,8,15,2,1196,91,
L. Mendicino,Reggiana,28,10,4,4,1,521,39,
M. Cichella,Frosinone,24,7,8,2,2,1021,38,
ECE. Contiero,Cosenza,0,0,0,0,0,8,0,
