Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
L. Cigarini,Reggiana,129,108,31,0,12,0,126,11,
P. Obiang,Monza,967,842,94,0,10,1,1492,12,
M. Maita,Benevento,1307,1092,136,2,17,2,2702,21,
S. Branca,Cittadella,813,680,96,1,22,1,1486,17,
A. Vita,Cittadella,794,539,117,1,127,3,2591,52,
L. Garritano,Cosenza,327,258,23,0,59,2,759,18,
J. Mauri,Cosenza,187,166,20,0,4,0,306,3,
P. Azzi,Monza,438,332,33,3,58,7,1533,20,
F. Gelli,Frosinone,832,719,68,1,76,1,1719,21,
M. Marin,Pisa,1272,1050,163,2,40,4,2646,24,
E. Masciangelo,Frosinone,1015,733,168,4,226,4,2671,44,
I. Touré,Pisa,789,496,77,4,64,5,2435,21,
F. Caligara,Pescara,220,162,39,0,26,1,541,9,
G. Calò,Frosinone,1600,1337,279,4,149,3,2622,49,
M. Collocolo,Cremonese,1170,1000,103,2,51,6,2644,35,
M. Léris,Pisa,48,33,4,0,8,0,169,3,
A. Rizzo Pinna,Ascoli,448,390,14,1,75,2,1435,27,
M. Meli,Crotone,176,145,12,0,4,0,541,2,
L. Benedetti,Virtus Entella,362,280,24,1,29,0,1142,13,
M. Rover,Reggiana,362,265,31,1,35,2,1408,11,
M. Bertagnoli,Reggiana,626,503,67,1,37,2,1492,18,
N. Corrado,Frosinone,698,508,121,2,133,6,1979,36,
L. Belardinelli,Reggiana,172,95,28,0,9,1,483,6,
T. Reinhart,Reggiana,1109,916,143,2,71,1,2233,30,
R. Celia,Benevento,536,449,44,0,38,0,1531,9,
N. Galazzi,Monza,600,461,70,5,81,10,1469,41,
G. Piccinini,Pisa,1013,801,75,4,26,5,2341,23,
K. Bozhanaj,Reggiana,239,199,18,2,16,4,914,14,
F. Amatucci,Cittadella,843,636,70,0,15,3,2812,17,
T. Barbieri,Cremonese,684,548,75,5,128,5,2109,27,
GCG. Corradini,Ascoli,0,0,0,0,0,0,0,0,
T. Milanese,Cremonese,143,126,4,0,0,0,436,2,
M. Højholt,Pisa,476,381,48,1,13,2,1269,6,
Y. Paz,Reggiana,157,131,19,0,12,0,440,3,
R. Kouda,Parma,256,209,9,4,55,3,838,17,
F. Casolari,Cittadella,665,536,96,0,23,0,1260,16,
C. Kourfalidis,Cosenza,390,317,29,0,22,1,1093,12,
G. Olzer,Pescara,331,229,32,1,36,1,1205,25,
A. Oliveri,Pescara,594,491,34,2,87,3,1754,23,
A. Fiori,Frosinone,578,488,22,5,46,5,1831,30,
A. Florenzi,Cosenza,965,768,56,2,58,4,2182,34,
R. Floriani Mussolini,Cremonese,529,351,68,2,92,5,2890,18,
J. Oyono,Frosinone,596,484,54,0,43,1,1585,18,
S. Angori,Pisa,759,580,107,3,192,9,2354,55,
I. Vural,Pisa,414,361,25,1,2,2,1196,10,
L. Mendicino,Reggiana,264,231,25,0,1,0,521,2,
M. Cichella,Frosinone,478,429,40,0,3,0,1021,5,
ECE. Contiero,Cosenza,8,7,0,0,0,0,8,0,
