Name,Mins,Saves,Unnamed: 3
E. Valentini1. FC Nürnberg,90,0,
S. JungKarlsruher SC,2712,0,
M. ZimmermannFortuna Düsseldorf,2221,0,
T. KalasFC Schalke 04,1319,0,
M. HalstenbergHannover 96,2492,0,
M. FrankeKarlsruher SC,2587,0,
B. SallerSSV Jahn Regensburg,332,0,
C. ZimmermannDarmstadt 98,1,0,
L. Paqarada1. FC Heidenheim,2443,0,
M. HeyerFortuna Düsseldorf,1441,0,
J. de WijsFortuna Düsseldorf,103,0,
M. NeubauerHannover 96,3060,0,
E. IyohaFortuna Düsseldorf,1415,0,
M. MuheimHamburger SV,2667,0,
R. ZiegeleSSV Jahn Regensburg,1444,0,
A. DonkorFC Schalke 04,811,0,
C. KobaldKarlsruher SC,1318,0,
F. GötzeSC Paderborn 07,2642,0,
T. Christopher OberdorfFortuna Düsseldorf,2961,0,
A. VukotićDarmstadt 98,2847,0,
R. SchallenbergFC Schalke 04,2630,0,
B. TomiakHannover 96,2181,0,
S. LópezDarmstadt 98,2425,0,
P. PfeifferDarmstadt 98,276,0,
M. HoffmeierSC Paderborn 07,1385,0,
V. LunddalFortuna Düsseldorf,1331,0,
F. NürnbergerDarmstadt 98,2148,0,
LPL. PerrinHamburger SV,325,0,
D. ElfadliHamburger SV,2653,0,
H. MatricianiFC Schalke 04,0,0,
L. CurdaSC Paderborn 07,1221,0,
M. BeifusKarlsruher SC,2671,0,
D. HeroldKarlsruher SC,2044,0,
O. SchönfelderSSV Jahn Regensburg,374,0,
E. UhlmannErzgebirge Aue,0,0,
A. GantenbeinFC Schalke 04,965,0,
K. SchmidtFortuna Düsseldorf,0,0,
B. EzehHannover 96,554,0,
M. MaglicaDarmstadt 98,413,0,
L. WallnerF.C. Hansa Rostock,0,0,
W. MikelbrencisHamburger SV,1666,0,
C. BrackelmannSC Paderborn 07,1688,0,
F. Gruber1. FC Nürnberg,660,0,
B. BauerSSV Jahn Regensburg,1,0,
T. Lasse SchellerSC Paderborn 07,2291,0,
V. BeckerFC Schalke 04,0,0,
MAM. AyhanFC Schalke 04,0,0,
N. Oliveira KisilowskiSSV Jahn Regensburg,8,0,
TZT. ZobelErzgebirge Aue,0,0,
EEE. EgouliFortuna Düsseldorf,0,0,
F. SánchezFC Schalke 04,383,0,
TAT. ArnoldDarmstadt 98,0,0,
N. SeidelSSV Jahn Regensburg,415,0,
L. WurmSSV Jahn Regensburg,1777,0,
TTT. ToureFC Schalke 04,23,0,
KKK. KrummeSC Paderborn 07,1,0,
R. Pinto PedrosaKarlsruher SC,373,0,
J. PauliSG Dynamo Dresden,1213,0,
EPE. Porstner1. FC Nürnberg,1,0,
