Name,Mins,Saves,Unnamed: 3
A. Grimaldi1. FC Nürnberg,1093,0,
H. NielsenHannover 96,1399,0,
A. VoglsammerF.C. Hansa Rostock,958,0,
B. Zivzivadze1. FC Heidenheim,1463,0,
K. KaramanFC Schalke 04,2492,0,
R. GlatzelHamburger SV,677,0,
S. MichelSC Paderborn 07,1431,0,
F. SchleusenerKarlsruher SC,2172,0,
C. KühlwetterSSV Jahn Regensburg,2357,0,
V. VermeijSG Dynamo Dresden,430,0,
J. DompéHamburger SV,2402,0,
L. MarseilerDarmstadt 98,1429,0,
I. LidbergDarmstadt 98,2229,0,
S. TiggesSC Paderborn 07,280,0,
FDF. DietzSSV Jahn Regensburg,51,0,
B. JattaHamburger SV,421,0,
M. KaarsFC St. Pauli,2428,0,
M. SyllaFC Schalke 04,2216,0,
BLB. LasmeFC Schalke 04,73,0,
JCJ. CekaSG Dynamo Dresden,46,0,
F. HornbyDarmstadt 98,1932,0,
M. Kaufmann1. FC Heidenheim,834,0,
C. Joe Conteh1. FC Heidenheim,421,0,
F. BilbijaSC Paderborn 07,2496,0,
R. PhilippeHamburger SV,2934,0,
F. LakenmacherDarmstadt 98,880,0,
R. Yeboah KönigsdörfferHamburger SV,1691,0,
M. Ševčík1. FC Nürnberg,76,0,
D. YokotaHannover 96,1755,0,
D. GaljenSSV Jahn Regensburg,191,0,
D. DownsHamburger SV,1726,0,
E. HøjlundFC Schalke 04,272,0,
Z. Amoussou-TchibaraFC Schalke 04,45,0,
F. BaldéHamburger SV,676,0,
D. ForkelSSV Jahn Regensburg,221,0,
P. RemmertFC Schalke 04,25,0,
TKT. Kusanovic1. FC Nürnberg,45,0,
LCL. Chiumento1. FC Nürnberg,1,0,
