Name,Mins,Saves,Unnamed: 3
D. Soares1. FC Nürnberg,1514,0,
A. GeiplSSV Jahn Regensburg,1744,0,
R. KrausseSV Sandhausen,1860,0,
J. MeffertHolstein Kiel,2375,0,
JGJ. Günther-SchmidtErzgebirge Aue,0,0,
D. KinsombiSC Paderborn 07,1062,0,
P. FörsterKarlsruher SC,1456,0,
M. WanitzekKarlsruher SC,3060,0,
J. BachmannFC Schalke 04,1646,0,
N. RappKarlsruher SC,2157,0,
M. BaderDarmstadt 98,274,0,
R. ObermairSC Paderborn 07,2860,0,
J. Justvan1. FC Nürnberg,2640,0,
C. Antwi-AdjeiFC Schalke 04,958,0,
D. BurnićKarlsruher SC,2277,0,
S. KlaasSC Paderborn 07,823,0,
L. HerrmannSG Dynamo Dresden,457,0,
K. KlefischDarmstadt 98,1797,0,
N. KatterbachHamburger SV,549,0,
M. PapelaDarmstadt 98,1267,0,
A. SuhonenHamburger SV,611,0,
S. Karl AppelkampFortuna Düsseldorf,1558,0,
B. HeinSSV Jahn Regensburg,2066,0,
L. EgloffKarlsruher SC,416,0,
E. LeopoldHannover 96,2875,0,
T. BreithauptFortuna Düsseldorf,800,0,
B. AllgeierHannover 96,1758,0,
A. MüllerKarlsruher SC,2536,0,
M. HansenSC Paderborn 07,576,0,
P. StockF.C. Hansa Rostock,309,0,
D. PfaffenrothSV Sandhausen,20,0,
K. CorredorDarmstadt 98,2581,0,
K. OudenneHannover 96,460,0,
T. RossmannFortuna Düsseldorf,1027,0,
M. BaurSC Paderborn 07,186,0,
A. Eren ErsungurKarlsruher SC,54,0,
B. Yılmaz1. FC Nürnberg,1382,0,
S. CastanedaSC Paderborn 07,2227,0,
HAH. AnhariFortuna Düsseldorf,2,0,
R. Lubach1. FC Nürnberg,1323,0,
P. MullerSSV Jahn Regensburg,473,0,
N. BaierDarmstadt 98,0,0,
N. AsékoHannover 96,22,0,
K. AffoFortuna Düsseldorf,8,0,
TJT. Janisch1. FC Nürnberg,1112,0,
M. GrügerFC Schalke 04,1409,0,
H. ChakrounHannover 96,13,0,
S. SusoFortuna Düsseldorf,1,0,
L. Ben FarhatKarlsruher SC,452,0,
M. KritzerKarlsruher SC,0,0,
A. Røssing-LelesiitHamburger SV,9,0,
