Name,Mins,Saves,Unnamed: 3
K. VogtVfL Bochum 1848,1280,0,
D. da Costa1. FSV Mainz 05,2011,0,
A. JungSC Freiburg,1905,0,
S. Bell1. FSV Mainz 05,1438,0,
C. GamboaVfL Bochum 1848,230,0,
W. OrbánRB Leipzig,2224,0,
C. GünterSC Freiburg,2323,0,
M. GinterSC Freiburg,2565,0,
L. KüblerSC Freiburg,1849,0,
J. GouweleeuwFC Augsburg,2945,0,
D. Kohr1. FSV Mainz 05,2303,0,
N. SüleBorussia Dortmund,1059,0,
K. AkpogumaTSG Hoffenheim,2221,0,
J. TahFC Bayern München,2970,0,
R. GuerreiroFC Bayern München,1581,0,
M. WittekVfL Bochum 1848,2641,0,
M. FriedrichBorussia M'gladbach,991,0,
N. ElvediBorussia M'gladbach,2136,0,
D. VavroVfL Wolfsburg,2462,0,
L. KlostermannRB Leipzig,1837,0,
B. HenrichsRB Leipzig,940,0,
P. StenzelVfB Stuttgart,300,0,
K. LaimerFC Bayern München,1704,0,
R. Gosens1. FC Union Berlin,90,0,
P. LienhartSC Freiburg,2771,0,
R. BensebainiBorussia Dortmund,2035,0,
R. KochEintracht Frankfurt,2589,0,
M. MittelstädtVfB Stuttgart,2475,0,
N. LoosliVfL Bochum 1848,0,0,
J. Juranović1. FC Union Berlin,1168,0,
A. Hanche-Olsen1. FSV Mainz 05,1279,0,
D. UpamecanoFC Bayern München,1761,0,
C. ZesigerVfL Wolfsburg,1748,0,
W. AntonBorussia Dortmund,1947,0,
J. RyersonBorussia Dortmund,2270,0,
M. PedersenFC Augsburg,231,0,
D. ZagadouVfB Stuttgart,31,0,
BernardoTSG Hoffenheim,1691,0,
D. Doekhi1. FC Union Berlin,2970,0,
E. MašovićVfL Bochum 1848,913,0,
J. BesteSC Freiburg,210,0,
J. MæhleVfL Wolfsburg,2190,0,
M. Leitsch1. FSV Mainz 05,677,0,
A. DaviesFC Bayern München,1561,0,
D. Leite1. FC Union Berlin,2458,0,
D. RaumRB Leipzig,1788,0,
P. Jaeckel1. FC Union Berlin,0,0,
J. ChabotVfB Stuttgart,2280,0,
H. ItoFC Bayern München,257,0,
Y. KeitelFC Augsburg,277,0,
E. TapsobaBayer 04 Leverkusen,2511,0,
D. Köhn1. FC Union Berlin,1360,0,
K. SchlotterbeckFC Augsburg,1298,0,
M. KimFC Bayern München,2289,0,
S. N'Soki1. FC Union Berlin,1324,0,
J. VagnomanVfB Stuttgart,1835,0,
R. HendriksVfB Stuttgart,1166,0,
M. JenzVfL Wolfsburg,1606,0,
R. KristensenEintracht Frankfurt,2515,0,
J. StanišićFC Bayern München,885,0,
M. BauerArminia Bielefeld,656,0,
N. SchlotterbeckBorussia Dortmund,1984,0,
V. GendreyTSG Hoffenheim,1416,0,
M. SimakanRB Leipzig,55,0,
R. HranáčTSG Hoffenheim,219,0,
A. Al-DakhilVfB Stuttgart,436,0,
A. TheateEintracht Frankfurt,2709,0,
C. LukebaRB Leipzig,1577,0,
D. DegerFC Augsburg,0,0,
K. FischerVfL Wolfsburg,2306,0,
A. AmendaEintracht Frankfurt,121,0,
J. ScallyBorussia M'gladbach,2586,0,
E. Chadaille BitshiabuRB Leipzig,1130,0,
N. CollinsEintracht Frankfurt,1489,0,
K. SchmidtSC Freiburg,0,0,
L. UllrichBorussia M'gladbach,1916,0,
L. Querfeld1. FC Union Berlin,1750,0,
NKN. KönigSpVgg Greuther Fürth,0,0,
A. ChavesFC Augsburg,2191,0,
L. JaquezVfB Stuttgart,253,0,
F. ChiarodiaBorussia M'gladbach,385,0,
M. RosenfelderSC Freiburg,1243,0,
J. MakengoSC Freiburg,753,0,
F. ManéBorussia Dortmund,0,0,
N. Veratschnig1. FSV Mainz 05,369,0,
T. OermannBayer 04 Leverkusen,2133,0,
K. NedeljkovićRB Leipzig,477,0,
N. BrownEintracht Frankfurt,1953,0,
J. BelocianVfL Wolfsburg,68,0,
ArthurBayer 04 Leverkusen,765,0,
K. KoulierakisVfL Wolfsburg,2476,0,
E. BaumEintracht Frankfurt,180,0,
A. KabarBorussia Dortmund,144,0,
F. JeltschVfB Stuttgart,793,0,
JBJ. BürgerVfL Wolfsburg,0,0,
B. OgbusSC Freiburg,17,0,
N. BanksFC Augsburg,281,0,
JNJ. NorbyeRB Leipzig,0,0,
KKK. KościerskiVfL Bochum 1848,6,0,
FMF. MeiserFC Augsburg,0,0,
