Name,Mins,Saves,Unnamed: 3
A. KramarićTSG Hoffenheim,2778,0,
H. KaneFC Bayern München,2389,0,
M. GregoritschFC Augsburg,645,0,
J. HofmannBayer 04 Leverkusen,366,0,
M. BatshuayiEintracht Frankfurt,309,0,
S. HallerBorussia Dortmund,0,0,
M. PhilippSC Freiburg,15,0,
T. KleindienstBorussia M'gladbach,2742,0,
G. HoltmannVfL Bochum 1848,1100,0,
I. BebouTSG Hoffenheim,8,0,
H. TabakovićBorussia M'gladbach,817,0,
L. HölerSC Freiburg,1881,0,
P. SchickBayer 04 Leverkusen,1694,0,
S. GuirassyBorussia Dortmund,2601,0,
P. HofmannVfL Bochum 1848,2284,0,
M. Bülter1. FC Köln,1739,0,
J. Lee1. FSV Mainz 05,2661,0,
O. Burke1. FC Union Berlin,931,0,
M. BerishaTSG Hoffenheim,368,0,
D. UndavVfB Stuttgart,1734,0,
P. Tietz1. FSV Mainz 05,1684,0,
A. Claude-MauriceFC Augsburg,2125,0,
J. WindVfL Wolfsburg,1976,0,
M. TerrierBayer 04 Leverkusen,583,0,
E. DemirovićVfB Stuttgart,1861,0,
S. MachinoBorussia M'gladbach,1961,0,
J. BurkardtEintracht Frankfurt,2120,0,
K. AdeyemiBorussia Dortmund,1446,0,
S. Katompa Mvumpa1. FSV Mainz 05,0,0,
A. Ilić1. FC Union Berlin,942,0,
A. HložekTSG Hoffenheim,1874,0,
B. Hollerbach1. FSV Mainz 05,2465,0,
P. Nebel1. FSV Mainz 05,2355,0,
M. BeierBorussia Dortmund,1590,0,
T. TomásVfB Stuttgart,1896,0,
A. Sieb1. FSV Mainz 05,772,0,
F. AsllaniTSG Hoffenheim,179,0,
I. MatanovićSC Freiburg,317,0,
M. TelFC Bayern München,253,0,
J. DiehlVfB Stuttgart,98,0,
N. Weiper1. FSV Mainz 05,710,0,
M. MoerstedtTSG Hoffenheim,450,0,
Y. EbnoutalibEintracht Frankfurt,2,0,
A. SarcoBorussia M'gladbach,0,0,
D. Preu1. FC Union Berlin,119,0,
