Name,Mins,Saves,Unnamed: 3
T. ChandlerEintracht Frankfurt,27,0,
C. Trimmel1. FC Union Berlin,1743,0,
N. HöflerSC Freiburg,787,0,
M. GötzeEintracht Frankfurt,1546,0,
K. KamplRB Leipzig,1596,0,
K. StögerBorussia M'gladbach,1553,0,
A. LosillaVfL Bochum 1848,1090,0,
M. SabitzerBorussia Dortmund,1613,0,
P. Mwene1. FSV Mainz 05,2617,0,
E. CanBorussia Dortmund,2111,0,
M. ArnoldVfL Wolfsburg,2359,0,
R. Khedira1. FC Union Berlin,2647,0,
S. Widmer1. FSV Mainz 05,546,0,
R. AndrichBayer 04 Leverkusen,1611,0,
J. Haberer1. FC Union Berlin,1704,0,
Y. GerhardtVfL Wolfsburg,1515,0,
V. GrifoSC Freiburg,2452,0,
A. GrimaldoBayer 04 Leverkusen,2643,0,
L. GoretzkaFC Bayern München,1321,0,
M. BeroVfL Bochum 1848,2479,0,
S. GnabryFC Bayern München,1248,0,
J. BrandtBorussia Dortmund,2318,0,
G. PrömelTSG Hoffenheim,175,0,
M. WolfFC Augsburg,2168,0,
J. KimmichFC Bayern München,2847,0,
F. HonoratBorussia M'gladbach,1452,0,
N. Amiri1. FSV Mainz 05,2481,0,
R. Skov1. FC Union Berlin,773,0,
M. DahoudEintracht Frankfurt,367,0,
D. GiannoulisFC Augsburg,2655,0,
K. MiyoshiVfL Bochum 1848,453,0,
M. EggesteinSC Freiburg,2855,0,
E. SkhiriEintracht Frankfurt,2240,0,
R. DoanEintracht Frankfurt,2874,0,
X. SchlagerRB Leipzig,181,0,
S. ÖzcanBorussia Dortmund,745,0,
A. GarcíaBayer 04 Leverkusen,1457,0,
K. JakićFC Augsburg,2308,0,
M. SvanbergVfL Wolfsburg,1221,0,
T. Skarke1. FC Union Berlin,1114,0,
A. KarazorVfB Stuttgart,2626,0,
J. Kamiński1. FC Köln,1138,0,
E. PalaciosBayer 04 Leverkusen,1158,0,
C. BaumgartnerRB Leipzig,1622,0,
F. NeuhausBorussia M'gladbach,377,0,
E. ElmasRB Leipzig,42,0,
L. MajerVfL Wolfsburg,310,0,
E. RexhbeçajFC Augsburg,1792,0,
A. Caci1. FSV Mainz 05,2703,0,
R. BakuRB Leipzig,2452,0,
R. FellhauerFC Augsburg,168,0,
N. NarteyVfB Stuttgart,21,0,
R. HackBorussia M'gladbach,2188,0,
A. Schäfer1. FC Union Berlin,1467,0,
M. KwartengVfL Bochum 1848,167,0,
C. FührichVfB Stuttgart,1990,0,
L. Maloney1. FSV Mainz 05,800,0,
A. StillerVfB Stuttgart,2743,0,
F. NmechaBorussia Dortmund,1511,0,
P. OsterhageSC Freiburg,2274,0,
N. TellaBayer 04 Leverkusen,1368,0,
W. Jeong1. FC Union Berlin,1203,0,
F. RiederFC Augsburg,876,0,
T. Krauß1. FC Köln,1080,0,
P. SanderBorussia M'gladbach,1407,0,
H. Hong1. FSV Mainz 05,543,0,
N. N'GoumouBorussia M'gladbach,848,0,
N. SeiwaldRB Leipzig,2081,0,
A. PrassTSG Hoffenheim,1576,0,
M. OliseFC Bayern München,2346,0,
P. TreuSC Freiburg,2885,0,
P. WimmerVfL Wolfsburg,1789,0,
G. ReynaBorussia M'gladbach,363,0,
J. LewelingVfB Stuttgart,1675,0,
C. ChukwuemekaBorussia Dortmund,245,0,
A. KnauffEintracht Frankfurt,1609,0,
J. MusialaFC Bayern München,1804,0,
K. ParedesVfL Wolfsburg,125,0,
D. SvenssonBorussia Dortmund,785,0,
K. Sano1. FSV Mainz 05,3045,0,
R. ReitzBorussia M'gladbach,1840,0,
A. NusaRB Leipzig,1564,0,
M. DamarTSG Hoffenheim,179,0,
T. BischofFC Bayern München,2567,0,
R. WagnerSC Freiburg,419,0,
C. CampbellTSG Hoffenheim,30,0,
H. LarssonEintracht Frankfurt,2403,0,
F. KrätzigFC Bayern München,1460,0,
A. PavlovićFC Bayern München,1456,0,
P. WannerFC Bayern München,1838,0,
J. BahoyaEintracht Frankfurt,927,0,
J. CabreraSpVgg Greuther Fürth,0,0,
O. HøjlundEintracht Frankfurt,714,0,
A. VermeerenRB Leipzig,1585,0,
F. MichelerArminia Bielefeld,31,0,
F. ChaïbiEintracht Frankfurt,1019,0,
M. PannewigVfL Bochum 1848,290,0,
A. Kemlein1. FC Union Berlin,902,0,
T. Rothe1. FC Union Berlin,1592,0,
M. KücüksahinFC Augsburg,0,0,
M. KömürFC Augsburg,646,0,
F. OnyekaVfL Bochum 1848,0,0,
A. OuédraogoRB Leipzig,47,0,
B. DárdaiVfL Wolfsburg,1312,0,
L. DjuricTSG Hoffenheim,0,0,
T. GomisRB Leipzig,153,0,
K. WätjenVfL Bochum 1848,14,0,
C. UzunEintracht Frankfurt,675,0,
J. ManzambiSC Freiburg,339,0,
D. Gleiber1. FSV Mainz 05,0,0,
B. TouréTSG Hoffenheim,618,0,
N. SwiderBorussia M'gladbach,0,0,
L. KarlFC Bayern München,0,0,
