Name,Mins,Saves,Unnamed: 3
K. BartleyWest Bromwich Albion,2612,0,
S. CookQueens Park Rangers,2622,0,
C. ForsythDerby County,2554,0,
A. HughesPreston North End,3238,0,
D. BatthDerby County,3016,0,
J. RobinsonBirmingham City,3114,0,
J. EganHull City,905,0,
L. AylingMiddlesbrough,1953,0,
J. BidwellCoventry City,2080,0,
R. LeonardMillwall,2631,0,
B. GibsonStoke City,1947,0,
D. LenihanMiddlesbrough,0,0,
S. BradleyDerby County,305,0,
M. WallaceHuddersfield Town,732,0,
M. IhiekweBlackpool,1820,0,
J. BryanMillwall,3283,0,
K. NaismithBristol City,763,0,
C. ChambersCardiff City,3520,0,
J. WhatmoughHuddersfield Town,1130,0,
S. AjayiHull City,1230,0,
L. LindsayPreston North End,2625,0,
Y. RibeiroBlackburn Rovers,1350,0,
J. CooperMillwall,3195,0,
M. ClarkeDerby County,2478,0,
D. FryMiddlesbrough,1416,0,
P. NgCardiff City,2790,0,
C. ElderDerby County,2155,0,
L. GoochHuddersfield Town,1053,0,
J. Clarke-SalterQueens Park Rangers,759,0,
J. DasilvaCoventry City,2019,0,
R. NyambeReading,1127,0,
R. DickieBristol City,3084,0,
G. EdmundsonMiddlesbrough,2093,0,
J. JohnsonLuton Town,477,0,
L. CoyleHull City,3722,0,
C. BrittainMiddlesbrough,2663,0,
J. TymonSwansea City,3941,0,
J. TangangaSheffield United,3553,0,
C. StylesWest Bromwich Albion,2613,0,
M. Juel AndersenLuton Town,419,0,
A. JonesMiddlesbrough,3391,0,
H. PickeringBlackburn Rovers,1040,0,
J. StoreyPreston North End,3064,0,
J. LatibeaudiereCoventry City,2580,0,
B. WilmotStoke City,3248,0,
C. MephamWest Bromwich Albion,3370,0,
L. GibsonPreston North End,3256,0,
C. BramallLuton Town,472,0,
S. McLoughlinBlackburn Rovers,3215,0,
P. ValentínPreston North End,1528,0,
H. BurrowsSheffield United,3743,0,
C. PringBristol City,2299,0,
R. Norrington-DaviesQueens Park Rangers,270,0,
J. DunneQueens Park Rangers,4050,0,
N. BorgesBristol City,2898,0,
N. PhillipsWest Bromwich Albion,2241,0,
R. AtkinsonBristol City,1101,0,
L. KitchingCoventry City,2494,0,
G. TannerBristol City,2104,0,
J. KeySwansea City,3470,0,
R. GilesHull City,1245,0,
B. CabangoSwansea City,4034,0,
J. ShackletonSheffield United,300,0,
L. EngelMiddlesbrough,379,0,
M. van EwijkCoventry City,4223,0,
S. McCallumSheffield United,1053,0,
P. KiosoPeterborough United,2307,0,
F. SerikiSheffield United,1098,0,
W. FishCardiff City,1380,0,
N. OgbetaBarnsley,627,0,
D. SandersonBirmingham City,576,0,
H. CarterBlackburn Rovers,1365,0,
T. MengiLuton Town,1570,0,
H. RobertsReading,1679,0,
L. McNallyBristol City,2326,0,
M. McGuinnessSheffield United,3754,0,
M. TalovierovStoke City,934,0,
M. JacobHull City,445,0,
C. DramehHull City,1662,0,
D. McNamaraMillwall,698,0,
F. BurnsReading,322,0,
E. CashinBlackburn Rovers,1788,0,
A. FamewoHull City,942,0,
B. LawalStoke City,211,0,
R. EdwardsQueens Park Rangers,1819,0,
E. BocatStoke City,2046,0,
T. CramaMillwall,1635,0,
J. BaganCardiff City,1623,0,
A. SmithHull City,0,0,
S. Klingen LangåsDerby County,1121,0,
B. ThomasCoventry City,3544,0,
C. TaylorWest Bromwich Albion,0,0,
J. RooneyBarnsley,0,0,
J. TchamadeuStoke City,3140,0,
L. Fuhr HjeldeSheffield United,443,0,
A. PhillipsStoke City,3082,0,
C. HughesHull City,2348,0,
R. WaltersBlackpool,981,0,
C. ScanlonCardiff City,169,0,
J. DebayoHull City,1,0,
A. MayorMillwall,0,0,
DLD. LawlorCardiff City,57,0,
RKR. KpakioCardiff City,113,0,
JMJ. MohammedWest Bromwich Albion,0,0,
S. ParkerSwansea City,93,0,
EEsquerdinhaQueens Park Rangers,0,0,
JCJ. Campbell-SloweyBristol City,0,0,
TTT. TarryPreston North End,0,0,
