Name,Mins,Saves,Unnamed: 3
T. BradshawBarnsley,817,0,
W. KeaneReading,1144,0,
M. SmithPreston North End,1849,0,
N. WellsLuton Town,2133,0,
C. RobinsonCardiff City,2031,0,
C. MorrisDerby County,3133,0,
S. GallagherStoke City,1018,0,
R. HardieHuddersfield Town,2276,0,
L. SalvesenDerby County,488,0,
J. YatesLuton Town,3436,0,
K. NisbetMillwall,17,0,
H. WrightCoventry City,2157,0,
T. ChongSheffield United,2039,0,
N. EnnisBlackpool,208,0,
T. CampbellSheffield United,1764,0,
S. TwineBristol City,2170,0,
P. SmythQueens Park Rangers,2780,0,
E. DennisNottingham Forest,175,0,
B. Thomas-AsanteCoventry City,1550,0,
J. MajaWest Bromwich Albion,2075,0,
Z. FlemmingMillwall,2435,0,
R. BrewsterDerby County,1730,0,
A. IdahSwansea City,29,0,
M. LangstaffMillwall,1407,0,
A. KargboBlackburn Rovers,204,0,
E. AdebayoLuton Town,2448,0,
E. Riis JacobsenBristol City,2720,0,
M. OsmajićPreston North End,1926,0,
S. ArmstrongBristol City,1591,0,
K. EteteCardiff City,0,0,
Y. OhashiBlackburn Rovers,2240,0,
E. SimmsCoventry City,2294,0,
S. Iling JuniorWest Bromwich Albion,1072,0,
L. DobbinPreston North End,975,0,
Ž. VipotnikSwansea City,2099,0,
O. TannerCardiff City,1385,0,
A. GilbertMiddlesbrough,84,0,
T. CannonSheffield United,2614,0,
I. DaviesCardiff City,298,0,
L. CullenSwansea City,3017,0,
J. CoburnMiddlesbrough,1228,0,
A. Al-HamadiLuton Town,845,0,
D. DikeWest Bromwich Albion,224,0,
K. JosephHull City,1018,0,
Y. SalechCardiff City,1283,0,
S. BellBristol City,439,0,
T. BanyWest Bromwich Albion,68,0,
D. JebbisonPreston North End,402,0,
T. ConwayMiddlesbrough,2362,0,
P. LaneReading,1077,0,
N. BassetteCoventry City,935,0,
H. LeonardPeterborough United,164,0,
J. BanelDerby County,0,0,
M. IvanovićMillwall,2181,0,
J. DedeMiddlesbrough,0,0,
CLC. LennonBarnsley,0,0,
LWL. WheeldonDerby County,1,0,
L. MarshSheffield United,0,0,
KWK. WilloxStoke City,0,0,
R. KolliQueens Park Rangers,831,0,
SKS. KendallMillwall,0,0,
I. TyjonBlackburn Rovers,13,0,
