Name,Mins,Saves,Unnamed: 3
J. AllenSwansea City,739,0,
M. RitchieReading,2220,0,
B. BannanMillwall,3469,0,
A. WeimannDerby County,1415,0,
A. ForshawBlackburn Rovers,1271,0,
M. CrooksHull City,807,0,
J. ClarkLuton Town,3248,0,
J. FultonSwansea City,1334,0,
J. RothwellBournemouth,2271,0,
B. PearsonStoke City,584,0,
L. BakerStoke City,2077,0,
S. TronstadBlackburn Rovers,3140,0,
J. WallaceWest Bromwich Albion,798,0,
A. BrowneMiddlesbrough,1215,0,
B. PottsPreston North End,2053,0,
R. BradyPreston North End,1641,0,
G. SavilleLuton Town,3305,0,
J. AllenCoventry City,1029,0,
M. GrimesCoventry City,4185,0,
A. MowattWest Bromwich Albion,3358,0,
S. SzmodicsDerby County,25,0,
C. WillockCardiff City,1549,0,
R. LedsonHuddersfield Town,1211,0,
P. RobertsBirmingham City,3507,0,
M. HarnessHuddersfield Town,2368,0,
M. BensonSwansea City,49,0,
E. AdamsDerby County,3791,0,
M. SykesBristol City,1718,0,
R. HedgesBlackburn Rovers,2596,0,
K. GrantWest Bromwich Albion,2942,0,
B. WhitemanPreston North End,2492,0,
J. WilliamsBristol City,1464,0,
K. PalmerLuton Town,1143,0,
G. HoneymanBlackpool,2430,0,
T. DaviesSheffield United,714,0,
R. McCrorieBristol City,1590,0,
J. ThompsonPreston North End,1355,0,
L. WalshLuton Town,1418,0,
R. WintleCardiff City,516,0,
I. ChairQueens Park Rangers,1712,0,
C. De NorreMillwall,3631,0,
J. OkkelsPreston North End,133,0,
R. McGreeMiddlesbrough,946,0,
M. McGuaneHuddersfield Town,1029,0,
V. TorpCoventry City,2126,0,
G. HamerSheffield United,3364,0,
C. LangPreston North End,2455,0,
M. JohnstonWest Bromwich Albion,2092,0,
C. OgbeneSheffield United,247,0,
J. MolumbyWest Bromwich Albion,2714,0,
E. Mason-ClarkCoventry City,1772,0,
R. SlaterHull City,2981,0,
L. TravisDerby County,3222,0,
B. Brereton DíazDerby County,1010,0,
J. WardDerby County,153,0,
O. DiakitéWest Bromwich Albion,870,0,
C. O'HareSheffield United,3230,0,
J. BowlerNottingham Forest,608,0,
A. McCannPreston North End,2423,0,
S. BaptisteLuton Town,719,0,
L. MillarHull City,620,0,
M. BirdBristol City,3578,0,
T. CantwellBlackburn Rovers,2485,0,
D. BurgzorgBristol City,2200,0,
L. O'BrienNottingham Forest,1421,0,
B. MumbaHuddersfield Town,3396,0,
N. MadsenQueens Park Rangers,1767,0,
J. EcclesCoventry City,2393,0,
A. DoughtyMillwall,2045,0,
J. GelhardtHull City,1607,0,
J. KnightBristol City,4230,0,
M. ManhoefStoke City,2431,0,
A. RandellBristol City,3385,0,
T. SakamotoCoventry City,2803,0,
J. RudoniCoventry City,3721,0,
B. MitchellMillwall,887,0,
G. FrancoSwansea City,3160,0,
L. CundleMillwall,992,0,
M. WhittakerMiddlesbrough,2743,0,
S. SilveraMiddlesbrough,442,0,
X. SimonsHull City,1207,0,
L. ThompsonDerby County,1630,0,
J. EomSwansea City,2300,0,
I. JonesLuton Town,2105,0,
F. AzeezMillwall,1906,0,
H. HackneyMiddlesbrough,3794,0,
T. FornahDerby County,9,0,
A. MorrisMiddlesbrough,2920,0,
T. Gardner-HickmanBlackburn Rovers,0,0,
T. SekoStoke City,1594,0,
J. AnthonyBournemouth,3672,0,
E. MatazoHull City,302,0,
I. PriceWest Bromwich Albion,1055,0,
D. GyabiHull City,2892,0,
A. RobertsonCardiff City,2426,0,
M. HamiltonMiddlesbrough,313,0,
D. TurnbullCardiff City,825,0,
C. NeghliMillwall,193,0,
K. Kesler-HaydenCoventry City,3672,0,
R. ColwillCardiff City,2529,0,
J. Rak-SakyiStoke City,1756,0,
J. VaraneQueens Park Rangers,2604,0,
RonaldSwansea City,3775,0,
M. BelloumiHull City,820,0,
KMK. MontgomeryBlackburn Rovers,136,0,
B. Gannon-DoakBournemouth,1787,0,
T. WatsonMillwall,935,0,
J. BaeStoke City,3274,0,
A. MatosSheffield United,947,0,
O. ArblasterSheffield United,977,0,
S. PeckSheffield United,3191,0,
A. BrooksSheffield United,1072,0,
K. MorganQueens Park Rangers,1592,0,
R. EsseCoventry City,2029,0,
L. McCabeMiddlesbrough,0,0,
D. BennieQueens Park Rangers,228,0,
C. AshfordCardiff City,1532,0,
H. ArmstrongPreston North End,1110,0,
F. VareBlackburn Rovers,0,0,
IDI. DunnBlackburn Rovers,0,0,
RBR. Bangura-WilliamsMillwall,609,0,
