Name,Mins,Saves,Unnamed: 3
N. ViergeverFC Utrecht,2951,0,
B. NuytinckNEC Nijmegen,1699,0,
P. van AanholtSparta Rotterdam,1679,0,
M. PeersmanFC Groningen,1814,0,
I. PintoFortuna Sittard,2514,0,
B. Martins IndiSparta Rotterdam,555,0,
G. TraunerFeyenoord,1393,0,
G. NauberGo Ahead Eagles,2688,0,
M. van der HoornFC Utrecht,2559,0,
D. MiraniHeracles Almelo,3016,0,
D. SinkgravenFortuna Sittard,77,0,
J. KramerGo Ahead Eagles,3047,0,
M. DeijlFeyenoord,3060,0,
S. HoremansFC Utrecht,2361,0,
J. LotombaFeyenoord,487,0,
B. NieuwkoopFeyenoord,465,0,
T. OuwejanNEC Nijmegen,1868,0,
R. BehounekWillem II Tilburg,3143,0,
M. TirpanWillem II Tilburg,1949,0,
S. FloranusPEC Zwolle,1944,0,
A. ObispoPSV Eindhoven,431,0,
M. RenteFC Groningen,2593,0,
J. HoogmaWillem II Tilburg,261,0,
O. WijndalAFC Ajax,368,0,
N. VesterlundFC Utrecht,638,0,
P. SandlerNEC Nijmegen,1537,0,
S. KerstenSC Heerenveen,2381,0,
J. CastilloRKC Waalwijk,1540,0,
G. SmalFeyenoord,1355,0,
I. MárquezFortuna Sittard,2335,0,
M. JúniorPSV Eindhoven,2017,0,
M. de WitAZ Alkmaar,478,0,
S. BakariSparta Rotterdam,2147,0,
S. DestPSV Eindhoven,375,0,
L. van GelderenRKC Waalwijk,2697,0,
I. MesíkHeracles Almelo,2910,0,
R. van EijmaRKC Waalwijk,1827,0,
B. van RooijFC Twente,3232,0,
M. EerdhuijzenFC Utrecht,2807,0,
J. ŠutaloAFC Ajax,2450,0,
A. Salah-EddinePSV Eindhoven,1286,0,
S. van OtteleFortuna Sittard,1875,0,
T. QuinteroSparta Rotterdam,590,0,
L. RosaAFC Ajax,246,0,
A. Van HoorenbeeckHeracles Almelo,1163,0,
DvD. van der KustHeracles Almelo,927,0,
J. WieckhoffHeracles Almelo,1249,0,
S. AdewoyeFortuna Sittard,1753,0,
S. El KarouaniFC Utrecht,2975,0,
RMR. MuldersSC Cambuur,329,0,
M. DiddenFC Utrecht,528,0,
Y. BaasAFC Ajax,2041,0,
J. DirksenGo Ahead Eagles,74,0,
A. PenetraAZ Alkmaar,2732,0,
A. Garcia McNultyPEC Zwolle,3060,0,
D. KasiusAZ Alkmaar,1402,0,
B. PereiraNEC Nijmegen,2231,0,
M. HilgersFC Twente,1951,0,
S. MaikumaAZ Alkmaar,2047,0,
D. JamesGo Ahead Eagles,1720,0,
R. FlamingoPSV Eindhoven,2942,0,
L. WoutersRKC Waalwijk,826,0,
J. DahlhausFortuna Sittard,1779,0,
O. AertssenPEC Zwolle,1129,0,
JAJ. AmofaSC Cambuur,160,0,
J. BerkhoutSC Cambuur,0,0,
A. KaplanNEC Nijmegen,566,0,
VZV. ZagaritisSC Heerenveen,2960,0,
M. BrunsFC Twente,1848,0,
M. DekkerAZ Alkmaar,678,0,
A. GaaeiAFC Ajax,1790,0,
T. BlokzijlFC Groningen,2241,0,
T. BeelenFeyenoord,1695,0,
H. PetrovSC Heerenveen,449,0,
M. BenitaHeracles Almelo,2044,0,
MWM. WillemsenSC Heerenveen,90,0,
A. AdelgaardGo Ahead Eagles,1224,0,
W. GoesAZ Alkmaar,2191,0,
T. GalvezSC Cambuur,94,0,
O. BraudeSC Heerenveen,2708,0,
D. van der HaarPEC Zwolle,1835,0,
M. KleijnSparta Rotterdam,279,0,
F. Al MazyaniRKC Waalwijk,1634,0,
COC. Olde KeizerVitesse,0,0,
EDE. DijkstraAZ Alkmaar,92,0,
M. RotsFC Twente,1318,0,
G. ReadFeyenoord,1983,0,
DJD. JanseFC Groningen,329,0,
W. PrinsFC Groningen,1673,0,
MDM. De LigtSparta Rotterdam,0,0,
ABA. BouwmanAFC Ajax,0,0,
T. MerceraFC Groningen,113,0,
DRD. RuwardPEC Zwolle,0,0,
S. BoulandFC Groningen,53,0,
M. YoungSparta Rotterdam,2175,0,
J. TijinkHeracles Almelo,0,0,
RNR. NijstadFC Twente,0,0,
J. MathijsenWillem II Tilburg,256,0,
RBR. BouwSC Heerenveen,13,0,
ABA. BahFortuna Sittard,0,0,
