Name,Mins,Saves,Unnamed: 3
R. van WolfswinkelFC Twente,1812,0,
M. KramerRKC Waalwijk,852,0,
B. LinssenNEC Nijmegen,900,0,
M. de LeeuwSC Cambuur,10,0,
S. BerghuisAFC Ajax,1437,0,
S. HallerFC Utrecht,1275,0,
C. AkpomAFC Ajax,831,0,
W. WeghorstAFC Ajax,1085,0,
O. ZawadaFC Groningen,1955,0,
F. StokkersGo Ahead Eagles,454,0,
T. LauritsenSparta Rotterdam,2713,0,
S. LammersFC Twente,1509,0,
M. van BergenFC Twente,1936,0,
K. OgawaNEC Nijmegen,1605,0,
V. Kaj EdvardsenGo Ahead Eagles,2749,0,
K. SierhuisFortuna Sittard,540,0,
T. BuitinkPEC Zwolle,259,0,
B. Darri WillumssonFC Groningen,962,0,
J. HornkampAZ Alkmaar,1590,0,
K. de RooijPEC Zwolle,336,0,
R. MendesFC Groningen,524,0,
YEY. El KachatiNEC Nijmegen,362,0,
TBT. BaetenGo Ahead Eagles,11,0,
D. MinFC Utrecht,1264,0,
T. ParrottAZ Alkmaar,2212,0,
R. MargaretGo Ahead Eagles,2525,0,
A. UedaFeyenoord,1210,0,
R. PepiPSV Eindhoven,683,0,
S. TengstedtGo Ahead Eagles,428,0,
L. KulenovićHeracles Almelo,1455,0,
R. BalkSC Cambuur,120,0,
C. DriouechPSV Eindhoven,260,0,
DHD. HaenWillem II Tilburg,270,0,
L. ZeefuikAZ Alkmaar,38,0,
E. BajraktarevićPSV Eindhoven,20,0,
M. GodtsAFC Ajax,1653,0,
M. MeerdinkAZ Alkmaar,1067,0,
RvR. van HedelRKC Waalwijk,78,0,
B. ÖnalNEC Nijmegen,1446,0,
A. BlakeFC Utrecht,463,0,
A. Hadj MoussaFeyenoord,1970,0,
DKD. KonaduAFC Ajax,69,0,
T. van BergenFC Groningen,2489,0,
G. SamboHeracles Almelo,26,0,
JUJ. UnekenRKC Waalwijk,0,0,
W. KooistraSC Cambuur,0,0,
LVL. Vennegoor of HesselinkFC Twente,60,0,
PvP. van LoonWillem II Tilburg,17,0,
OBO. BoakyeGo Ahead Eagles,8,0,
